,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Kabul,34.516667,69.18333299999999,Afghanistan,AF,Kābul,primary,3277000.0,3043532.0
1,Kandahār,31.613322999999998,65.710126,Afghanistan,AF,Kandahār,admin,715542.0,512200.0
2,Jalālābād,34.426468,70.45153,Afghanistan,AF,Nangarhār,admin,597971.0,205423.0
3,Herāt,34.348167,62.199673,Afghanistan,AF,Herāt,admin,481009.0,397456.0
4,Mazār-e Sharīf,36.709041,67.110866,Afghanistan,AF,Balkh,admin,458151.0,272714.0
5,Kunduz,36.728955,68.857001,Afghanistan,AF,Kunduz,admin,259809.0,161902.0
6,Ṯaghar,36.152481,68.737086,Afghanistan,AF,Baghlān,,218748.0,108449.0
7,Lashkar Gāh,31.593816999999998,64.37161400000001,Afghanistan,AF,Helmand,admin,201546.0,201546.0
8,Maīmanah,35.921337,64.784058,Afghanistan,AF,Fāryāb,admin,199795.0,199795.0
9,Balkh,36.756352,66.897196,Afghanistan,AF,Balkh,minor,179969.0,114883.0
10,Ghaznī,33.550833000000004,68.4225,Afghanistan,AF,Ghaznī,admin,141000.0,118785.0
11,Gardēz,33.597439,69.225922,Afghanistan,AF,Paktiyā,admin,103601.0,61760.0
12,Shibirghān,36.667567,65.752904,Afghanistan,AF,Jowzjān,admin,93241.0,55641.0
13,Farāh,32.374508,62.116383,Afghanistan,AF,Farāh,admin,73647.0,43561.0
14,Andkhōy,36.952926,65.123761,Afghanistan,AF,Fāryāb,minor,71730.0,29208.0
15,Faīẕābād,37.116638,70.580022,Afghanistan,AF,Badakhshān,admin,64704.0,40276.0
16,Tāluqān,36.734133,69.533559,Afghanistan,AF,Takhār,admin,64256.0,64256.0
17,Pul-e Khumrī,35.944583,68.715122,Afghanistan,AF,Baghlān,admin,56369.0,25689.0
18,Chārīkār,35.016585,69.174011,Afghanistan,AF,Parwān,admin,53676.0,53676.0
19,Asadābād,34.873113000000004,71.14697,Afghanistan,AF,Kunaṟ,admin,48400.0,48400.0
20,Aībak,36.26468,68.015512,Afghanistan,AF,Samangān,admin,24000.0,24000.0
21,Barakī Barak,33.967442999999996,68.949199,Afghanistan,AF,Lōgar,minor,22305.0,22305.0
