,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Tirana,41.3275,19.818889000000002,Albania,AL,Tiranë,primary,895350,421286
1,Elbasan,41.1125,20.082222,Albania,AL,Elbasan,admin,165010,100903
2,Shkodër,42.0675,19.513056,Albania,AL,Shkodër,admin,155767,88245
3,Durrës,41.323056,19.441389,Albania,AL,Durrës,admin,142432,122034
4,Vlorë,40.466667,19.489722,Albania,AL,Vlorë,admin,89546,89471
5,Fier,40.723889,19.556110999999998,Albania,AL,Fier,admin,82297,57198
6,Korçë,40.618611,20.780832999999998,Albania,AL,Korçë,admin,58259,58259
7,Berat,40.705833,19.952222,Albania,AL,Berat,admin,46866,46866
8,Lushnjë,40.941944,19.705,Albania,AL,Fier,,41469,41469
9,Pogradec,40.9025,20.6525,Albania,AL,Korçë,,40000,30000
10,Gjirokastër,40.075833,20.138889000000002,Albania,AL,Gjirokastër,admin,23437,23437
11,Krujë,41.509167,19.792778,Albania,AL,Durrës,,21286,21286
12,Lezhë,41.783611,19.643611,Albania,AL,Lezhë,admin,18695,18695
13,Kukës,42.076944,20.421944,Albania,AL,Kukës,admin,17832,17832
14,Burrel,41.610278,20.008889,Albania,AL,Dibër,,15405,15405
15,Sarandë,39.875556,20.005278,Albania,AL,Vlorë,,15147,15147
16,Peshkopi,41.685,20.428889,Albania,AL,Dibër,admin,14848,14848
17,Çorovodë,40.504166999999995,20.227222,Albania,AL,Berat,,14046,14046
18,Librazhd-Katund,41.210278,20.360556,Albania,AL,Elbasan,,12691,12691
19,Tepelenë,40.295833,20.019167000000003,Albania,AL,Gjirokastër,,11955,11955
20,Gramsh,40.869721999999996,20.184444,Albania,AL,Elbasan,,11556,11556
21,Përmet,40.233610999999996,20.351667000000003,Albania,AL,Gjirokastër,,10686,10686
22,Rrëshen,41.7675,19.875556,Albania,AL,Lezhë,,10064,10064
23,Bajram Curri,42.357222,20.073056,Albania,AL,Kukës,,7967,7967
24,Ersekë,40.337778,20.678889,Albania,AL,Korçë,,7890,7890
25,Pukë,42.044444,19.899722,Albania,AL,Shkodër,,6495,6495
