,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Luanda,-8.836803999999999,13.233173999999998,Angola,AO,Luanda,primary,5172900.0,1951272.0
1,Huambo,-12.776111,15.739167000000002,Angola,AO,Huambo,admin,1100000.0,872000.0
2,Lobito,-12.351905,13.546392,Angola,AO,Benguela,,207932.0,133534.0
3,Benguela,-12.578333,13.407222,Angola,AO,Benguela,admin,151226.0,132808.0
4,Namibe,-15.196110999999998,12.152222,Angola,AO,Namibe,admin,132900.0,123361.0
5,Malanje,-9.544722,16.345278,Angola,AO,Malanje,admin,125856.0,87046.0
6,Lubango,-14.916667000000002,13.5,Angola,AO,Huíla,admin,125632.0,102541.0
7,Cuito,-12.383333,16.933332999999998,Angola,AO,Bié,admin,114286.0,113624.0
8,Cabinda,-5.55,12.2,Angola,AO,Cabinda,admin,91791.0,66020.0
9,Capenda Camulemba,-9.418175999999999,18.435335000000002,Angola,AO,Lunda Norte,,80000.0,79685.0
10,Soio,-6.1349029999999996,12.368935,Angola,AO,Zaire,,67491.0,63167.0
11,Mbanza Congo,-6.267028,14.240098000000001,Angola,AO,Zaire,admin,60182.0,24220.0
12,Uíge,-7.613282000000001,15.056621,Angola,AO,Uíge,admin,60008.0,53567.0
13,Saurimo,-9.66078,20.391553,Angola,AO,Lunda Sul,admin,41316.0,40498.0
14,Tômbua,-15.8,11.85,Angola,AO,Namibe,,40000.0,40000.0
15,Somba,-11.239011,13.855113000000001,Angola,AO,Kwanza Sul,,33277.0,26000.0
16,Lucapa,-8.419151,20.744654999999998,Angola,AO,Lunda Norte,admin,31041.0,20115.0
17,Mavinga,-15.8,20.35,Angola,AO,Kuando Kubango,,30000.0,30000.0
18,Caxito,-8.58,13.664167,Angola,AO,Bengo,admin,28224.0,3107.0
19,Luena,-11.783333,19.916667,Angola,AO,Moxico,admin,21115.0,13438.0
20,Nzeto,-7.231164,12.866602,Angola,AO,Zaire,,21059.0,18352.0
21,Camacupa,-12.016667,17.483333,Angola,AO,Bié,,19828.0,19150.0
22,Luanga,-10.712258,22.24536,Angola,AO,Moxico,,18465.0,1463.0
23,Ambriz,-7.8443119999999995,13.106492999999999,Angola,AO,Bengo,,17000.0,17000.0
24,Menongue,-14.661639000000001,17.688223999999998,Angola,AO,Kuando Kubango,admin,13030.0,13030.0
25,Camabatela,-8.18812,15.37495,Angola,AO,Kwanza Norte,,12837.0,12625.0
26,Uacu Cungo,-11.363430000000001,15.120778,Angola,AO,Kwanza Sul,,12069.0,10970.0
27,Dundo,-7.381086,20.833799,Angola,AO,Lunda Norte,,11985.0,11985.0
28,Songo,-7.352073,14.846292000000002,Angola,AO,Uíge,,10579.0,10579.0
29,Ondjiva,-17.066667000000002,15.733332999999998,Angola,AO,Cunene,admin,10169.0,7327.0
30,Quibala,-10.73366,14.979949,Angola,AO,Kwanza Sul,,8915.0,1582.0
31,N’dalatando,-9.3,14.916667000000002,Angola,AO,Kwanza Norte,admin,8144.0,8144.0
32,Cubal,-13.033333,14.25,Angola,AO,Benguela,,4837.0,4837.0
33,Dondo,-9.678842,14.421610000000001,Angola,AO,Kwanza Norte,,2353.0,2353.0
34,Muconda,-10.592362,21.318045,Angola,AO,Lunda Sul,,2324.0,2324.0
35,Chibemba,-15.75,14.083332999999998,Angola,AO,Huíla,,1502.0,1502.0
36,Chibia,-15.183333,13.7,Angola,AO,Huíla,,1411.0,1411.0
37,Bala Cangamba,-13.733332999999998,19.866667,Angola,AO,Moxico,,1307.0,1307.0
38,Cacolo,-10.145027,19.265982,Angola,AO,Lunda Sul,,984.0,984.0
39,Cacuso,-9.992183,14.905872,Angola,AO,Kwanza Sul,,795.0,795.0
40,Calenga,-11.356378999999999,16.239384,Angola,AO,Bié,,531.0,531.0
41,Chitado,-17.316667000000002,13.916667000000002,Angola,AO,Cunene,,500.0,437.0
42,Xangongo,-16.75,14.983332999999998,Angola,AO,Cunene,,447.0,447.0
43,Cazombo,-11.9,22.916667,Angola,AO,Moxico,,298.0,298.0
44,Quipungo,-14.85,14.5,Angola,AO,Huíla,,186.0,186.0
45,Luiana,-17.383333,23.0,Angola,AO,Kuando Kubango,,150.0,150.0
46,Cuito Cuanavale,-15.166667000000002,19.183332999999998,Angola,AO,Kuando Kubango,,149.0,149.0
47,Mucusso,-18.016667,21.433332999999998,Angola,AO,Kuando Kubango,,100.0,100.0
48,Sumbe,-11.206048,13.843713000000001,Angola,AO,Kwanza Sul,admin,,
