,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Buenos Aires,-34.606389,-58.435278000000004,Argentina,AR,"Buenos Aires, Ciudad Autónoma de",primary,12795000.0,10929146.0
1,Córdoba,-31.413496000000002,-64.18105200000001,Argentina,AR,Córdoba,admin,1452000.0,1296935.0
2,Rosario,-32.946818,-60.639317000000005,Argentina,AR,Santa Fe,minor,1203000.0,986569.0
3,Mendoza,-32.890845,-68.82717099999999,Argentina,AR,Mendoza,admin,893000.0,762630.0
4,San Miguel de Tucumán,-26.824144,-65.2226,Argentina,AR,Tucumán,admin,830000.0,527607.0
5,La Plata,-34.921454,-57.954533,Argentina,AR,Buenos Aires,admin,694253.0,186524.0
6,Mar del Plata,-38.002278000000004,-57.557539,Argentina,AR,Buenos Aires,minor,555897.0,553935.0
7,Salta,-24.785895999999997,-65.411664,Argentina,AR,Salta,admin,512686.0,456606.0
8,Santa Fe,-31.629484,-60.701036,Argentina,AR,Santa Fe,admin,489505.0,297503.0
9,San Juan,-31.5375,-68.536389,Argentina,AR,San Juan,admin,447048.0,420736.0
10,San Luis,-33.295012,-66.335627,Argentina,AR,San Luis,admin,432310.0,183982.0
11,Resistencia,-27.460559999999997,-58.983886,Argentina,AR,Chaco,admin,387158.0,349753.0
12,Posadas,-27.367077000000002,-55.896078,Argentina,AR,Misiones,admin,357119.0,312060.0
13,Santiago del Estero,-27.795112,-64.261489,Argentina,AR,Santiago del Estero,admin,354692.0,280407.0
14,Corrientes,-27.480596000000002,-58.834099,Argentina,AR,Corrientes,admin,340823.0,339067.0
15,San Salvador de Jujuy,-24.194565,-65.297116,Argentina,AR,Jujuy,admin,305891.0,211587.0
16,Bahía Blanca,-38.719595,-62.272431999999995,Argentina,AR,Buenos Aires,minor,281536.0,276546.0
17,Paraná,-31.731966999999997,-60.523802,Argentina,AR,Entre Ríos,admin,262295.0,191409.0
18,Neuquén,-38.951606,-68.059102,Argentina,AR,Neuquén,admin,242092.0,185555.0
19,Formosa,-26.177534,-58.178139,Argentina,AR,Formosa,admin,221383.0,183161.0
20,La Rioja,-29.411047999999997,-66.850668,Argentina,AR,La Rioja,admin,162620.0,131640.0
21,Río Cuarto,-33.130671,-64.349918,Argentina,AR,Córdoba,minor,153757.0,118162.0
22,Concordia,-31.392959,-58.02089,Argentina,AR,Entre Ríos,minor,145210.0,120311.0
23,Comodoro Rivadavia,-45.864135,-67.496558,Argentina,AR,Chubut,minor,140850.0,105732.0
24,San Martín,-33.081031,-68.468138,Argentina,AR,Mendoza,minor,117399.0,82549.0
25,Santa Rosa,-36.616667,-64.283333,Argentina,AR,La Pampa,admin,111424.0,83963.0
26,San Rafael,-34.617717,-68.330066,Argentina,AR,Mendoza,minor,109163.0,49884.0
27,Tandil,-37.321674,-59.133164,Argentina,AR,Buenos Aires,minor,104325.0,65274.0
28,San Carlos de Bariloche,-41.140293,-71.301369,Argentina,AR,Río Negro,minor,95394.0,88512.0
29,Trelew,-43.250075,-65.313295,Argentina,AR,Chubut,,93442.0,92815.0
30,Villa María,-32.407514,-63.240161,Argentina,AR,Córdoba,minor,92453.0,60949.0
31,Reconquista,-29.15,-59.65,Argentina,AR,Santa Fe,minor,90184.0,83097.0
32,Zárate,-34.098141999999996,-59.028585,Argentina,AR,Buenos Aires,minor,88781.0,83603.0
33,Rafaela,-31.250332,-61.486695999999995,Argentina,AR,Santa Fe,minor,88713.0,50585.0
34,Pergamino,-33.889949,-60.573568,Argentina,AR,Buenos Aires,minor,87652.0,55244.0
35,Olavarría,-36.892715,-60.322540000000004,Argentina,AR,Buenos Aires,minor,86320.0,43798.0
36,Río Gallegos,-51.622613,-69.218127,Argentina,AR,Santa Cruz,admin,85700.0,68666.0
37,Junín,-34.583816,-60.943318000000005,Argentina,AR,Buenos Aires,minor,85007.0,47276.0
38,Presidencia Roque Sáenz Peña,-26.785221000000003,-60.438761,Argentina,AR,Chaco,minor,81879.0,70037.0
39,Luján,-34.570278,-59.105,Argentina,AR,Buenos Aires,minor,81749.0,57740.0
40,Campana,-34.168742,-58.959140000000005,Argentina,AR,Buenos Aires,minor,81612.0,72687.0
41,Necochea,-38.547259000000004,-58.736753,Argentina,AR,Buenos Aires,minor,80478.0,60646.0
42,Gualeguaychú,-33.009375,-58.517219999999995,Argentina,AR,Entre Ríos,minor,78676.0,33045.0
43,San Ramón de la Nueva Orán,-23.133979999999998,-64.32464499999999,Argentina,AR,Salta,minor,74059.0,64864.0
44,General Roca,-39.033333,-67.583333,Argentina,AR,Río Negro,,73212.0,3944.0
45,Venado Tuerto,-33.745564,-61.968844999999995,Argentina,AR,Santa Fe,,72340.0,31818.0
46,Goya,-29.14003,-59.262564000000005,Argentina,AR,Corrientes,minor,72304.0,70245.0
47,Villa Carlos Paz,-31.424138,-64.497778,Argentina,AR,Córdoba,,69451.0,51061.0
48,Concepción del Uruguay,-32.482493,-58.237217,Argentina,AR,Entre Ríos,minor,67895.0,28655.0
49,Las Heras,-32.85273,-68.828373,Argentina,AR,Mendoza,minor,66663.0,66663.0
50,Puerto Madryn,-42.769201,-65.038513,Argentina,AR,Chubut,minor,64555.0,57763.0
51,Tartagal,-22.516365,-63.801314,Argentina,AR,Salta,minor,60819.0,59174.0
52,Viedma,-40.813452000000005,-62.996676,Argentina,AR,Río Negro,admin,59122.0,48940.0
53,San Francisco,-31.427971000000003,-62.08265600000001,Argentina,AR,Córdoba,minor,59062.0,27400.0
54,San Pedro,-24.231266,-64.866141,Argentina,AR,Jujuy,minor,58430.0,52068.0
55,Ushuaia,-54.8,-68.3,Argentina,AR,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",admin,58028.0,42939.0
56,Punta Alta,-38.875875,-62.073589,Argentina,AR,Buenos Aires,minor,57209.0,54730.0
57,General Pico,-35.656622,-63.756815,Argentina,AR,La Pampa,minor,57029.0,35937.0
58,Chivilcoy,-34.895661,-60.016667000000005,Argentina,AR,Buenos Aires,minor,54514.0,32924.0
59,Azul,-36.776976,-59.858539,Argentina,AR,Buenos Aires,minor,53941.0,32874.0
60,Río Tercero,-32.173008,-64.11405500000001,Argentina,AR,Córdoba,,53389.0,22710.0
61,Mercedes,-34.651455,-59.430676,Argentina,AR,Buenos Aires,minor,52949.0,43868.0
62,Villa Mercedes,-33.674359,-65.461405,Argentina,AR,San Luis,minor,49345.0,49345.0
