,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Vienna,48.2,16.366667,Austria,AT,Wien,primary,2400000.0,1731000.0
1,Linz,48.3,14.3,Austria,AT,Oberösterreich,admin,349161.0,181162.0
2,Graz,47.066666999999995,15.45,Austria,AT,Steiermark,admin,263234.0,222326.0
3,Salzburg,47.8,13.033333,Austria,AT,Salzburg,admin,206279.0,150269.0
4,Innsbruck,47.266667,11.4,Austria,AT,Tirol,admin,155214.0,112467.0
5,Klagenfurt,46.624722,14.305278,Austria,AT,Kärnten,admin,90610.0,86566.0
6,Wiener Neustadt,47.8,16.25,Austria,AT,Niederösterreich,minor,82762.0,38481.0
7,Bregenz,47.5,9.766667,Austria,AT,Vorarlberg,admin,26928.0,26928.0
8,Eisenstadt,47.85,16.516667,Austria,AT,Burgenland,admin,13165.0,13165.0
9,Dornbirn,47.416667,9.733056,Austria,AT,Vorarlberg,minor,,
10,Deutschlandsberg,46.815278,15.222222,Austria,AT,Steiermark,minor,,
11,Hartberg,47.283333,15.966667000000001,Austria,AT,Steiermark,minor,,
12,Vöcklabruck,48.016667,13.65,Austria,AT,Oberösterreich,minor,,
13,Judenburg,47.166667,14.666667000000002,Austria,AT,Steiermark,minor,,
14,Villach,46.610278,13.855832999999999,Austria,AT,Kärnten,minor,,
15,Sankt Johann im Pongau,47.35,13.2,Austria,AT,Salzburg,minor,,
16,Voitsberg,47.033333,15.15,Austria,AT,Steiermark,minor,,
17,Zwettl,48.616667,15.166667000000002,Austria,AT,Niederösterreich,minor,,
18,Scheibbs,48.0,15.166667000000002,Austria,AT,Niederösterreich,minor,,
19,Kirchdorf,47.9,14.116667000000001,Austria,AT,Oberösterreich,minor,,
20,Gmunden,47.916667,13.8,Austria,AT,Oberösterreich,minor,,
21,Hollabrunn,48.55,16.083333,Austria,AT,Niederösterreich,minor,,
22,Wels,48.166667,14.033332999999999,Austria,AT,Oberösterreich,minor,,
23,Gmünd,48.766667,14.983332999999998,Austria,AT,Niederösterreich,minor,,
24,Völkermarkt,46.662222,14.634444,Austria,AT,Kärnten,minor,,
25,Kitzbühel,47.45,12.383333,Austria,AT,Tirol,minor,,
26,Freistadt,48.5,14.5,Austria,AT,Oberösterreich,minor,,
27,Tulln,48.333333,16.05,Austria,AT,Niederösterreich,minor,,
28,Schwaz,47.333333,11.7,Austria,AT,Tirol,minor,,
29,Tamsweg,47.133333,13.8,Austria,AT,Salzburg,minor,,
30,Mistelbach,48.57,16.576667,Austria,AT,Niederösterreich,minor,,
31,Zell am See,47.316666999999995,12.783333,Austria,AT,Salzburg,minor,,
32,Sankt Pölten,48.2,15.633332999999999,Austria,AT,Niederösterreich,admin,,
33,Horn,48.65,15.65,Austria,AT,Niederösterreich,minor,,
34,Leibnitz,46.781667,15.541667000000002,Austria,AT,Steiermark,minor,,
35,Perg,48.25,14.633332999999999,Austria,AT,Oberösterreich,minor,,
36,Amstetten,48.116667,14.866667000000001,Austria,AT,Niederösterreich,minor,,
37,Korneuburg,48.35,16.333333,Austria,AT,Niederösterreich,minor,,
38,Rohrbach,48.566666999999995,13.983332999999998,Austria,AT,Oberösterreich,minor,,
39,Lienz,46.831111,12.759722,Austria,AT,Tirol,minor,,
40,Hermagor,46.627221999999996,13.367222,Austria,AT,Kärnten,minor,,
41,Reutte,47.483333,10.716667,Austria,AT,Tirol,minor,,
42,Bruck an der Mur,47.416667,15.283332999999999,Austria,AT,Steiermark,minor,,
43,Bruck an der Leitha,48.016667,16.766667,Austria,AT,Niederösterreich,minor,,
44,Imst,47.233333,10.733333,Austria,AT,Tirol,minor,,
45,Leoben,47.383333,15.1,Austria,AT,Steiermark,minor,,
46,Sankt Veit an der Glan,46.768056,14.360278,Austria,AT,Kärnten,minor,,
47,Gänserndorf,48.338876,16.722157,Austria,AT,Niederösterreich,minor,,
48,Melk,48.216667,15.316667,Austria,AT,Niederösterreich,minor,,
49,Hallein,47.683333000000005,13.1,Austria,AT,Salzburg,minor,,
50,Mattersburg,47.733333,16.4,Austria,AT,Burgenland,minor,,
51,Feldkirchen,46.716667,14.1,Austria,AT,Kärnten,minor,,
52,Murau,47.110556,14.169444,Austria,AT,Steiermark,minor,,
53,Feldbach,46.953056,15.888333,Austria,AT,Steiermark,minor,,
54,Bludenz,47.149722,9.816667,Austria,AT,Vorarlberg,minor,,
55,Krems an der Donau,48.416667,15.6,Austria,AT,Niederösterreich,minor,,
56,Mödling,48.083333,16.283333,Austria,AT,Niederösterreich,minor,,
57,Klosterneuburg,48.3,16.316667000000002,Austria,AT,Niederösterreich,minor,,
58,Steyr,48.05,14.416667000000002,Austria,AT,Oberösterreich,minor,,
59,Neusiedl am See,47.933333000000005,16.833333,Austria,AT,Burgenland,minor,,
60,Neunkirchen,47.716667,16.083333,Austria,AT,Niederösterreich,minor,,
61,Wolfsberg,46.840556,14.844167,Austria,AT,Kärnten,minor,,
62,Landeck,47.133333,10.566667,Austria,AT,Tirol,minor,,
63,Eferding,48.316666999999995,14.016667000000002,Austria,AT,Oberösterreich,minor,,
64,Weiz,47.216667,15.616667000000001,Austria,AT,Steiermark,minor,,
65,Spittal an der Drau,46.8,13.5,Austria,AT,Kärnten,minor,,
66,Waidhofen an der Thaya,48.816666999999995,15.283332999999999,Austria,AT,Niederösterreich,minor,,
67,Rust,47.8,16.666667,Austria,AT,Burgenland,minor,,
68,Baden,48.016667,16.233333,Austria,AT,Niederösterreich,minor,,
69,Liezen,47.566666999999995,14.233332999999998,Austria,AT,Steiermark,minor,,
70,Oberwart,47.283333,16.2,Austria,AT,Burgenland,minor,,
71,Ried im Innkreis,48.216667,13.5,Austria,AT,Oberösterreich,minor,,
72,Oberpullendorf,47.5,16.516667,Austria,AT,Burgenland,minor,,
73,Güssing,47.066666999999995,16.333333,Austria,AT,Burgenland,minor,,
74,Grieskirchen,48.233333,13.833332999999998,Austria,AT,Oberösterreich,minor,,
75,Schärding,48.45,13.433333,Austria,AT,Oberösterreich,minor,,
76,Lilienfeld,48.016667,15.633332999999999,Austria,AT,Niederösterreich,minor,,
