,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Sydney,-33.861481,151.205475,Australia,AU,New South Wales,admin,4630000.0,3641422.0
1,South Melbourne,-37.833333,144.966667,Australia,AU,Victoria,,4170000.0,93625.0
2,Brisbane,-27.471009999999996,153.024292,Australia,AU,Queensland,admin,1860000.0,926353.0
3,Perth,-31.952240000000003,115.861397,Australia,AU,Western Australia,admin,1532000.0,880216.0
4,Adelaide,-34.928661,138.598633,Australia,AU,South Australia,admin,1145000.0,836354.0
5,Newcastle,-32.927792,151.78448500000002,Australia,AU,New South Wales,,1134616.0,497955.0
6,Gold Coast,-28.000290000000003,153.430878,Australia,AU,Queensland,,527660.0,332249.0
7,Cranbourne,-38.1,145.283333,Australia,AU,Victoria,,460491.0,39419.0
8,Canberra,-35.27603,149.13435,Australia,AU,Australian Capital Territory,primary,327700.0,234032.0
9,Wollongong,-34.424,150.893448,Australia,AU,New South Wales,,260914.0,141725.0
10,Geelong,-38.153461,144.358093,Australia,AU,Victoria,,160991.0,137681.0
11,Cairns,-16.92304,145.766251,Australia,AU,Queensland,,154225.0,109989.0
12,Townsville,-19.266389999999998,146.805695,Australia,AU,Queensland,,138954.0,119470.0
13,Albury,-36.074822999999995,146.924006,Australia,AU,New South Wales,,104258.0,32810.0
14,Nowra,-34.88422,150.600357,Australia,AU,New South Wales,,94781.0,27292.0
15,Darwin,-12.45722,130.836639,Australia,AU,Northern Territory,admin,93080.0,72866.0
16,Toowoomba,-27.56056,151.953857,Australia,AU,Queensland,,92800.0,80622.0
17,Ballarat,-37.56266,143.862579,Australia,AU,Victoria,,85109.0,61699.0
18,Bendigo,-36.758179,144.28024299999998,Australia,AU,Victoria,,81657.0,55923.0
19,Hobart,-42.883209,147.331665,Australia,AU,Tasmania,admin,80870.0,47700.0
20,North Mackay,-21.116667,149.183333,Australia,AU,Queensland,,75922.0,56185.0
21,Mandurah,-32.526901,115.721703,Australia,AU,Western Australia,,73356.0,32376.0
22,Launceston,-41.438759000000005,147.134674,Australia,AU,Tasmania,,72458.0,57755.0
23,Rockhampton,-23.38032,150.505951,Australia,AU,Queensland,,65850.0,52199.0
24,Coffs Harbour,-30.296260999999998,153.11351000000002,Australia,AU,New South Wales,,62978.0,34944.0
25,Wagga Wagga,-35.125771,147.353745,Australia,AU,New South Wales,,55381.0,35717.0
26,Bundaberg,-24.866211,152.3479,Australia,AU,Queensland,,52472.0,39652.0
27,Port Macquarie,-31.430840000000003,152.908936,Australia,AU,New South Wales,,48547.0,35593.0
28,Mildura,-34.185509,142.162506,Australia,AU,Victoria,,47867.0,18782.0
29,Taree,-31.91099,152.453873,Australia,AU,New South Wales,,44182.0,16081.0
30,Orange,-33.283089000000004,149.100006,Australia,AU,New South Wales,,39329.0,34087.0
31,Caloundra,-26.797090999999998,153.13771100000002,Australia,AU,Queensland,,38706.0,28768.0
32,West Tamworth,-31.10625,150.909356,Australia,AU,New South Wales,,38551.0,31609.0
33,Kalgoorlie,-30.743762,121.465902,Australia,AU,Western Australia,,36852.0,27264.0
34,Shepparton,-36.38047,145.398666,Australia,AU,Victoria,,33550.0,33311.0
35,Mount Isa,-20.725229000000002,139.497269,Australia,AU,Queensland,,33200.0,21992.0
36,Tweed Heads,-28.17561,153.542007,Australia,AU,New South Wales,,33065.0,33065.0
37,Queanbeyan,-35.354931,149.23199499999998,Australia,AU,New South Wales,,32602.0,32214.0
38,Melton,-37.683392,144.58543400000002,Australia,AU,Victoria,,32368.0,27132.0
39,Dubbo,-32.24295,148.604843,Australia,AU,New South Wales,,31574.0,29361.0
40,Caboolture,-27.08465,152.951096,Australia,AU,Queensland,,31513.0,21478.0
41,North Lismore,-28.8,153.283333,Australia,AU,New South Wales,,31430.0,24701.0
42,Gladstone,-23.84761,151.256348,Australia,AU,Queensland,,30489.0,27621.0
43,Warrnambool,-38.38176,142.487991,Australia,AU,Victoria,,29928.0,29836.0
44,Sunbury,-37.577419,144.726074,Australia,AU,Victoria,,29925.0,7430.0
