,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Baku,40.395278000000005,49.882222,Azerbaijan,AZ,Bakı,primary,2122300.0,1892000.0
1,Gəncə,40.682778000000006,46.360556,Azerbaijan,AZ,Gəncə,admin,303268.0,300131.0
2,Sumqayıt,40.589721999999995,49.668611,Azerbaijan,AZ,Sumqayıt,admin,279159.0,265150.0
3,Hacıvar,39.208067,45.446038,Azerbaijan,AZ,Babək,,94788.0,64754.0
4,Şəki,41.191944,47.170556,Azerbaijan,AZ,Şəki,admin,64968.0,62191.0
5,Lənkəran,38.755947,48.84715,Azerbaijan,AZ,Lənkəran,admin,60180.0,60180.0
6,Yevlax,40.612732,47.142329,Azerbaijan,AZ,Yevlax,admin,53716.0,46312.0
7,Göyçay,40.650555,47.74219,Azerbaijan,AZ,Göyçay,admin,35348.0,34715.0
8,Tovuz,40.992487,45.628384000000004,Azerbaijan,AZ,Tovuz,admin,12626.0,12626.0
9,Qəbələ,40.982473999999996,47.849092,Azerbaijan,AZ,Qəbələ,admin,11867.0,11867.0
10,Gədəbəy,40.570551,45.812288,Azerbaijan,AZ,Gədəbəy,admin,8657.0,8657.0
11,Goranboy,40.610278,46.789722,Azerbaijan,AZ,Goranboy,admin,7333.0,7333.0
12,Oğuz,41.07128,47.465284000000004,Azerbaijan,AZ,Oğuz,admin,6876.0,6876.0
13,Zaqatala,41.631596,46.644791,Azerbaijan,AZ,Zaqatala,admin,,
14,Mingəçevir,40.763946999999995,47.059533,Azerbaijan,AZ,Mingəçevir,admin,,
15,Xızı,40.905761,49.081268,Azerbaijan,AZ,Xızı,admin,,
16,Xırdalan,40.448085,49.755022,Azerbaijan,AZ,Abşeron,admin,,
17,Heydərabad,39.722857,44.848458,Azerbaijan,AZ,Sədərək,admin,,
18,Zəngilan,39.088401,46.6513,Azerbaijan,AZ,Zəngilan,admin,,
19,Ağstafa,41.114834,45.446825,Azerbaijan,AZ,Ağstafa,admin,,
20,Ucar,40.515671000000005,47.654648,Azerbaijan,AZ,Ucar,admin,,
21,Göygöl,40.585838,46.318897,Azerbaijan,AZ,Göygöl,admin,,
22,Xocavənd,39.795464,47.109891,Azerbaijan,AZ,Xocavənd,admin,,
23,Xaçmaz,41.464258,48.805652,Azerbaijan,AZ,Xaçmaz,admin,,
24,Kəlbəcər,40.109842,46.04446,Azerbaijan,AZ,Kəlbəcər,admin,,
25,Yardımlı,38.907711,48.240521,Azerbaijan,AZ,Yardımlı,admin,,
26,Daşkəsən,40.523932,46.081863,Azerbaijan,AZ,Daşkəsən,admin,,
27,Kürdəmir,40.345318,48.150847,Azerbaijan,AZ,Kürdəmir,admin,,
28,Hacıqabul,40.038743,48.942865000000005,Azerbaijan,AZ,Hacıqabul,admin,,
29,Qax,41.418259,46.920429999999996,Azerbaijan,AZ,Qax,admin,,
30,Qazax,41.092459999999996,45.365608,Azerbaijan,AZ,Qazax,admin,,
31,Tərtər,40.341794,46.932418,Azerbaijan,AZ,Tərtər,admin,,
32,Biləsuvar,39.458333,48.545,Azerbaijan,AZ,Biləsuvar,admin,,
33,Şəmkir,40.82975,46.017804,Azerbaijan,AZ,Şəmkir,admin,,
34,Qubadlı,39.344407000000004,46.581834,Azerbaijan,AZ,Qubadlı,admin,,
35,Quba,41.361077,48.513411,Azerbaijan,AZ,Quba,admin,,
36,Qusar,41.427496000000005,48.4302,Azerbaijan,AZ,Qusar,admin,,
37,Babək,39.154592,45.442825,Azerbaijan,AZ,Babək,minor,,
38,Füzuli,39.60094,47.14529,Azerbaijan,AZ,Füzuli,admin,,
39,Cəbrayıl,39.399173,47.028345,Azerbaijan,AZ,Cəbrayıl,admin,,
40,Salyan,39.596214,48.984786,Azerbaijan,AZ,Salyan,admin,,
41,Xocalı,39.912973,46.790284,Azerbaijan,AZ,Xocalı,admin,,
42,Astara,38.455977000000004,48.87498,Azerbaijan,AZ,Astara,admin,,
43,Culfa,38.95397,45.62961,Azerbaijan,AZ,Culfa,minor,,
44,Ağdaş,40.646987,47.473803000000004,Azerbaijan,AZ,Ağdaş,admin,,
45,Lerik,38.773883000000005,48.414969,Azerbaijan,AZ,Lerik,admin,,
46,Masallı,39.027781,48.670276,Azerbaijan,AZ,Masallı,admin,,
47,Ağdam,40.908483000000004,45.554269,Azerbaijan,AZ,Tovuz,,0.0,0.0
48,Beyləqan,39.775556,47.618611,Azerbaijan,AZ,Beyləqan,admin,,
49,Ağsu,40.569167,48.396476,Azerbaijan,AZ,Ağsu,admin,,
50,Qobustan,40.533601000000004,48.928193,Azerbaijan,AZ,Qobustan,admin,,
51,Bərdə,40.375768,47.126191,Azerbaijan,AZ,Bərdə,admin,,
52,Ordubad,38.90961,46.022737,Azerbaijan,AZ,Ordubad,admin,,
53,Balakən,41.726258,46.40478,Azerbaijan,AZ,Balakən,admin,,
54,İsmayıllı,40.784846,48.151409,Azerbaijan,AZ,İsmayıllı,admin,,
55,Şuşa,39.760057,46.749893,Azerbaijan,AZ,Şuşa,admin,,
56,Samux,40.764854,46.408678,Azerbaijan,AZ,Samux,admin,,
57,Ağcabədi,40.050146000000005,47.459367,Azerbaijan,AZ,Ağcabədi,admin,,
58,Ağdam,39.99096,46.927356,Azerbaijan,AZ,Ağdam,admin,,
59,Dəvəçi,41.201166,48.987117,Azerbaijan,AZ,Şabran,admin,,
60,İmişli,39.872398,48.064928,Azerbaijan,AZ,İmişli,admin,,
61,Saatlı,39.932137,48.368919,Azerbaijan,AZ,Saatlı,admin,,
62,Naxçıvan,39.208846,45.411887,Azerbaijan,AZ,Naxçıvan,admin,,
63,Siyəzən,41.077538,49.112573,Azerbaijan,AZ,Siyəzən,admin,,
64,Şahbuz,39.407222,45.573889,Azerbaijan,AZ,Şahbuz,admin,,
65,Cəlilabad,39.209633000000004,48.491862,Azerbaijan,AZ,Cəlilabad,admin,,
66,Sabirabad,40.008688,48.47701,Azerbaijan,AZ,Sabirabad,admin,,
67,Neftçala,39.376798,49.246998,Azerbaijan,AZ,Neftçala,admin,,
68,Laçın,39.643401000000004,46.546206,Azerbaijan,AZ,Laçın,admin,,
69,Naftalan,40.508208,46.820302000000005,Azerbaijan,AZ,Naftalan,admin,,
70,Zərdab,40.219906,47.709967999999996,Azerbaijan,AZ,Zərdab,admin,,
71,Şərur,39.554358,44.982597,Azerbaijan,AZ,Şərur,admin,,
72,Qıvraq,39.399389,45.11513,Azerbaijan,AZ,Kəngərli,admin,,
