,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Sarajevo,43.85,18.383333,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",primary,696731.0,628902.0
1,Banja Luka,44.778422,17.193865,Bosnia And Herzegovina,BA,"Srpska, Republika",admin,221738.0,221106.0
2,Heca,44.243257,17.900481,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",,164423.0,138353.0
3,Mostar,43.343333,17.808056,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,163067.0,104518.0
4,Tuzla,44.538419,18.667091,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,144334.0,142486.0
5,Prijedor,44.97991,16.714012,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,104858.0,36347.0
6,Kladanj,44.226690999999995,18.692743,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
7,Šekovići,44.298959,18.855317000000003,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
8,Laktaši,44.908569,17.301351999999998,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
9,Lopare,44.634980999999996,18.843396,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
10,Bosansko Grahovo,44.179444000000004,16.363889,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
11,Petrovo,44.628043,18.353231,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
12,Bosanski Petrovac,44.555369,16.368973999999998,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
13,Šamac,45.059865,18.467557,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
14,Milići,44.170155,19.091954,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
15,Čajniče,43.557125,19.071859,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
16,Hreša,43.878001,18.496991,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
17,Bihać,44.816944,15.870833,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
18,Hadžići,43.822222,18.206667000000003,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
19,Han Pijesak,44.081607,18.952576,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
20,Sokolac,43.938169,18.800787,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
21,Sapna,44.503803999999995,18.998179999999998,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
22,Modriča,44.956061,18.302034,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
23,Kotor Varoš,44.618311,17.372044,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
24,Vlasenica,44.181834,18.940965,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
25,Kupres,43.992729,17.276388,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
26,Bratunac,44.18455,19.330847,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
27,Glamoč,44.045833,16.848611,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
28,Lukavac,44.542451,18.526181,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
29,Srebrenica,44.107479999999995,19.296687,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
30,Donji Žabar,44.943169,18.646734,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
31,Fojnica,43.959523,17.902876000000003,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
32,Omanjska,44.698308000000004,17.957575,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
33,Kopači,43.678328,19.028445,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
34,Tešanj,44.611914,17.985516,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
35,Ugljevik,44.664165000000004,19.020588,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
36,Novo Selo,44.080073999999996,17.155564000000002,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
37,Jezero,44.349537,17.168798000000002,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
38,Brčko,44.869951,18.810124,Bosnia And Herzegovina,BA,Brcko District,admin,,
39,Ljubuški,43.196944,17.545,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
40,Bužim,45.053606,16.03254,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
41,Tomislavgrad,43.718485,17.225149,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
42,Mrkonjić Grad,44.417289000000004,17.082884,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
43,Ilijaš,43.951275,18.271283,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
44,Dobratići,44.377917,17.414255999999998,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
45,Živinice,44.449289,18.649778,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
46,Gornji Vakuf,43.938056,17.588333,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
47,Žepče,44.426667,18.037778,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
48,Ustikolina,43.595636999999996,18.783239000000002,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
49,Travnik,44.226366,17.665825,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
50,Prozor,43.822222,17.609167000000003,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
51,Rudo,43.617810999999996,19.36719,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
52,Jajce,44.342029,17.270592999999998,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
53,Prnjavor,44.870213,17.662561,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
54,Lukavica,43.826927000000005,18.383184,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
55,Kiseljak,43.942946,18.081319,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
56,Stolac,43.083999999999996,17.959953,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
57,Zavidovići,44.445833,18.149722,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
58,Drvar,44.373889,16.380833,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
59,Šipovo,44.282373,17.085974,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
60,Novi Travnik,44.171326,17.658154999999997,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
61,Ravno,42.887412,17.965548000000002,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
62,Velika Kladuša,45.184969,15.805793,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
63,Potoci,44.39261,16.620012,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
64,Breza,44.018619,18.260627,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
65,Čapljina,43.121389,17.684444,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
66,Čelić,44.725239,18.814745000000002,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
67,Matuzići,44.687758,18.048854000000002,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
68,Rogatica,43.798938,19.003629,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
69,Cazin,44.966944,15.943056,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
