,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Brussels,50.833333,4.3333330000000005,Belgium,BE,Brussels-Capital Region,primary,1743000.0,1019022.0
1,Antwerp,51.213885999999995,4.401514,Belgium,BE,Flanders,minor,920000.0,459805.0
2,Liège,50.638674,5.570228,Belgium,BE,Wallonia,minor,749110.0,196496.0
3,Gent,51.05,3.7166669999999997,Belgium,BE,Flanders,minor,444336.0,231493.0
4,Charleroi,50.409473,4.452483,Belgium,BE,Wallonia,minor,345367.0,200132.0
5,Brugge,51.210933000000004,3.225971,Belgium,BE,Flanders,minor,146469.0,116709.0
6,Namur,50.469923,4.8257699999999994,Belgium,BE,Wallonia,admin,106284.0,88027.0
7,Mons,50.45527,3.951623,Belgium,BE,Wallonia,minor,91277.0,91277.0
8,Hasselt,50.933333000000005,5.3333330000000005,Belgium,BE,Flanders,minor,69222.0,69222.0
9,Arlon,49.683333000000005,5.816667,Belgium,BE,Wallonia,minor,26179.0,26179.0
10,Mouscron,50.744968,3.206388,Belgium,BE,Wallonia,minor,,
11,Vilvoorde,50.920893,4.4071169999999995,Belgium,BE,Flanders,minor,,
12,Virton,49.56824,5.532588,Belgium,BE,Wallonia,minor,,
13,Tournai,50.60715,3.389321,Belgium,BE,Wallonia,minor,,
14,Leuven,50.879336,4.699048,Belgium,BE,Flanders,minor,,
15,Ieper,50.851141999999996,2.885688,Belgium,BE,Flanders,minor,,
16,Roeselare,50.946319,3.122785,Belgium,BE,Flanders,minor,,
17,Dendermonde,51.028690999999995,4.101058999999999,Belgium,BE,Flanders,minor,,
18,Tielt,50.999307,3.327067,Belgium,BE,Flanders,minor,,
19,Veurne,51.072307,2.662384,Belgium,BE,Flanders,minor,,
20,Oudenaarde,50.851684000000006,3.608914,Belgium,BE,Flanders,minor,,
21,Philippeville,50.196124,4.543744,Belgium,BE,Wallonia,minor,,
22,Waremme,50.695287,5.254554,Belgium,BE,Wallonia,minor,,
23,Oostende,51.223392,2.911854,Belgium,BE,Flanders,minor,,
24,Wavre,50.713908,4.629657,Belgium,BE,Wallonia,minor,,
25,Thuin,50.341464,4.289944,Belgium,BE,Wallonia,minor,,
26,Ath,50.629569000000004,3.778033,Belgium,BE,Wallonia,minor,,
27,Hannut,50.671415,5.078981,Belgium,BE,Wallonia,minor,,
28,Marche-en-Famenne,50.2,5.3333330000000005,Belgium,BE,Wallonia,minor,,
29,Tongeren,50.783333,5.466667,Belgium,BE,Flanders,minor,,
30,Maaseik,51.09552,5.790609,Belgium,BE,Flanders,minor,,
31,Mechelen,51.028298,4.479327,Belgium,BE,Flanders,minor,,
32,Lincent,50.713291,5.033473000000001,Belgium,BE,Wallonia,minor,,
33,Huy,50.523582,5.241276,Belgium,BE,Wallonia,minor,,
34,Nivelles,50.598477,4.326529,Belgium,BE,Wallonia,minor,,
35,Aalst,50.936040999999996,4.035499,Belgium,BE,Flanders,minor,,
36,Enghien,50.689555,4.0313360000000005,Belgium,BE,Wallonia,minor,,
37,Soignies,50.579415999999995,4.070123000000001,Belgium,BE,Wallonia,minor,,
38,Dinant,50.264655,4.923573,Belgium,BE,Wallonia,minor,,
39,Eeklo,51.187027,3.5565379999999998,Belgium,BE,Flanders,minor,,
40,Neufchâteau,49.840738,5.435347,Belgium,BE,Wallonia,minor,,
41,Turnhout,51.322536,4.944711,Belgium,BE,Flanders,minor,,
42,Verviers,50.585558,5.87697,Belgium,BE,Wallonia,minor,,
43,Kortrijk,50.824053,3.267595,Belgium,BE,Flanders,minor,,
44,Bastogne,50.003471999999995,5.71844,Belgium,BE,Wallonia,minor,,
45,Sint-Niklaas,51.165092,4.1437029999999995,Belgium,BE,Flanders,minor,,
46,Diksmuide,51.032483,2.863836,Belgium,BE,Flanders,minor,,
