,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Bujumbura,-3.3822,29.3644,Burundi,BI,,primary,331700.0,331700.0
1,Mugongora,-2.8285,30.2872,Burundi,BI,Muyinga,,71076.0,71076.0
2,Ruyigi,-3.4763889999999997,30.248611,Burundi,BI,Ruyigi,admin,38458.0,38458.0
3,Gitega,-3.4264,29.9308,Burundi,BI,Gitega,admin,23167.0,23167.0
4,Ngozi,-2.9075,29.8306,Burundi,BI,Ngozi,admin,21506.0,21506.0
5,Rutana,-3.9228,30.009,Burundi,BI,Rutana,,20893.0,20893.0
6,Bururi,-3.9519,29.6871,Burundi,BI,Bururi,,20393.0,19740.0
7,Makamba,-4.1348,29.804000000000002,Burundi,BI,Makamba,admin,19642.0,19642.0
8,Yanza,-2.931,29.5811,Burundi,BI,Kayanza,,19443.0,19443.0
9,Muramvya,-3.2696,29.6265,Burundi,BI,Muramvya,,18041.0,18041.0
10,Rutana,-3.1164,29.3621,Burundi,BI,Bubanza,,12728.0,12728.0
11,Karuzi,-3.1013889999999997,30.162778000000003,Burundi,BI,Karuzi,admin,10705.0,10705.0
12,Cankuzo,-3.2121,30.5679,Burundi,BI,Cankuzo,,6585.0,6585.0
13,Kirundo,-2.5845,30.0959,Burundi,BI,Kirundo,admin,6083.0,6083.0
14,Mwaro,-3.5113,29.7051,Burundi,BI,Mwaro,admin,,
15,Rutana,-3.9279,29.991999999999997,Burundi,BI,Rutana,admin,,
16,Bururi,-3.9461,29.6197,Burundi,BI,Bururi,admin,,
17,Cankuzo,-3.2186,30.5528,Burundi,BI,Cankuzo,admin,,
18,Bubanza,-3.0804,29.391,Burundi,BI,Bubanza,admin,,
19,Kayanza,-2.9221,29.6293,Burundi,BI,Kayanza,admin,,
20,Rumonge,-3.9736,29.4386,Burundi,BI,Rumonge,admin,,
21,Muyinga,-2.8451,30.3414,Burundi,BI,Muyinga,admin,,
22,Isale,-3.3489,29.4839,Burundi,BI,Bujumbura Rural,admin,,
23,Cibitoke,-2.8869,29.1248,Burundi,BI,Cibitoke,admin,,
24,Muramvya,-3.2682,29.6079,Burundi,BI,Muramvya,admin,,
