,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Gaborone,-24.646389000000003,25.911944000000002,Botswana,BW,Gaborone,primary,208411.0,159243.0
1,Francistown,-21.17,27.507778000000002,Botswana,BW,Francistown,admin,89979.0,88380.0
2,Lobatse,-25.214167,25.680833,Botswana,BW,Lobatse,admin,69804.0,30883.0
3,Molepolole,-24.406587,25.495079,Botswana,BW,Kweneng,admin,63248.0,52178.0
4,Mahalapye,-23.104067999999998,26.814214,Botswana,BW,Central,,50744.0,44471.0
5,Maun,-19.983333,23.416667,Botswana,BW,North West,admin,49945.0,44173.0
6,Serowe,-22.383333,26.716666999999998,Botswana,BW,Central,admin,48573.0,47419.0
7,Kanye,-24.966746,25.332735,Botswana,BW,Southern,admin,46831.0,44716.0
8,Mochudi,-24.416667,26.15,Botswana,BW,Kgatleng,admin,39700.0,39700.0
9,Palapye,-22.546048000000003,27.12507,Botswana,BW,Central,,30650.0,23708.0
10,Tshabong,-26.05,22.45,Botswana,BW,Kgalagadi,admin,9679.0,9679.0
11,Kasane,-17.816667000000002,25.15,Botswana,BW,Chobe,admin,9250.0,6299.0
12,Nata,-20.216667,26.183332999999998,Botswana,BW,,,4794.0,191.0
13,Mopipi,-21.183332999999998,24.883333,Botswana,BW,Central,,3301.0,3301.0
14,Lehututu,-23.966667,21.866667,Botswana,BW,,,1942.0,1942.0
15,Nokaneng,-19.666667,22.266667,Botswana,BW,,,1763.0,1763.0
16,Lokwabe,-24.166667,21.833333,Botswana,BW,,,1473.0,1473.0
17,Tsau,-20.15,22.45,Botswana,BW,,,1409.0,1409.0
18,Muhembo,-18.3,21.8,Botswana,BW,,,757.0,757.0
19,Sowa Town,-20.563610999999998,26.224444000000002,Botswana,BW,Sowa Town,admin,,
20,Masunga,-20.624546,27.448752000000002,Botswana,BW,North East,admin,,
21,Selibe Phikwe,-21.975832999999998,27.834721999999996,Botswana,BW,Selibe Phikwe,admin,,
22,Ghanzi,-21.566667000000002,21.783333,Botswana,BW,Ghanzi,admin,,
23,Ramotswa,-24.871579,25.869892999999998,Botswana,BW,South East,admin,,
24,Jwaneng,-24.601667000000003,24.728056,Botswana,BW,Jwaneng,admin,,
