,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Minsk,53.9,27.566667,Belarus,BY,,primary,1805000.0,1577138.0
1,Horad Homyel’,52.441667,30.983333000000002,Belarus,BY,Homyel’skaya Voblasts’,admin,480951.0,463724.0
2,Horad Mahilyow,53.913889000000005,30.336389,Belarus,BY,Mahilyowskaya Voblasts’,admin,369200.0,317854.0
3,Horad Vitsyebsk,55.1925,30.194444,Belarus,BY,Vitsyebskaya Voblasts’,admin,342700.0,323937.0
4,Hrodna,53.7559,23.831999999999997,Belarus,BY,Hrodzyenskaya Voblasts’,,317365.0,254369.0
5,Brest,52.097547999999996,23.687751000000002,Belarus,BY,Brestskaya Voblasts’,admin,300715.0,232835.0
6,Babruysk,53.1384,29.2214,Belarus,BY,Mahilyowskaya Voblasts’,minor,220517.0,205126.0
7,Baranavichy,53.1327,26.0139,Belarus,BY,Brestskaya Voblasts’,minor,168772.0,144257.0
8,Horad Barysaw,54.2279,28.505,Belarus,BY,Minskaya Voblasts’,minor,155389.0,100000.0
9,Orsha,54.5081,30.4172,Belarus,BY,Vitsyebskaya Voblasts’,minor,135206.0,125347.0
10,Pinsk,52.1229,26.0951,Belarus,BY,Brestskaya Voblasts’,minor,130777.0,110900.0
11,Mazyr,52.0495,29.2456,Belarus,BY,Homyel’skaya Voblasts’,minor,112137.0,89735.0
12,Maladzyechna,54.3167,26.854,Belarus,BY,Minskaya Voblasts’,minor,101300.0,90810.0
13,Lida,53.88333299999999,25.299722,Belarus,BY,Hrodzyenskaya Voblasts’,,100216.0,98036.0
14,Polatsk,55.4879,28.7856,Belarus,BY,Vitsyebskaya Voblasts’,minor,82258.0,76174.0
15,Vyetka,52.5591,31.1794,Belarus,BY,Homyel’skaya Voblasts’,minor,,
16,Horad Kobryn,52.216111,24.366389,Belarus,BY,Brestskaya Voblasts’,minor,,
17,Horad Pinsk,52.121389,26.072778,Belarus,BY,Brestskaya Voblasts’,minor,,
18,Horad Luninyets,52.250278,26.799444,Belarus,BY,Brestskaya Voblasts’,minor,,
19,Byaroza,52.5314,24.9786,Belarus,BY,Brestskaya Voblasts’,minor,,
20,Dobrush,52.4089,31.3237,Belarus,BY,Homyel’skaya Voblasts’,minor,,
21,Brahin,51.787,30.2677,Belarus,BY,Homyel’skaya Voblasts’,minor,,
22,Asipovichy,53.3011,28.6386,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
23,Slawharad,53.4429,31.0014,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
24,Klyetsk,53.0635,26.6321,Belarus,BY,Minskaya Voblasts’,minor,,
25,Horad Smalyavichy,54.0249,28.0894,Belarus,BY,Minskaya Voblasts’,minor,,
26,Chachersk,52.9164,30.9179,Belarus,BY,Homyel’skaya Voblasts’,minor,,
27,Chavusy,53.8098,30.9717,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
28,Pastavy,55.1136,26.8509,Belarus,BY,Vitsyebskaya Voblasts’,minor,,
29,Kapyl’,53.1516,27.0913,Belarus,BY,Minskaya Voblasts’,minor,,
30,Kastsyukovichy,53.3525,32.0514,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
31,Krychaw,53.7125,31.717,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
32,Shklow,54.2131,30.2877,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
33,Salihorsk,52.7876,27.5415,Belarus,BY,Minskaya Voblasts’,minor,,
34,Horad Orsha,54.515278,30.405278000000003,Belarus,BY,Vitsyebskaya Voblasts’,minor,,
35,Braslaw,55.6413,27.0418,Belarus,BY,Vitsyebskaya Voblasts’,minor,,
36,Krupki,54.3178,29.1374,Belarus,BY,Minskaya Voblasts’,minor,,
37,Mahilyow,53.9168,30.3449,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
38,Svyetlahorsk,52.6329,29.7389,Belarus,BY,Homyel’skaya Voblasts’,minor,,
39,Zhlobin,52.8926,30.024,Belarus,BY,Homyel’skaya Voblasts’,minor,,
40,Astravyets,54.6145,25.9571,Belarus,BY,Hrodzyenskaya Voblasts’,minor,,
41,Lyel’chytsy,51.7862,28.3288,Belarus,BY,Homyel’skaya Voblasts’,minor,,
42,Drybin,54.1192,31.0939,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
43,Chashniki,54.8584,29.1608,Belarus,BY,Vitsyebskaya Voblasts’,minor,,
44,Cherykaw,53.5689,31.3831,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
45,Masty,53.4122,24.5387,Belarus,BY,Hrodzyenskaya Voblasts’,admin,,
46,Hlybokaye,55.1384,27.6905,Belarus,BY,Vitsyebskaya Voblasts’,minor,,
47,Homyel’,52.4345,30.9754,Belarus,BY,Homyel’skaya Voblasts’,admin,,
48,Hantsavichy,52.758,26.43,Belarus,BY,Brestskaya Voblasts’,minor,,
49,Myadzyel,54.8789,26.9371,Belarus,BY,Minskaya Voblasts’,minor,,
50,Bykhaw,53.521,30.2454,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
51,Loyew,51.9458,30.7953,Belarus,BY,Homyel’skaya Voblasts’,minor,,
52,Khoyniki,51.8911,29.9552,Belarus,BY,Homyel’skaya Voblasts’,minor,,
53,Staryya Darohi,53.0402,28.267,Belarus,BY,Minskaya Voblasts’,minor,,
54,Ashmyany,54.42100000000001,25.936,Belarus,BY,Hrodzyenskaya Voblasts’,minor,,
55,Rasony,55.9058,28.8135,Belarus,BY,Vitsyebskaya Voblasts’,minor,,
56,Lyakhavichy,53.0388,26.2656,Belarus,BY,Brestskaya Voblasts’,minor,,
57,Kalinkavichy,52.1323,29.3257,Belarus,BY,Homyel’skaya Voblasts’,minor,,
58,Krasnapollye,53.3353,31.3999,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
59,Lyozna,55.0247,30.796999999999997,Belarus,BY,Vitsyebskaya Voblasts’,minor,,
60,Slonim,53.0869,25.3163,Belarus,BY,Hrodzyenskaya Voblasts’,minor,,
61,Smarhon’,54.4798,26.3957,Belarus,BY,Hrodzyenskaya Voblasts’,minor,,
62,Haradok,55.4624,29.9845,Belarus,BY,Vitsyebskaya Voblasts’,minor,,
63,Vilyeyka,54.4914,26.9111,Belarus,BY,Minskaya Voblasts’,minor,,
64,Shchuchin,53.6014,24.7465,Belarus,BY,Hrodzyenskaya Voblasts’,admin,,
