,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Toronto,43.666667,-79.416667,Canada,CA,Ontario,admin,5213000,3934421
1,Montréal,45.5,-73.583333,Canada,CA,Québec,,3678000,2356556
2,Vancouver,49.25,-123.13333300000001,Canada,CA,British Columbia,,2313328,603502
3,Ottawa,45.416667,-75.7,Canada,CA,Ontario,primary,1145000,812129
4,Calgary,51.083333,-114.08333300000001,Canada,CA,Alberta,,1110000,915322
5,Edmonton,53.55,-113.5,Canada,CA,Alberta,admin,1058000,712391
6,Hamilton,43.256101,-79.857484,Canada,CA,Ontario,,721053,519949
7,Winnipeg,49.883333,-97.166667,Canada,CA,Manitoba,admin,632063,575313
8,Québec,46.8,-71.25,Canada,CA,Québec,admin,624177,528595
9,Oshawa,43.9,-78.866667,Canada,CA,Ontario,,450963,247989
10,Kitchener,43.446976,-80.472484,Canada,CA,Ontario,,417001,409112
11,Halifax,44.65,-63.6,Canada,CA,Nova Scotia,admin,359111,222874
12,London,42.983333,-81.25,Canada,CA,Ontario,,346765,335035
13,Windsor,42.301649,-83.030744,Canada,CA,Ontario,,319246,210891
14,Victoria,48.450234,-123.343529,Canada,CA,British Columbia,admin,289625,251358
15,Saskatoon,52.133333,-106.66666699999999,Canada,CA,Saskatchewan,,198958,189193
16,Barrie,44.383333,-79.7,Canada,CA,Ontario,,182041,119732
17,Regina,50.45,-104.616667,Canada,CA,Saskatchewan,admin,176183,176183
18,Sudbury,46.5,-80.966667,Canada,CA,Ontario,,157857,80507
19,Abbotsford,49.05,-122.3,Canada,CA,British Columbia,,151683,151683
20,Sarnia,42.978417,-82.388177,Canada,CA,Ontario,,144172,82998
21,Sherbrooke,45.4,-71.9,Canada,CA,Québec,,139652,129447
22,Saint John’s,47.55,-52.666667000000004,Canada,CA,Newfoundland and Labrador,admin,131469,99182
23,Kelowna,49.9,-119.483333,Canada,CA,British Columbia,,125109,95306
24,Trois-Rivières,46.35,-72.55,Canada,CA,Québec,,119693,116409
25,Kingston,44.3,-76.56666700000001,Canada,CA,Ontario,,114195,102400
26,Thunder Bay,48.4,-89.233333,Canada,CA,Ontario,,99334,97374
27,Moncton,46.09652,-64.79757,Canada,CA,New Brunswick,,90635,87467
28,Saint John,45.230798,-66.095316,Canada,CA,New Brunswick,,87857,54449
29,Nanaimo,49.15,-123.91666699999999,Canada,CA,British Columbia,,84905,80491
30,Peterborough,44.3,-78.333333,Canada,CA,Ontario,,83627,75877
31,Saint-Jérôme,45.766667,-74.0,Canada,CA,Québec,,78439,54948
32,Red Deer,52.266667,-113.8,Canada,CA,Alberta,,74857,73593
33,Lethbridge,49.7,-112.83333300000001,Canada,CA,Alberta,,70617,58571
34,Kamloops,50.666667,-120.33333300000001,Canada,CA,British Columbia,,68714,68628
35,Prince George,53.916667000000004,-122.766667,Canada,CA,British Columbia,,65558,62707
36,Medicine Hat,50.033333,-110.683333,Canada,CA,Alberta,,63138,53626
37,Drummondville,45.883333,-72.483333,Canada,CA,Québec,,59489,54123
38,Chicoutimi,48.45,-71.06666700000001,Canada,CA,Québec,,53940,53940
39,Fredericton,45.910647999999995,-66.658649,Canada,CA,New Brunswick,admin,52337,36713
40,Chilliwack,49.166667,-121.95,Canada,CA,British Columbia,,51942,51942
41,North Bay,46.3,-79.45,Canada,CA,Ontario,,50170,41807
42,Shawinigan-Sud,46.528557,-72.751453,Canada,CA,Québec,,49161,34342
43,Cornwall,45.016667,-74.733333,Canada,CA,Ontario,,48821,46382
44,Joliette,46.034,-73.441,Canada,CA,Québec,,45361,34772
45,Belleville,44.166667,-77.383333,Canada,CA,Ontario,,43990,43990
46,Charlottetown,46.238225,-63.139481,Canada,CA,Prince Edward Island,admin,42402,31293
47,Victoriaville,46.063106,-71.958802,Canada,CA,Québec,,41500,34426
48,Grande Prairie,55.166667000000004,-118.8,Canada,CA,Alberta,,41462,40845
49,Penticton,49.5,-119.58333300000001,Canada,CA,British Columbia,,37721,30349
50,Sydney,46.15,-60.166667000000004,Canada,CA,Nova Scotia,,37538,37538
51,Orillia,44.6,-79.416667,Canada,CA,Ontario,,37483,30178
52,Rimouski,48.433333000000005,-68.516667,Canada,CA,Québec,,35584,35584
53,Timmins,48.466667,-81.333333,Canada,CA,Ontario,,34974,32901
54,Prince Albert,53.2,-105.75,Canada,CA,Saskatchewan,,34609,24678
55,Campbell River,50.016667,-125.25,Canada,CA,British Columbia,,33430,26453
56,Courtenay,49.683333000000005,-125.0,Canada,CA,British Columbia,,32793,25099
57,Orangeville,43.916366,-80.096671,Canada,CA,Ontario,,32640,28984
58,Moose Jaw,50.4,-105.55,Canada,CA,Saskatchewan,,32166,30707
59,Brandon,49.833333,-99.95,Canada,CA,Manitoba,,28418,26234
60,Brockville,44.594958,-75.682133,Canada,CA,Ontario,,26458,23886
61,Saint-Georges,46.116667,-70.68333299999999,Canada,CA,Québec,,26149,26149
62,Sept-Îles,50.2,-66.383333,Canada,CA,Québec,,25686,25686
63,Rouyn-Noranda,48.25,-79.016667,Canada,CA,Québec,,24602,24023
64,Whitehorse,60.716667,-135.05,Canada,CA,Yukon,admin,23276,23272
65,Owen Sound,44.566666999999995,-80.85,Canada,CA,Ontario,,22625,22625
66,Fort McMurray,56.733332999999995,-111.38333300000001,Canada,CA,Alberta,,21863,21863
67,Corner Brook,48.95,-57.933333,Canada,CA,Newfoundland and Labrador,,20791,18693
68,Val-d’Or,48.116667,-77.766667,Canada,CA,Québec,,20625,20625
69,New Glasgow,45.583333,-62.63333299999999,Canada,CA,Nova Scotia,,20322,19445
70,Terrace,54.5,-128.583333,Canada,CA,British Columbia,,19443,10101
71,North Battleford,52.766667000000005,-108.28333300000001,Canada,CA,Saskatchewan,,19440,12003
72,Yellowknife,62.45,-114.35,Canada,CA,Northwest Territories,admin,19234,18083
73,Fort Saint John,56.25,-120.83333300000001,Canada,CA,British Columbia,,18776,17402
74,Cranbrook,49.516667,-115.766667,Canada,CA,British Columbia,,18610,17370
75,Edmundston,47.36226,-68.327874,Canada,CA,New Brunswick,,17894,17894
76,Rivière-du-Loup,47.833333,-69.533333,Canada,CA,Québec,,16403,16403
77,Camrose,53.016667000000005,-112.816667,Canada,CA,Alberta,,15808,15686
78,Pembroke,45.816666999999995,-77.116667,Canada,CA,Ontario,,15551,15551
79,Yorkton,51.216667,-102.466667,Canada,CA,Saskatchewan,,15172,13583
80,Swift Current,50.283333,-107.766667,Canada,CA,Saskatchewan,,14906,14703
81,Prince Rupert,54.316667,-130.333333,Canada,CA,British Columbia,,14708,14708
82,Williams Lake,52.116667,-122.15,Canada,CA,British Columbia,,14168,10554
