,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Geneva,46.195602,6.1481129999999995,Switzerland,CH,Genève,admin,1240000.0,192385.0
1,Zürich,47.366667,8.55,Switzerland,CH,Zürich,admin,1108000.0,341730.0
2,Basel,47.558395000000004,7.573271000000001,Switzerland,CH,Basel-Stadt,admin,830000.0,170635.0
3,Bern,46.916667,7.466667,Switzerland,CH,Bern,primary,275329.0,121631.0
4,Lausanne,46.533333,6.6666669999999995,Switzerland,CH,Vaud,admin,265702.0,116751.0
5,Lucerne,47.083333,8.266667,Switzerland,CH,Luzern,admin,250000.0,77491.0
6,Lugano,46.009279,8.955575999999999,Switzerland,CH,Ticino,,105388.0,26365.0
7,Sankt Fiden,47.43162,9.39845,Switzerland,CH,Sankt Gallen,,70572.0,70572.0
8,Chur,46.856753000000005,9.526917999999998,Switzerland,CH,Graubünden,admin,38293.0,32429.0
9,Schaffhausen,47.697316,8.634929,Switzerland,CH,Schaffhausen,admin,33863.0,33863.0
10,Fribourg,46.79572,7.154748,Switzerland,CH,Fribourg,admin,32827.0,32827.0
11,Neuchâtel,46.993089000000005,6.93005,Switzerland,CH,Neuchâtel,admin,31270.0,31270.0
12,Tripon,46.270839,7.317785000000001,Switzerland,CH,Valais,,28045.0,28045.0
13,Zug,47.172421,8.517445,Switzerland,CH,Zug,admin,23435.0,23435.0
14,Frauenfeld,47.55993,8.8998,Switzerland,CH,Thurgau,,21979.0,21979.0
15,Bellinzona,46.194902,9.024728999999999,Switzerland,CH,Ticino,,16572.0,16572.0
16,Aarau,47.389616,8.052354,Switzerland,CH,Aargau,admin,15501.0,15501.0
17,Herisau,47.382709999999996,9.27186,Switzerland,CH,Appenzell Ausserrhoden,,15438.0,15438.0
18,Solothurn,47.206649,7.516605,Switzerland,CH,Solothurn,admin,14853.0,14853.0
19,Schwyz,47.027858,8.656112,Switzerland,CH,Schwyz,admin,14177.0,14177.0
20,Liestal,47.482779,7.742975,Switzerland,CH,Basel-Landschaft,admin,12832.0,12832.0
21,Delémont,47.366429,7.329005,Switzerland,CH,Jura,admin,11315.0,11315.0
22,Sarnen,46.898509000000004,8.250681,Switzerland,CH,Obwalden,admin,9410.0,9410.0
23,Altdorf,46.880421999999996,8.644409,Switzerland,CH,Uri,admin,8678.0,8678.0
24,Stansstad,46.977309999999996,8.34005,Switzerland,CH,Nidwalden,,7475.0,7475.0
25,Glarus,47.04057,9.068036,Switzerland,CH,Glarus,admin,5681.0,5681.0
