,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Adjamé,5.350527,-4.024637,Côte D’Ivoire,CI,Abidjan,,3802000.0,3190395.0
1,Bouaké,7.693846000000001,-5.030307,Côte D’Ivoire,CI,Vallée du Bandama,admin,567481.0,454821.0
2,Déraouan,6.890867,-6.423196,Côte D’Ivoire,CI,Sassandra-Marahoué,,255168.0,215652.0
3,San-Pédro,4.748508,-6.636301,Côte D’Ivoire,CI,Bas-Sassandra,admin,210273.0,196751.0
4,Yamoussoukro,6.820548,-5.276741,Côte D’Ivoire,CI,Yamoussoukro,primary,206499.0,194530.0
5,Korhogo,9.458031,-5.629608,Côte D’Ivoire,CI,Savanes,admin,177711.0,167359.0
6,Man,7.412513000000001,-7.5538300000000005,Côte D’Ivoire,CI,Montagnes,admin,146974.0,139341.0
7,Divo,5.83739,-5.357229,Côte D’Ivoire,CI,Gôh-Djiboua,minor,127867.0,127867.0
8,Gagnoa,6.131933999999999,-5.950601,Côte D’Ivoire,CI,Gôh-Djiboua,admin,123184.0,99192.0
9,Soubré,5.785556,-6.608333,Côte D’Ivoire,CI,Bas-Sassandra,,108933.0,58492.0
10,Abengourou,6.729722,-3.4963889999999997,Côte D’Ivoire,CI,Comoé,admin,104020.0,71598.0
11,Agboville,5.92801,-4.213186,Côte D’Ivoire,CI,Lagunes,minor,81770.0,64285.0
12,Grand-Bassam,5.211796,-3.738839,Côte D’Ivoire,CI,Comoé,minor,73772.0,48681.0
13,Dabou,5.325556,-4.376853,Côte D’Ivoire,CI,Lagunes,admin,72913.0,69661.0
14,Dimbokro,6.646780000000001,-4.70519,Côte D’Ivoire,CI,Lacs,admin,67349.0,25586.0
15,Ferkessédougou,9.5928,-5.1944870000000005,Côte D’Ivoire,CI,Savanes,minor,62008.0,52812.0
16,Bouaflé,6.990406,-5.744204,Côte D’Ivoire,CI,Sassandra-Marahoué,minor,60962.0,60962.0
17,Bondoukou,8.040201,-2.800034,Côte D’Ivoire,CI,Zanzan,admin,58297.0,18706.0
18,Séguéla,7.961111,-6.673056,Côte D’Ivoire,CI,Woroba,admin,51157.0,12603.0
19,Odienné,9.505114,-7.564332,Côte D’Ivoire,CI,Denguélé,admin,49857.0,19119.0
20,Guiglo,6.5436819999999996,-7.493494999999999,Côte D’Ivoire,CI,Montagnes,minor,39134.0,35846.0
21,Toumodi,6.557986,-5.017688,Côte D’Ivoire,CI,Lacs,minor,39005.0,39005.0
22,Sassandra,4.95,-6.0833330000000005,Côte D’Ivoire,CI,Bas-Sassandra,minor,38411.0,23274.0
23,Aboisso,5.4677940000000005,-3.2071110000000003,Côte D’Ivoire,CI,Comoé,minor,37654.0,37654.0
24,Touba,8.283333,-7.683333,Côte D’Ivoire,CI,Woroba,minor,27504.0,27504.0
25,Toulépleu,6.5797419999999995,-8.410905999999999,Côte D’Ivoire,CI,Montagnes,minor,,
26,Sakassou,7.454624000000001,-5.292628,Côte D’Ivoire,CI,Vallée du Bandama,minor,,
27,Ayamé,5.6052040000000005,-3.157086,Côte D’Ivoire,CI,Comoé,minor,,
28,Béoumi,7.673951,-5.580855000000001,Côte D’Ivoire,CI,Vallée du Bandama,minor,,
