,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Santiago,-33.45,-70.666667,Chile,CL,Región Metropolitana,primary,5720000,46611
1,Concepción,-36.812969,-73.048457,Chile,CL,Biobío,admin,889725,212003
2,Valparaíso,-33.046983000000004,-71.607977,Chile,CL,Valparaíso,admin,854000,15938
3,Viña del Mar,-33.016919,-71.549366,Chile,CL,Valparaíso,,503534,294551
4,Antofagasta,-23.652357000000002,-70.395402,Chile,CL,Antofagasta,admin,309832,281246
5,Talcahuano,-36.724942999999996,-73.11684100000001,Chile,CL,Biobío,,288074,252968
6,Temuco,-38.739649,-72.598416,Chile,CL,Araucanía,admin,265901,238129
7,San Bernardo,-33.592175,-70.699602,Chile,CL,Región Metropolitana,,246762,241138
8,Rancagua,-34.17083,-70.74444,Chile,CL,Libertador General Bernardo O’Higgins,admin,233268,212695
9,Iquique,-20.220357999999997,-70.139131,Chile,CL,Tarapacá,admin,227499,218525
10,Talca,-35.426401,-71.655415,Chile,CL,Maule,admin,197479,175088
11,Arica,-18.4746,-70.297923,Chile,CL,Arica y Parinacota,admin,185999,170894
12,Puerto Montt,-41.465742,-72.942891,Chile,CL,Los Lagos,admin,174629,160054
13,Coquimbo,-29.953317,-71.339473,Chile,CL,Coquimbo,,161317,156848
14,Valdivia,-39.827597999999995,-73.224246,Chile,CL,Los Ríos,admin,159599,133419
15,La Serena,-29.904528999999997,-71.248935,Chile,CL,Coquimbo,admin,154521,148059
16,Osorno,-40.573948,-73.133478,Chile,CL,Los Lagos,,154131,135773
17,Chillán,-36.610403000000005,-72.1012,Chile,CL,Biobío,,150396,149352
18,Los Ángeles,-37.469732,-72.353657,Chile,CL,Biobío,,145239,125430
19,Calama,-22.456666000000002,-68.923711,Chile,CL,Antofagasta,,143084,125589
20,Copiapó,-27.366787,-70.331402,Chile,CL,Atacama,admin,129280,105353
21,Punta Arenas,-53.154830000000004,-70.911288,Chile,CL,Magallanes y de la Antártica Chilena,admin,117430,95162
22,Curicó,-34.98279,-71.239426,Chile,CL,Maule,,113711,102438
23,San Antonio,-33.594728,-71.607457,Chile,CL,Valparaíso,,104292,85651
24,Coronel,-37.033862,-73.14019300000001,Chile,CL,Biobío,,92940,64249
25,Linares,-35.846667,-71.593079,Chile,CL,Maule,,81015,69535
26,Quillota,-32.883404999999996,-71.248818,Chile,CL,Valparaíso,,79686,67779
27,Ovalle,-30.601060999999998,-71.199014,Chile,CL,Coquimbo,,77138,68830
28,San Fernando,-34.587982000000004,-70.98525699999999,Chile,CL,Libertador General Bernardo O’Higgins,,60746,60746
29,San Felipe,-32.749761,-70.72583900000001,Chile,CL,Valparaíso,,59294,39219
30,Los Andes,-32.832969,-70.597672,Chile,CL,Valparaíso,,56859,49411
31,Lota Alto,-37.078733,-73.15626,Chile,CL,Biobío,,49763,15641
32,Coyhaique,-45.576352,-72.062055,Chile,CL,Aysén,admin,45787,40655
33,Vallenar,-28.576172999999997,-70.759377,Chile,CL,Atacama,,44895,30858
34,Angol,-37.795194,-72.716365,Chile,CL,Araucanía,,44856,31913
35,Constitución,-35.333213,-72.41156099999999,Chile,CL,Maule,,37917,15888
36,Villarrica,-39.286660999999995,-72.228916,Chile,CL,Araucanía,,31602,2034
37,Cauquenes,-35.964933,-72.32552700000001,Chile,CL,Maule,,31362,16948
38,Curanilahue,-37.477932,-73.344953,Chile,CL,Biobío,,30611,14094
39,Castro,-42.477971000000004,-73.765899,Chile,CL,Los Lagos,,29926,20443
40,Ancud,-41.870699,-73.81622,Chile,CL,Los Lagos,,28020,20462
41,La Ligua,-32.450736,-71.230402,Chile,CL,Valparaíso,,26665,24857
42,Illapel,-31.633487,-71.169668,Chile,CL,Coquimbo,,26340,22816
43,La Unión,-40.29313,-73.08166899999999,Chile,CL,,,26298,19388
44,Puerto Varas,-41.319461,-72.985378,Chile,CL,Los Lagos,,24958,14180
45,Victoria,-38.23291,-72.332918,Chile,CL,Araucanía,,24555,11424
46,Tocopilla,-22.09198,-70.19792,Chile,CL,Antofagasta,,24460,20251
47,Lebu,-37.608246,-73.653564,Chile,CL,Biobío,,22345,10904
48,Salamanca,-31.779221999999997,-70.963892,Chile,CL,Coquimbo,,20214,13265
49,Puerto Bories,-51.691501,-72.53571,Chile,CL,Magallanes y de la Antártica Chilena,,20000,786
50,Nueva Imperial,-38.744513,-72.950253,Chile,CL,Araucanía,,18777,7868
51,Diego de Almagro,-26.366667,-70.05,Chile,CL,Atacama,,18137,18137
52,Collipulli,-37.954531,-72.434377,Chile,CL,Araucanía,,16392,6223
53,Loncoche,-39.367083,-72.63086700000001,Chile,CL,Araucanía,,15590,1717
54,Río Bueno,-40.334944,-72.955641,Chile,CL,Los Ríos,,15456,10663
55,Chañaral,-29.033333000000002,-71.43333299999999,Chile,CL,Atacama,,13543,13543
56,Vicuña,-30.035412,-70.712744,Chile,CL,Coquimbo,,13496,13496
57,Tierra Amarilla,-27.466332,-70.26255,Chile,CL,Atacama,,12888,8578
58,Los Lagos,-39.861843,-72.81687,Chile,CL,Los Ríos,,12813,12813
59,Alto Calbuco,-41.782351,-73.13945,Chile,CL,Los Lagos,,12490,1377
60,Chuquicamata,-22.315807,-68.928984,Chile,CL,Antofagasta,,11941,11941
61,Carahue,-38.711217,-73.161007,Chile,CL,Araucanía,,11875,5309
62,Pichilemu,-34.388425,-72.000975,Chile,CL,Libertador General Bernardo O’Higgins,,11603,11603
63,Pozo Almonte,-20.255848,-69.786301,Chile,CL,Tarapacá,,10830,10830
64,Calderilla,-27.088858000000002,-70.856943,Chile,CL,Atacama,,10259,10259
65,Lonquimay,-38.432978999999996,-71.235745,Chile,CL,Araucanía,,10237,6802
66,Taltal,-25.408725,-70.483577,Chile,CL,Antofagasta,,10018,7877
67,Puerto Aisén,-45.40303,-72.691839,Chile,CL,Aysén,,8067,8067
68,Quellón,-43.118190000000006,-73.616608,Chile,CL,Los Lagos,,7029,7029
69,Quirihue,-36.281032,-72.541638,Chile,CL,Biobío,,6529,6529
70,Combarbalá,-31.178627000000002,-71.003043,Chile,CL,Coquimbo,,5134,5134
71,Cochrane,-47.253693,-72.57451800000001,Chile,CL,Aysén,,4441,4441
72,Santa Bárbara,-37.668240000000004,-72.022524,Chile,CL,Biobío,,3494,3494
73,Huasco,-28.465989,-71.22276,Chile,CL,Atacama,,2558,2558
74,Puerto Williams,-54.933554,-67.60963000000001,Chile,CL,Magallanes y de la Antártica Chilena,,2500,2262
75,Oficina María Elena,-22.344486,-69.661775,Chile,CL,Antofagasta,,2370,2370
76,Nueva Toltén,-39.216667,-73.233333,Chile,CL,Araucanía,,2293,2293
77,Mejillones,-23.100775,-70.44553499999999,Chile,CL,Antofagasta,,2041,2041
78,Chonchi,-42.620034000000004,-73.77674,Chile,CL,Los Lagos,,381,381
79,Toconao,-23.190084,-68.005285,Chile,CL,Antofagasta,,378,378
80,Balsadero Río Verde,-52.650879,-71.462925,Chile,CL,Magallanes y de la Antártica Chilena,,358,358
81,Villa O’Higgins,-48.466685999999996,-72.559078,Chile,CL,Aysén,,250,100
82,Cuya,-19.115219,-70.132386,Chile,CL,Arica y Parinacota,,20,20
83,Lagunas,-20.981602,-69.666143,Chile,CL,Tarapacá,,10,10
