,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Douala,4.0469,9.7084,Cameroon,CM,Littoral,admin,1906000,1338082
1,Yaoundé,3.8666669999999996,11.516667,Cameroon,CM,Centre,primary,1611000,1060587
2,Bamenda,5.9597050000000005,10.145974,Cameroon,CM,North-West,admin,445299,393835
3,Garoua,9.301425,13.397707,Cameroon,CM,Nord,admin,436899,293974
4,Maroua,10.590946,14.315925,Cameroon,CM,Extrême-Nord,admin,319941,201371
5,Bafoussam,5.477752,10.417591,Cameroon,CM,Ouest,admin,290768,290768
6,Ngaoundéré,7.316667,13.583332999999998,Cameroon,CM,Adamaoua,admin,231357,37288
7,Bertoua,4.5833330000000005,13.683333,Cameroon,CM,Est,admin,218111,88462
8,Limbe,4.0242,9.2149,Cameroon,CM,South-West,,212474,72106
9,Edéa,3.8,10.133333,Cameroon,CM,Littoral,,203149,15864
10,Kumba,4.6363,9.4469,Cameroon,CM,South-West,,144413,117831
11,Kumbo,6.2,10.666667,Cameroon,CM,North-West,,125486,53970
12,Nkongsamba,4.9547,9.9404,Cameroon,CM,Littoral,,117063,93075
13,Bafang,5.157046,10.177099,Cameroon,CM,Ouest,,93145,80688
14,Foumban,5.72662,10.898653999999999,Cameroon,CM,Ouest,,92673,36125
15,Buea,4.1527,9.241,Cameroon,CM,South-West,admin,90088,90088
16,Ébolowa,2.9,11.15,Cameroon,CM,Sud,admin,87875,79500
17,Guider,9.933297999999999,13.946715,Cameroon,CM,Nord,,84647,81991
18,Mbalmayo,3.516667,11.5,Cameroon,CM,Centre,,80206,26797
19,Meïganga,6.516667,14.3,Cameroon,CM,Adamaoua,,80100,29629
20,Bigna,4.716667,11.233333,Cameroon,CM,Centre,,69270,13132
21,Wum,6.383333,10.066667,Cameroon,CM,North-West,,68836,16366
22,Kribi,2.95,9.916667,Cameroon,CM,Sud,,55224,7722
23,Batouri,4.433333,14.366667000000001,Cameroon,CM,Est,,43821,40721
24,Tibati,6.4650360000000004,12.628428999999999,Cameroon,CM,Adamaoua,,35589,8603
25,Bélabo,4.933333,13.3,Cameroon,CM,Est,,22553,358
26,Eséka,3.65,10.766667,Cameroon,CM,Centre,,22221,5983
27,Abong Mbang,3.983333,13.183333,Cameroon,CM,Est,,14661,735
28,Kontcha,7.966667,12.233333,Cameroon,CM,Adamaoua,,8018,3674
29,Mbé,7.85,13.6,Cameroon,CM,Nord,,3950,3950
