,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Shanghai,31.222222,121.458056,China,CN,Shanghai,admin,14987000.0,14608512.0
1,Beijing,39.928819,116.388869,China,CN,Beijing,primary,11106000.0,7480601.0
2,Guangzhou,23.116667,113.25,China,CN,Guangdong,admin,8829000.0,3152825.0
3,Shenzhen,22.533333,114.13333300000001,China,CN,Guangdong,minor,7581000.0,1002592.0
4,Wuhan,30.583333000000003,114.266667,China,CN,Hubei,admin,7243000.0,4184206.0
5,Tianjin,39.142222,117.176667,China,CN,Tianjin,admin,7180000.0,3766207.0
6,Chongqing,29.562778,106.552778,China,CN,Chongqing,admin,6461000.0,3967028.0
7,Shenyang,41.792221999999995,123.432778,China,CN,Liaoning,admin,4787000.0,3512192.0
8,Dongguan,23.048889000000003,113.744722,China,CN,Guangdong,minor,4528000.0,4528000.0
9,Chengdu,30.666666999999997,104.06666700000001,China,CN,Sichuan,admin,4123000.0,3950437.0
10,Lianhu,34.258479,108.924205,China,CN,Shaanxi,minor,4009000.0,3225812.0
11,Hechi,23.0027,109.84,China,CN,Guangxi,,3830000.0,2720379.0
12,Nanjing,32.061667,118.777778,China,CN,Jiangsu,admin,3679000.0,3087010.0
13,Guiyang,26.583333000000003,106.71666699999999,China,CN,Guizhou,admin,3662000.0,1171633.0
14,Harbin,45.75,126.65,China,CN,Heilongjiang,admin,3621000.0,3229883.0
15,Zhangzhou,24.513333,117.655556,China,CN,Fujian,minor,3531147.0,1338452.0
16,Changchun,43.88,125.322778,China,CN,Jilin,admin,3183000.0,2537421.0
17,Dalian,38.912222,121.602222,China,CN,Liaoning,,3167000.0,2035307.0
18,Zibo,36.790556,118.06333300000001,China,CN,Shandong,,3061000.0,669770.0
19,Hangzhou,30.29365,120.161419,China,CN,Zhejiang,admin,3007000.0,1878129.0
20,Kunming,25.038889,102.718333,China,CN,Yunnan,admin,2931000.0,1023674.0
21,Taiyuan,37.869444,112.560278,China,CN,Shanxi,admin,2913000.0,2722475.0
22,Qingdao,36.066049,120.36939299999999,China,CN,Shandong,minor,2866000.0,1642245.0
23,Jinan,36.668333000000004,116.997222,China,CN,Shandong,admin,2798000.0,2069266.0
24,Zhengzhou,34.683611,113.5325,China,CN,Henan,,2636000.0,2014125.0
25,Fuzhou,26.061389000000002,119.30611100000002,China,CN,Fujian,admin,2606000.0,1179720.0
26,Changsha,28.2,112.96666699999999,China,CN,Hunan,admin,2604000.0,2073938.0
27,Xiangtandong,27.866667,112.933333,China,CN,Hunan,,2586948.0,1779960.0
28,Lanzhou,36.057006,103.83986800000001,China,CN,Gansu,admin,2561000.0,2004218.0
29,Xiamen,24.479794000000002,118.081869,China,CN,Fujian,minor,2519000.0,578337.0
30,Jinjiao,40.743394,120.816702,China,CN,Liaoning,,2426000.0,313247.0
31,Shijiazhuang,38.041389,114.47861100000001,China,CN,Hebei,admin,2417000.0,1992474.0
32,Jilin,43.850833,126.560278,China,CN,Jilin,,2396000.0,1881977.0
33,Wenzhou,27.999415999999997,120.66682,China,CN,Zhejiang,,2350000.0,865672.0
34,Nanchangshi,28.655758000000002,115.905049,China,CN,Jiangxi,,2350000.0,1871351.0
35,Nanchong,30.795075,106.08473500000001,China,CN,Sichuan,minor,2174000.0,2174000.0
36,Nanning,22.816667000000002,108.316667,China,CN,Guangxi,admin,2167000.0,803788.0
37,Ürümqi,43.807347,87.63050600000001,China,CN,Xinjiang,admin,2151000.0,1508225.0
38,Daguozhuangcun,34.906549,117.60353,China,CN,Shandong,,2145000.0,183665.0
39,Yantai,37.533333,121.4,China,CN,Shandong,,2116000.0,719332.0
40,Linyi,35.063056,118.34277800000001,China,CN,Shandong,,2082000.0,270669.0
41,Haikou,20.045833,110.34166699999999,China,CN,Hainan,admin,2046189.0,1167428.0
42,Baotou,40.652221999999995,109.822222,China,CN,Inner Mongolia,,2036000.0,423329.0
43,Hefei,31.863889,117.280833,China,CN,Anhui,admin,2035000.0,1388904.0
44,Suzhou,33.636111,116.978889,China,CN,Anhui,,1964000.0,1964000.0
45,Lanzhuang,32.980022,112.49505900000001,China,CN,Henan,,1944000.0,251532.0
46,Ningbo,29.878186,121.549453,China,CN,Zhejiang,minor,1923000.0,719867.0
47,Tangshan,39.633333,118.183333,China,CN,Hebei,,1879000.0,1596949.0
48,Datong,40.093610999999996,113.291389,China,CN,Shanxi,,1873000.0,1052678.0
49,Shucheng,34.121282,118.78078300000001,China,CN,Jiangsu,minor,1770000.0,1770000.0
50,Shangqiu,34.45,115.65,China,CN,Henan,,1753000.0,181218.0
51,Wuxi,31.568872999999996,120.288573,China,CN,Jiangsu,minor,1749000.0,1108647.0
52,Hohhot,40.810556,111.652222,China,CN,Inner Mongolia,admin,1726000.0,774477.0
53,Luoyang,34.683611,112.45361100000001,China,CN,Henan,,1715000.0,1390581.0
54,Daqing,46.583333,125.0,China,CN,Heilongjiang,,1693000.0,203488.0
55,Lu’an,31.756944,116.49138899999998,China,CN,Anhui,minor,1690000.0,1126455.0
56,Wanxian,30.815439,108.37089099999999,China,CN,Chongqing,,1680000.0,1680000.0
57,Suzhou,31.304077000000003,120.59538,China,CN,Jiangsu,minor,1650000.0,1343091.0
58,Qiqihar,47.34088,123.960448,China,CN,Heilongjiang,minor,1641000.0,882364.0
59,Anshan,41.123611,122.99,China,CN,Liaoning,,1639000.0,1199275.0
60,Handan,36.600556,114.46777800000001,China,CN,Hebei,,1631000.0,1358318.0
61,Tai’an,36.185278000000004,117.12,China,CN,Shandong,,1629000.0,1629000.0
62,Shantou,23.36814,116.71479,China,CN,Guangdong,minor,1601000.0,1333973.0
63,Zhanjiang,21.281451999999998,110.34271299999999,China,CN,Guangdong,minor,1590000.0,637790.0
64,Xiantao,30.383333,113.4,China,CN,Hubei,,1556000.0,239406.0
65,Weifang,36.71,119.10194399999999,China,CN,Shandong,,1553000.0,394732.0
66,Xinyang,32.122778000000004,114.065556,China,CN,Henan,,1541000.0,1282888.0
67,Luzhou,28.872390999999997,105.44049,China,CN,Sichuan,minor,1537000.0,1537000.0
68,Tantou,25.9559,114.93799999999999,China,CN,Jiangxi,,1500000.0,932269.0
69,Liuzhou,24.312582,109.38915700000001,China,CN,Guangxi,minor,1497000.0,1375061.0
70,Fushun,41.855833000000004,123.92333300000001,China,CN,Liaoning,,1470000.0,1400646.0
71,Changde,29.167407,111.70768799999999,China,CN,Hunan,,1469000.0,517780.0
72,Neijiang,29.583536,105.06216,China,CN,Sichuan,minor,1466000.0,546854.0
73,Quanzhou,24.913889,118.58583300000001,China,CN,Fujian,minor,1463000.0,184143.0
74,Huainan,32.626389,116.996944,China,CN,Anhui,,1451000.0,1027655.0
75,Suining,30.508017,105.573324,China,CN,Sichuan,minor,1425000.0,1425000.0
76,Mianyang,31.459339,104.754235,China,CN,Sichuan,minor,1396000.0,264136.0
77,Huashan,31.701453000000004,118.495632,China,CN,Anhui,,1366302.0,633940.0
78,Yiyang,28.589167,112.328333,China,CN,Hunan,,1352000.0,202608.0
79,Heze,35.239289,115.473578,China,CN,Shandong,minor,1338000.0,254602.0
80,Zhangshu,31.805735,120.005059,China,CN,Jiangsu,,1327000.0,949018.0
81,Chifeng,42.268333,118.96361100000001,China,CN,Inner Mongolia,minor,1277000.0,346654.0
82,Huaiyin,33.588611,119.019167,China,CN,Jiangsu,,1264000.0,555230.0
83,Mudanjiang,44.583333,129.6,China,CN,Heilongjiang,minor,1244000.0,665915.0
84,Huzhou,30.870301,120.09329699999999,China,CN,Zhejiang,minor,1231000.0,158320.0
