,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Bogotá,4.649178,-74.062827,Colombia,CO,Bogotá,primary,7772000.0,6333661.0
1,Medellín,6.2518400000000005,-75.563591,Colombia,CO,Antioquia,admin,3297000.0,1999979.0
2,Cali,3.437222,-76.5225,Colombia,CO,Valle del Cauca,admin,2254000.0,2178836.0
3,Barranquilla,10.963889,-74.796389,Colombia,CO,Atlántico,admin,1798000.0,1244491.0
4,Bucaramanga,7.125392999999999,-73.119804,Colombia,CO,Santander,admin,1009000.0,571820.0
5,Cartagena,10.399722,-75.514444,Colombia,CO,Bolívar,admin,887000.0,887000.0
6,Cúcuta,7.8939070000000005,-72.50782099999999,Colombia,CO,Norte de Santander,admin,722146.0,721398.0
7,Soledad,10.918433,-74.76459,Colombia,CO,Atlántico,,698852.0,342556.0
8,Pereira,4.813333,-75.696111,Colombia,CO,Risaralda,admin,568750.0,440118.0
9,Santa Marta,11.240791,-74.19904,Colombia,CO,Magdalena,admin,431781.0,402641.0
10,Ibagué,4.438889,-75.232222,Colombia,CO,Tolima,admin,421685.0,408627.0
11,Pasto,1.213611,-77.281111,Colombia,CO,Nariño,admin,382236.0,360041.0
12,Manizales,5.068890000000001,-75.517383,Colombia,CO,Caldas,admin,375848.0,357814.0
13,Villavicencio,4.142002,-73.626645,Colombia,CO,Meta,admin,374763.0,321717.0
14,Neiva,2.927299,-75.281885,Colombia,CO,Huila,admin,352855.0,284277.0
15,Armenia,4.533889,-75.681111,Colombia,CO,Quindío,admin,315328.0,314267.0
16,Valledupar,10.46314,-73.253224,Colombia,CO,Cesar,admin,308237.0,287018.0
17,Montería,8.747983999999999,-75.881428,Colombia,CO,Córdoba,admin,275198.0,272420.0
18,Sincelejo,9.304722,-75.397778,Colombia,CO,Sucre,admin,261187.0,218388.0
19,Popayán,2.444444,-76.613889,Colombia,CO,Cauca,admin,258750.0,258750.0
20,Buenaventura,3.880099,-77.031164,Colombia,CO,Valle del Cauca,,252805.0,240387.0
21,Barrancabermeja,7.065278,-73.854722,Colombia,CO,Santander,,191403.0,164201.0
