,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Havana,23.131944,-82.36416700000001,Cuba,CU,La Habana,primary,2174000.0,1990917.0
1,Santiago de Cuba,20.020833,-75.826667,Cuba,CU,Santiago de Cuba,admin,555865.0,446063.0
2,Camagüey,21.380833,-77.916944,Cuba,CU,Camagüey,admin,347562.0,295605.0
3,Holguín,20.887222,-76.263056,Cuba,CU,Holguín,admin,319102.0,300177.0
4,Guantánamo,20.144444,-75.20916700000001,Cuba,CU,Guantánamo,admin,272801.0,217338.0
5,Santa Clara,22.406944,-79.964722,Cuba,CU,Villa Clara,admin,250512.0,219288.0
6,Las Tunas,20.961667000000002,-76.951111,Cuba,CU,Las Tunas,admin,203684.0,156112.0
7,Bayamo,20.374167,-76.64361099999999,Cuba,CU,Granma,admin,192632.0,162614.0
8,Pinar del Río,22.416667,-83.696667,Cuba,CU,Pinar del Río,admin,186990.0,159618.0
9,Cienfuegos,22.146110999999998,-80.435556,Cuba,CU,Cienfuegos,admin,186644.0,106455.0
10,Matanzas,23.041110999999997,-81.5775,Cuba,CU,Matanzas,admin,146733.0,123873.0
11,Ciego de Ávila,21.84,-78.761944,Cuba,CU,Ciego de Ávila,admin,142027.0,102660.0
12,Manzanillo,20.341726,-77.12125999999999,Cuba,CU,Granma,minor,128188.0,86678.0
13,Sancti Spíritus,21.929722,-79.4425,Cuba,CU,Sancti Spíritus,admin,127069.0,76352.0
14,Palma Soriano,20.211297000000002,-75.993616,Cuba,CU,Santiago de Cuba,minor,102826.0,67394.0
15,Güines,22.837267999999998,-82.026409,Cuba,CU,Mayabeque,minor,68935.0,45955.0
16,Artemisa,22.816667000000002,-82.75944399999999,Cuba,CU,Artemisa,admin,68073.0,23976.0
17,Morón,22.107736,-78.626672,Cuba,CU,Ciego de Ávila,minor,66060.0,49043.0
18,Colón,22.72064,-80.90491800000001,Cuba,CU,Matanzas,minor,63882.0,17472.0
19,Sagua la Grande,22.806667,-80.075556,Cuba,CU,Villa Clara,minor,62073.0,19432.0
20,Placetas,22.311837,-79.654402,Cuba,CU,Villa Clara,minor,55408.0,14538.0
21,Nuevitas,21.545853,-77.26504399999999,Cuba,CU,Camagüey,,54022.0,39570.0
22,Banes,20.961164,-75.721999,Cuba,CU,Holguín,minor,53104.0,42387.0
23,San Antonio de los Baños,22.890183,-82.500988,Cuba,CU,Artemisa,minor,42724.0,32628.0
24,Caibarién,22.519965,-79.465992,Cuba,CU,Villa Clara,minor,39140.0,11722.0
25,Nueva Gerona,21.886667000000003,-82.80555600000001,Cuba,CU,Isla de la Juventud,admin,25566.0,20264.0
26,San Luis,20.188092,-75.85031500000001,Cuba,CU,Santiago de Cuba,minor,,
27,San Luis,22.278976,-83.759559,Cuba,CU,Pinar del Río,minor,,
28,Río Cauto,20.559713000000002,-76.916733,Cuba,CU,Granma,minor,,
29,Primero de Enero,21.945009,-78.431303,Cuba,CU,Ciego de Ávila,minor,,
30,Bolivia,22.083972,-78.338842,Cuba,CU,Ciego de Ávila,minor,,
31,Guanajay,22.926389,-82.6875,Cuba,CU,Artemisa,minor,,
32,Niquero,20.046985,-77.58089,Cuba,CU,Granma,minor,,
33,Gaspar,21.738718,-78.54434,Cuba,CU,Ciego de Ávila,minor,,
34,Jaruco,23.044191,-82.00919300000001,Cuba,CU,Mayabeque,minor,,
35,Los Palacios,22.588824,-83.24671,Cuba,CU,Pinar del Río,minor,,
36,Majagua,21.917173000000002,-79.003287,Cuba,CU,Ciego de Ávila,minor,,
