,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Berlin,52.516667000000005,13.4,Germany,DE,Berlin,primary,3406000.0,3094014.0
1,Stuttgart,48.782343,9.180819,Germany,DE,Baden-Württemberg,admin,2944700.0,606588.0
2,Frankfurt,50.115520000000004,8.684167,Germany,DE,Hesse,minor,2895000.0,679664.0
3,Mannheim,49.496706,8.479547,Germany,DE,Baden-Württemberg,minor,2362000.0,313174.0
4,Hamburg,53.575323,10.01534,Germany,DE,Hamburg,admin,1757000.0,1739117.0
5,Essen,51.45657,7.012282000000001,Germany,DE,North Rhine-Westphalia,minor,1742135.0,573468.0
6,Duisburg,51.432469,6.765161,Germany,DE,North Rhine-Westphalia,minor,1276757.0,488005.0
7,Munich,48.15,11.583333,Germany,DE,Bavaria,admin,1275000.0,1260391.0
8,Düsseldorf,51.228304,6.793849000000001,Germany,DE,North Rhine-Westphalia,admin,1220000.0,592393.0
9,Cologne,50.933333000000005,6.95,Germany,DE,North Rhine-Westphalia,,1004000.0,963395.0
10,Wuppertal,51.270268,7.167553,Germany,DE,North Rhine-Westphalia,minor,776525.0,349470.0
11,Saarbrücken,49.235396,6.9816460000000005,Germany,DE,Saarland,admin,770001.0,175741.0
12,Marienberg,49.486021,11.086155999999999,Germany,DE,Bavaria,,737304.0,499237.0
13,Bremen,53.073789,8.826754,Germany,DE,Bremen,admin,724909.0,546501.0
14,Hannover,52.38497,9.737141000000001,Germany,DE,Lower Saxony,admin,722490.0,515140.0
15,Bonn,50.73438,7.095485000000001,Germany,DE,North Rhine-Westphalia,minor,680543.0,313125.0
16,Dresden,51.048562,13.745794,Germany,DE,Saxony,admin,617515.0,486854.0
17,Wiesbaden,50.082582,8.249322,Germany,DE,Hesse,admin,617126.0,272432.0
18,Dortmund,51.514942,7.465997,Germany,DE,North Rhine-Westphalia,minor,588462.0,588462.0
19,Leipzig,51.344190000000005,12.386503999999999,Germany,DE,Saxony,minor,542529.0,504971.0
20,Heidelberg,49.404123,8.683733,Germany,DE,Baden-Württemberg,minor,426590.0,143345.0
21,Karlsruhe,49.009365,8.40444,Germany,DE,Baden-Württemberg,minor,377487.0,283799.0
22,Augsburg,48.371538,10.898514,Germany,DE,Bavaria,minor,358989.0,259196.0
23,Bielefeld,52.028332,8.542002,Germany,DE,North Rhine-Westphalia,minor,331906.0,291573.0
24,Koblenz,50.353573,7.578835000000001,Germany,DE,Rhineland-Palatinate,minor,312633.0,107319.0
25,Altchemnitz,50.811536,12.912827,Germany,DE,Saxony,,302643.0,247220.0
26,Kassel,51.313782,9.484645,Germany,DE,Hesse,minor,289924.0,194501.0
27,Münster,51.961114,7.624239,Germany,DE,North Rhine-Westphalia,minor,270184.0,237041.0
28,Kiel,54.312144999999994,10.135525999999999,Germany,DE,Schleswig-Holstein,admin,269427.0,232758.0
29,Freiburg,47.996860999999996,7.84973,Germany,DE,Baden-Württemberg,minor,254889.0,215966.0
30,Braunschweig,52.265939,10.526726,Germany,DE,Lower Saxony,minor,244715.0,235054.0
31,Fürth,49.48121,10.96762,Germany,DE,Bavaria,minor,237844.0,112025.0
32,Lübeck,53.86687,10.688367,Germany,DE,Schleswig-Holstein,minor,235390.0,212207.0
33,Osnabrück,52.272642,8.049799,Germany,DE,Lower Saxony,minor,231268.0,166462.0
34,Magdeburg,52.127731,11.629163,Germany,DE,Saxony-Anhalt,admin,229826.0,224931.0
35,Potsdam,52.402246999999996,13.057122,Germany,DE,Brandenburg,admin,218095.0,145292.0
36,Erfurt,50.978695,11.032831,Germany,DE,Thuringia,admin,203254.0,175476.0
37,Rostock,54.086813,12.113453,Germany,DE,Mecklenburg-Western Pomerania,,203080.0,198293.0
38,Mainz,49.984188,8.279096000000001,Germany,DE,Rhineland-Palatinate,admin,184997.0,184997.0
39,Ulm,48.397053,9.968956,Germany,DE,Baden-Württemberg,minor,172955.0,120451.0
40,Würzburg,49.793912,9.951214,Germany,DE,Bavaria,minor,168561.0,133731.0
41,Oldenburg,53.141178000000004,8.214674,Germany,DE,Lower Saxony,minor,167458.0,159218.0
42,Regensburg,49.034512,12.119234,Germany,DE,Bavaria,minor,164359.0,129151.0
43,Ingolstadt,48.765081,11.423725,Germany,DE,Bavaria,minor,163325.0,120658.0
44,Göttingen,51.539334000000004,9.934057000000001,Germany,DE,Lower Saxony,minor,139419.0,122149.0
45,Bremerhaven,53.550208999999995,8.576735000000001,Germany,DE,Bremen,minor,137751.0,117446.0
46,Cottbus,51.757690999999994,14.328875,Germany,DE,Brandenburg,minor,105067.0,84754.0
47,Jena,50.928782,11.589901,Germany,DE,Thuringia,minor,104712.0,95171.0
48,Gera,50.875507,12.083296,Germany,DE,Thuringia,minor,104659.0,103055.0
49,Flensburg,54.78431,9.439611,Germany,DE,Schleswig-Holstein,minor,97930.0,85838.0
50,Schwerin,53.628372999999996,11.409462,Germany,DE,Mecklenburg-Western Pomerania,admin,96641.0,96641.0
51,Rosenheim,47.857316,12.119255,Germany,DE,Bavaria,minor,92809.0,60167.0
52,Gießen,50.587270000000004,8.675536,Germany,DE,Hesse,minor,82358.0,74411.0
53,Stralsund,54.315822999999995,13.088588,Germany,DE,Mecklenburg-Western Pomerania,minor,61368.0,58976.0
54,Coburg,50.259366,10.963842999999999,Germany,DE,Bavaria,,61054.0,41901.0
55,Hofeck,50.330895,11.892585,Germany,DE,Bavaria,,56153.0,49239.0
56,Emden,53.367454,7.207775999999999,Germany,DE,Lower Saxony,minor,51526.0,48046.0
57,Detmold,51.943277,8.872182,Germany,DE,North Rhine-Westphalia,minor,,
58,Meißen,51.15,13.483332999999998,Germany,DE,Saxony,minor,,
59,Kitzingen,49.739731,10.150719,Germany,DE,Bavaria,minor,,
60,Dingolfing,48.62958,12.497606,Germany,DE,Bavaria,minor,,
61,Heppenheim,49.641447,8.632063,Germany,DE,Hesse,minor,,
62,Torgau,51.560159999999996,12.996166,Germany,DE,Saxony,minor,,
63,Hanau,50.134229,8.914176,Germany,DE,Hesse,minor,,
64,Husum,54.482518000000006,9.059913,Germany,DE,Schleswig-Holstein,minor,,
65,Schwandorf,49.325340000000004,12.109795,Germany,DE,Bavaria,minor,,
66,Bitburg,49.967937,6.527343,Germany,DE,Rhineland-Palatinate,minor,,
67,Cham,49.225651,12.655013,Germany,DE,Bavaria,minor,,
68,Traunstein,47.868247,12.643347,Germany,DE,Bavaria,minor,,
69,Lüchow,52.968114,11.153967999999999,Germany,DE,Lower Saxony,minor,,
70,Gifhorn,52.477743000000004,10.551095,Germany,DE,Lower Saxony,minor,,
71,Biberach,48.099942,9.786893,Germany,DE,Baden-Württemberg,minor,,
72,Bad Reichenhall,47.729467,12.878193,Germany,DE,Bavaria,minor,,
73,Künzelsau,49.281802,9.683525,Germany,DE,Baden-Württemberg,minor,,
74,Weißenburg,49.030564,10.972771,Germany,DE,Bavaria,minor,,
75,Regen,48.971901,13.128243,Germany,DE,Bavaria,minor,,
76,Nuremberg,49.447778,11.068333,Germany,DE,Bavaria,minor,,
77,Aurich,53.469193000000004,7.482319,Germany,DE,Lower Saxony,minor,,
78,Nordhorn,52.432784,7.0688960000000005,Germany,DE,Lower Saxony,minor,,
79,Aichach,48.461421,11.134257,Germany,DE,Bavaria,minor,,
80,Marburg,50.809044,8.770694,Germany,DE,Hesse,minor,,
81,Görlitz,51.166667,15.0,Germany,DE,Saxony,minor,,
82,Vechta,52.726324,8.285982,Germany,DE,Lower Saxony,minor,,
83,Trier,49.75979,6.636628,Germany,DE,Rhineland-Palatinate,minor,,
84,Pirmasens,49.204106,7.603486,Germany,DE,Rhineland-Palatinate,minor,,
85,Pirna,50.958054,13.938197,Germany,DE,Saxony,minor,,
86,Neustadt,49.350089000000004,8.138863,Germany,DE,Rhineland-Palatinate,minor,,
87,Beeskow,52.172909999999995,14.245973000000001,Germany,DE,Brandenburg,minor,,
88,Westerstede,53.256822,7.927372,Germany,DE,Lower Saxony,minor,,
89,Verden,52.923425,9.234908,Germany,DE,Lower Saxony,minor,,
90,Worms,49.632784,8.359164,Germany,DE,Rhineland-Palatinate,minor,,
91,Düren,50.804337,6.4929879999999995,Germany,DE,North Rhine-Westphalia,minor,,
92,Landsberg,48.047641999999996,10.869584,Germany,DE,Bavaria,minor,,
93,Ludwigsburg,48.893886,9.195419000000001,Germany,DE,Baden-Württemberg,minor,,
94,Meiningen,50.570434999999996,10.417231,Germany,DE,Thuringia,minor,,
95,Siegen,50.874815000000005,8.02431,Germany,DE,North Rhine-Westphalia,minor,,
96,Deggendorf,48.840855,12.960676,Germany,DE,Bavaria,minor,,
97,Peine,52.319277,10.2352,Germany,DE,Lower Saxony,minor,,
98,Frankfurt (Oder),52.344312,14.53498,Germany,DE,Brandenburg,minor,,
99,Nienburg,52.646102,9.220856,Germany,DE,Lower Saxony,minor,,
100,Brake,53.32686700000001,8.480492,Germany,DE,Lower Saxony,minor,,
101,Memmingen,47.985359,10.182507000000001,Germany,DE,Bavaria,minor,,
102,Kirchheimbolanden,49.662487,8.015131,Germany,DE,Rhineland-Palatinate,minor,,
103,Tauberbischofsheim,49.624722,9.662778,Germany,DE,Baden-Württemberg,minor,,
104,Emmendingen,48.118466,7.8489320000000005,Germany,DE,Baden-Württemberg,minor,,
105,Warendorf,51.95109,7.987557000000001,Germany,DE,North Rhine-Westphalia,minor,,
