,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Copenhagen,55.666667000000004,12.583333,Denmark,DK,Hovedstaden,primary,1085000.0,1085000.0
1,Aarhus,56.153423,10.225530000000001,Denmark,DK,Midtjylland,minor,237551.0,227100.0
2,Odense,55.393475,10.394935,Denmark,DK,Syddanmark,minor,158222.0,145931.0
3,Skalborg,57.001633999999996,9.887863000000001,Denmark,DK,Nordjylland,,122219.0,101616.0
4,Esbjerg,55.470276,8.451869,Denmark,DK,Syddanmark,minor,72205.0,63947.0
5,Vejle,55.708391000000006,9.542763,Denmark,DK,Syddanmark,admin,51177.0,51177.0
6,Roskilde,55.640094,12.08054,Denmark,DK,Sjælland,minor,44285.0,40284.0
7,Viborg,56.452819999999996,9.404291,Denmark,DK,Midtjylland,admin,34831.0,31057.0
8,Svendborg,55.05873199999999,10.591346000000001,Denmark,DK,Syddanmark,minor,29180.0,27553.0
9,Hillerød,55.933333,12.316667,Denmark,DK,Hovedstaden,admin,28313.0,28313.0
10,Frederikshavn,57.443803,10.547177,Denmark,DK,Nordjylland,minor,24103.0,20667.0
11,Borød,55.42654399999999,11.520624,Denmark,DK,Sjælland,,7167.0,7167.0
12,Nyborg,55.305845999999995,10.803394,Denmark,DK,Syddanmark,minor,,
13,Hvidovre,55.650261,12.475764999999999,Denmark,DK,Hovedstaden,minor,,
14,Horsens,55.865675,9.873531,Denmark,DK,Midtjylland,minor,,
15,Kastrup,55.635239,12.648947999999999,Denmark,DK,Hovedstaden,minor,,
16,Ærøskøbing,54.891206999999994,10.408323,Denmark,DK,Syddanmark,minor,,
17,Hobro,56.638115,9.795316999999999,Denmark,DK,Nordjylland,minor,,
18,Haderslev,55.252433999999994,9.489315,Denmark,DK,Syddanmark,minor,,
19,Højby,55.911478,11.597559,Denmark,DK,Sjælland,minor,,
20,Dragør,55.594566,12.668952,Denmark,DK,Hovedstaden,minor,,
21,Lemvig,56.533333,8.3,Denmark,DK,Midtjylland,minor,,
22,Nykøbing Falster,54.7655,11.875085,Denmark,DK,Sjælland,minor,,
23,Nykøbing Mors,56.791688,8.849895,Denmark,DK,Nordjylland,minor,,
24,Sorø,55.438715,11.560856,Denmark,DK,Sjælland,admin,,
25,Kolding,55.492943999999994,9.468121,Denmark,DK,Syddanmark,minor,,
26,Hjørring,57.466322999999996,9.988917,Denmark,DK,Nordjylland,minor,,
27,Søborg,55.73020699999999,12.509814,Denmark,DK,Hovedstaden,minor,,
28,Aalborg,57.035498,9.941163000000001,Denmark,DK,Nordjylland,admin,,
29,Kokkedal,55.909781,12.515245,Denmark,DK,Hovedstaden,minor,,
30,Sønderborg,54.910633999999995,9.792843,Denmark,DK,Syddanmark,minor,,
31,Albertslund,55.662279000000005,12.335117,Denmark,DK,Hovedstaden,minor,,
32,Randers,56.46070400000001,10.036389999999999,Denmark,DK,Midtjylland,minor,,
33,Solrød Strand,55.536395999999996,12.225235000000001,Denmark,DK,Sjælland,minor,,
34,Vejen,55.48117,9.137948,Denmark,DK,Syddanmark,minor,,
35,Ringe,55.245059,10.470646,Denmark,DK,Syddanmark,minor,,
36,Herlev,55.72351999999999,12.440375999999999,Denmark,DK,Hovedstaden,minor,,
37,Odder,55.977212,10.168292999999998,Denmark,DK,Midtjylland,minor,,
38,Næstved,55.224897999999996,11.784213000000001,Denmark,DK,Sjælland,minor,,
39,Kongens Lyngby,55.771784999999994,12.505991,Denmark,DK,Hovedstaden,minor,,
40,Helsinge,56.019659,12.198974,Denmark,DK,Hovedstaden,minor,,
41,Skanderborg,56.031296,9.931704,Denmark,DK,Midtjylland,minor,,
42,Rødovre,55.68271800000001,12.464367,Denmark,DK,Hovedstaden,minor,,
43,Frederiksberg,55.678467000000005,12.522092,Denmark,DK,Hovedstaden,minor,,
44,Helsingør,56.029377000000004,12.586267,Denmark,DK,Hovedstaden,minor,,
45,Allerød,55.870346999999995,12.357372,Denmark,DK,Hovedstaden,minor,,
46,Skive,56.563814,9.040245,Denmark,DK,Midtjylland,minor,,
47,Glostrup,55.666596999999996,12.403768,Denmark,DK,Hovedstaden,minor,,
48,Ishøj,55.618404000000005,12.328128,Denmark,DK,Hovedstaden,minor,,
49,Brøndby,55.654093,12.421463000000001,Denmark,DK,Hovedstaden,minor,,
50,Frederikssund,55.838923,12.067611999999999,Denmark,DK,Hovedstaden,minor,,
51,Holbæk,55.713537,11.716903,Denmark,DK,Sjælland,minor,,
52,Rudkøbing,54.937993999999996,10.721368,Denmark,DK,Syddanmark,minor,,
53,Kirke Hvalsø,55.59575,11.861583,Denmark,DK,Sjælland,minor,,
54,Tønder,54.943118000000005,8.869335000000001,Denmark,DK,Syddanmark,minor,,
55,Haslev,55.317917,11.974003,Denmark,DK,Sjælland,minor,,
