,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Cairo,30.07708,31.285909000000004,Egypt,EG,Al Qāhirah,primary,11893000.0,7734614.0
1,Alexandria,31.215645000000002,29.955265999999998,Egypt,EG,Al Iskandarīyah,admin,4165000.0,3811516.0
2,Al Jīzah,30.008079,31.210931,Egypt,EG,Al Jīzah,admin,2681863.0,2681863.0
3,Ismailia,30.604271999999998,32.272252,Egypt,EG,Al Ismā‘īlīyah,admin,656135.0,284813.0
4,Port Said,31.256541,32.284115,Egypt,EG,Būr Sa‘īd,admin,623864.0,500000.0
5,Luxor,25.695857999999998,32.643592,Egypt,EG,Al Uqşur,admin,609248.0,487896.0
6,Sūhāj,26.556952000000003,31.694784999999996,Egypt,EG,Sūhāj,admin,600000.0,209419.0
7,Al Manşūrah,31.036372999999998,31.380691,Egypt,EG,Ad Daqahlīyah,admin,600000.0,480494.0
8,Suez,29.973714,32.526267,Egypt,EG,As Suways,admin,508335.0,488125.0
9,Al Minyā,28.109884,30.750299,Egypt,EG,Al Minyā,admin,500000.0,227150.0
10,Ib‘ādīyat Damanhūr,31.032821000000002,30.42527,Egypt,EG,Al Buḩayrah,,500000.0,242700.0
11,Banī Suwayf,29.074409000000003,31.097848,Egypt,EG,Banī Suwayf,admin,489450.0,189624.0
12,Asyūţ,27.180956,31.183683000000002,Egypt,EG,Asyūţ,admin,420585.0,420585.0
13,Ţanţā,30.788471,31.001921000000003,Egypt,EG,Al Gharbīyah,admin,404901.0,404901.0
14,Al Fayyūm,29.309949,30.841803999999996,Egypt,EG,Al Fayyūm,admin,316772.0,306393.0
15,Aswān,24.093432999999997,32.907038,Egypt,EG,Aswān,admin,313442.0,241261.0
16,Qinā,26.164179,32.72671,Egypt,EG,Qinā,admin,302027.0,235362.0
17,Mallawī,27.731401,30.841652000000003,Egypt,EG,Al Minyā,,217365.0,142504.0
18,Al ‘Arīsh,31.128659999999996,33.797117,Egypt,EG,Shamāl Sīnā’,admin,178651.0,128855.0
19,Banhā,30.459065000000002,31.178577,Egypt,EG,Al Qalyūbīyah,admin,167029.0,167029.0
20,Ma‘şarat Samālūţ,28.316667,30.716666999999998,Egypt,EG,Al Minyā,,152097.0,90465.0
21,Kafr ash Shaykh,31.114303999999997,30.940115999999996,Egypt,EG,Kafr ash Shaykh,admin,143970.0,143970.0
22,Jirjā,26.338255,31.891609999999996,Egypt,EG,Sūhāj,,128250.0,102701.0
23,Marsá Maţrūḩ,31.352539,27.245275,Egypt,EG,Maţrūḩ,admin,103470.0,62042.0
24,Isnā,25.293356,32.554018,Egypt,EG,Qinā,,100000.0,69335.0
25,Banī Mazār,28.503598999999998,30.800401,Egypt,EG,Al Minyā,,79553.0,58153.0
26,Al Khārijah,25.451404999999998,30.546346000000003,Egypt,EG,Al Wādī al Jadīd,admin,49991.0,49991.0
27,Būr Safājah,26.729177000000004,33.936510999999996,Egypt,EG,Al Baḩr al Aḩmar,,32944.0,9127.0
28,Aţ Ţūr,28.236381,33.625403999999996,Egypt,EG,Janūb Sīnā’,admin,27628.0,14972.0
29,Sīwah,29.20133,25.521545,Egypt,EG,Maţrūḩ,,23080.0,23080.0
30,Aḑ Ḑab‘ah,31.028189,28.444976,Egypt,EG,Maţrūḩ,,14212.0,14212.0
31,Al ‘Alamayn,30.830066,28.955019,Egypt,EG,Maţrūḩ,,7400.0,2476.0
32,As Sallūm,31.553713000000002,25.157926999999997,Egypt,EG,Maţrūḩ,,7330.0,7330.0
33,Qaşr al Farāfirah,27.056798999999998,27.969793,Egypt,EG,Al Wādī al Jadīd,,5000.0,5000.0
34,Al Qaşr,25.696635999999998,28.884481,Egypt,EG,Al Wādī al Jadīd,,1716.0,1716.0
35,Al Ghardaqah,27.252890999999998,33.818108,Egypt,EG,Al Baḩr al Aḩmar,admin,,
36,Bi’r al ‘Abd,31.018874,33.0098,Egypt,EG,Shamāl Sīnā’,minor,,
37,Rafaḩ,31.287806,34.238071000000005,Egypt,EG,Shamāl Sīnā’,minor,,
38,Damanhūr,31.034084000000004,30.468233,Egypt,EG,Al Buḩayrah,admin,,
39,Shibīn al Kawm,30.552581,31.009034999999997,Egypt,EG,Al Minūfīyah,admin,,
40,Damietta,31.416477,31.813315999999997,Egypt,EG,Dumyāţ,admin,,
41,Ash Shaykh Zuwayd,31.216296999999997,34.110742,Egypt,EG,Shamāl Sīnā’,minor,,
42,Az Zaqāzīq,30.587676000000002,31.501996999999996,Egypt,EG,Ash Sharqīyah,admin,,
