,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Madrid,40.412752000000005,-3.707721,Spain,ES,Madrid,primary,5567000.0,50437.0
1,Barcelona,41.398371000000004,2.1741,Spain,ES,Catalonia,admin,4920000.0,1581595.0
2,Sevilla,37.382826,-5.973167,Spain,ES,Andalusia,admin,1212045.0,703021.0
3,Bilbao,43.260919,-2.938764,Spain,ES,Basque Country,minor,875552.0,353187.0
4,Valencia,39.466667,-0.366667,Spain,ES,Valencia,admin,808000.0,805304.0
5,Zaragoza,41.645309999999995,-0.884861,Spain,ES,Aragon,admin,649404.0,448507.0
6,Málaga,36.726665999999994,-4.4348019999999995,Spain,ES,Andalusia,minor,550058.0,528705.0
7,Murcia,37.987041,-1.130042,Spain,ES,Murcia,admin,406807.0,329838.0
8,Granada,37.178354,-3.5992010000000003,Spain,ES,Andalusia,minor,388290.0,238248.0
9,Vigo,42.232822999999996,-8.722636999999999,Spain,ES,Galicia,,378952.0,292745.0
10,Palma,39.574337,2.655222,Spain,ES,Balearic Islands,admin,375773.0,264129.0
11,A Coruña,43.366609000000004,-8.406812,Spain,ES,Galicia,minor,370610.0,242619.0
12,Santa María de Gracia,28.466666999999998,-16.266667,Spain,ES,Canary Islands,,336061.0,222190.0
13,Gijón,43.535731,-5.661519,Spain,ES,Asturias,,335972.0,271452.0
14,Valladolid,41.655181,-4.72372,Spain,ES,Castille-Leon,admin,322304.0,276443.0
15,Córdoba,37.89155,-4.772748,Spain,ES,Andalusia,minor,321376.0,279648.0
16,Alicante,38.34619,-0.48772200000000004,Spain,ES,Valencia,minor,315863.0,276827.0
17,Cádiz,36.515789,-6.279692,Spain,ES,Andalusia,minor,283157.0,24708.0
18,Pamplona,42.814075,-1.6411529999999999,Spain,ES,Navarre,admin,274545.0,193166.0
19,Oviedo,43.363223,-5.853128,Spain,ES,Asturias,admin,235651.0,211398.0
20,Zuazo de Vitoria,42.839797,-2.722069,Spain,ES,Basque Country,,224578.0,173641.0
21,Santander,43.464721999999995,-3.804444,Spain,ES,Cantabria,admin,208763.0,183288.0
22,Cartagena,37.605121000000004,-0.986232,Spain,ES,Murcia,,201274.0,131279.0
23,Marbella,36.510484999999996,-4.885745,Spain,ES,Andalusia,,186131.0,120008.0
24,Mataró,41.542113,2.444503,Spain,ES,Catalonia,,183293.0,116359.0
25,Almería,36.833333,-2.45,Spain,ES,Andalusia,minor,179405.0,124660.0
26,Burgos,42.350221000000005,-3.6752730000000002,Spain,ES,Castille-Leon,minor,170183.0,130319.0
27,Salamanca,40.9681,-5.66202,Spain,ES,Castille-Leon,minor,162353.0,158560.0
28,Albacete,38.995845,-1.857773,Spain,ES,Castille-La Mancha,minor,158094.0,97100.0
29,Huelva,37.266385,-6.940044,Spain,ES,Andalusia,minor,144174.0,95290.0
30,Logroño,42.466667,-2.45,Spain,ES,La Rioja,admin,143698.0,104139.0
31,Badajoz,38.877894,-6.970613,Spain,ES,Extremadura,minor,140133.0,91144.0
32,León,42.600031,-5.570316,Spain,ES,Castille-Leon,minor,136227.0,133801.0
33,Tarragona,41.116667,1.25,Spain,ES,Catalonia,minor,126291.0,89624.0
34,Ourense,42.331342,-7.862711,Spain,ES,Galicia,minor,118107.0,108083.0
