,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Addis Ababa,9.024325,38.749226,Ethiopia,ET,Ādīs Ābeba,primary,3100000.0,2757729.0
1,Nazrēt,8.55,39.266667,Ethiopia,ET,Oromīya,,476892.0,213995.0
2,Dire Dawa,9.593055999999999,41.866111,Ethiopia,ET,Dirē Dawa,admin,252279.0,248372.0
3,Bahir Dar,11.6,37.383333,Ethiopia,ET,Āmara,admin,206748.0,168899.0
4,Desē,11.133333,39.633333,Ethiopia,ET,Āmara,,183802.0,136056.0
5,Harar,9.313866,42.118151,Ethiopia,ET,Hārerī Hizb,admin,174994.0,147306.0
6,Gonder,12.6,37.466667,Ethiopia,ET,Āmara,,156230.0,153914.0
7,Āwasa,7.05,38.466667,Ethiopia,ET,YeDebub Bihēroch Bihēreseboch na Hizboch,admin,133097.0,133097.0
8,Jīma,7.6666669999999995,36.833333,Ethiopia,ET,Oromīya,,128306.0,128306.0
9,Giyon,8.533333,37.983333,Ethiopia,ET,Oromīya,,114534.0,38394.0
10,Shashemenē,7.2,38.6,Ethiopia,ET,Oromīya,,114350.0,85871.0
11,Ādīgrat,14.276944,39.460833,Ethiopia,ET,Tigray,,104021.0,104021.0
12,Mekele,13.496667,39.475278,Ethiopia,ET,Tigray,admin,95856.0,95856.0
13,Hosa’ina,7.5833330000000005,37.883333,Ethiopia,ET,YeDebub Bihēroch Bihēreseboch na Hizboch,,89300.0,89300.0
14,Āsela,7.95,39.133333,Ethiopia,ET,Oromīya,,82240.0,82240.0
15,Nek’emtē,9.083333,36.55,Ethiopia,ET,Oromīya,,73018.0,73018.0
16,Debre Mark’os,10.35,37.733333,Ethiopia,ET,Āmara,,70758.0,59920.0
17,Ārba Minch’,6.033333,37.55,Ethiopia,ET,YeDebub Bihēroch Bihēreseboch na Hizboch,,69622.0,39065.0
18,Sodo,6.9,37.75,Ethiopia,ET,YeDebub Bihēroch Bihēreseboch na Hizboch,,65737.0,65737.0
19,Debre Birhan,9.679544,39.532623,Ethiopia,ET,Āmara,,65231.0,57787.0
20,Jijiga,9.35,42.8,Ethiopia,ET,Sumalē,admin,56821.0,48194.0
21,Āksum,14.124482,38.724441999999996,Ethiopia,ET,Tigray,,47487.0,41249.0
22,Dīla,6.4166669999999995,38.316666999999995,Ethiopia,ET,YeDebub Bihēroch Bihēreseboch na Hizboch,,47021.0,47021.0
23,Hāgere Hiywet,8.983333,37.85,Ethiopia,ET,Oromīya,,43920.0,34905.0
24,Yirga ‘Alem,6.75,38.416667,Ethiopia,ET,YeDebub Bihēroch Bihēreseboch na Hizboch,,36292.0,36292.0
25,Goba,7.016667,39.983333,Ethiopia,ET,Oromīya,,34369.0,32025.0
26,Gīmbī,9.166667,35.833333,Ethiopia,ET,Oromīya,,31809.0,13038.0
27,Āsosa,10.066667,34.533333,Ethiopia,ET,Bīnshangul Gumuz,admin,30512.0,17872.0
28,Dembī Dolo,8.533333,34.8,Ethiopia,ET,Oromīya,,27780.0,26748.0
29,Batī,11.191521,40.016746999999995,Ethiopia,ET,Āmara,,19260.0,6393.0
30,Dolo Bay,4.183333,42.083333,Ethiopia,ET,Sumalē,,11810.0,11810.0
31,Negēlē,5.316667,39.583333,Ethiopia,ET,Oromīya,,11772.0,11772.0
32,Gorē,8.15,35.533333,Ethiopia,ET,Oromīya,,9352.0,9352.0
33,Semera,11.500993,41.200983,Ethiopia,ET,Āfar,admin,,
34,Gambēla,8.25,34.583333,Ethiopia,ET,Gambēla Hizboch,admin,,
