,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Helsinki,60.17555600000001,24.934167000000002,Finland,FI,Uusimaa,primary,1115000.0,558457.0
1,Tampere,61.5,23.75,Finland,FI,Pirkanmaa,admin,259279.0,202687.0
2,Turku,60.45,22.283333,Finland,FI,Varsinais-Suomi,admin,175945.0,174940.0
3,Oulu,65.016667,25.466667,Finland,FI,Pohjois-Pohjanmaa,admin,136752.0,128618.0
4,Lahti,60.966667,25.666667,Finland,FI,Päijät-Häme,admin,98826.0,96190.0
5,Jyväskylä,62.233332999999995,25.733333,Finland,FI,Keski-Suomi,admin,98136.0,85026.0
6,Kuopio,62.9,27.683333,Finland,FI,Pohjois-Savo,admin,91900.0,89104.0
7,Pori,61.483332999999995,21.783333,Finland,FI,Satakunta,admin,76772.0,66280.0
8,Lappeenranta,61.066667,28.183333,Finland,FI,Etelä-Karjala,admin,59276.0,49757.0
9,Vaasa,63.1,21.6,Finland,FI,Pohjanmaa,admin,57014.0,40846.0
10,Joensuu,62.6,29.766666999999998,Finland,FI,Pohjois-Karjala,admin,53388.0,53388.0
11,Hämeenlinna,61.0,24.45,Finland,FI,Kanta-Häme,admin,47261.0,47261.0
12,Kokkola,63.833332999999996,23.116667,Finland,FI,Keski-Pohjanmaa,admin,46714.0,46714.0
13,Mikkeli,61.683333,27.25,Finland,FI,Etelä-Savo,admin,46550.0,46550.0
14,Rovaniemi,66.5,25.716667,Finland,FI,Lappi,admin,34781.0,25389.0
15,Kouvola,60.86666700000001,26.7,Finland,FI,Kymenlaakso,admin,31133.0,31133.0
16,Savonlinna,61.86666700000001,28.883333,Finland,FI,Etelä-Savo,minor,27353.0,13114.0
17,Kemi,65.733333,24.566667000000002,Finland,FI,Lappi,minor,22641.0,11479.0
18,Porvoo,60.4,25.666667,Finland,FI,Uusimaa,minor,12242.0,12242.0
19,Kirkonkylä,67.4,26.65,Finland,FI,Lappi,,8942.0,4091.0
20,Kemijärvi,66.666667,27.416666999999997,Finland,FI,Lappi,minor,8883.0,8883.0
21,Sodankylä,67.416667,26.6,Finland,FI,Lappi,minor,,
22,Kangasala,61.466667,24.083333,Finland,FI,Pirkanmaa,minor,,
