,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,London,51.514247999999995,-0.093145,United Kingdom,GB,,primary,8567000.0,7421209.0
1,Birmingham,52.466667,-1.916667,United Kingdom,GB,Birmingham,admin,2285000.0,984333.0
2,Manchester,53.5,-2.2166669999999997,United Kingdom,GB,Manchester,admin,2230000.0,395515.0
3,Leeds,53.8,-1.583333,United Kingdom,GB,Leeds,admin,1529000.0,455123.0
4,Sheffield,53.36666700000001,-1.5,United Kingdom,GB,Sheffield,admin,1292900.0,552700.0
5,Glasgow,55.833332999999996,-4.25,United Kingdom,GB,Glasgow City,admin,1160000.0,610268.0
6,Newcastle upon Tyne,54.98805600000001,-1.619444,United Kingdom,GB,Newcastle upon Tyne,admin,882000.0,192382.0
7,Nottingham,52.966667,-1.166667,United Kingdom,GB,Nottingham,admin,825600.0,305700.0
8,Liverpool,53.416667000000004,-3.0,United Kingdom,GB,Liverpool,admin,811000.0,468945.0
9,Southend-on-Sea,51.533333,0.7,United Kingdom,GB,Southend-on-Sea,admin,618386.0,173600.0
10,Bristol,51.45,-2.583333,United Kingdom,GB,"Bristol, City of",admin,553528.0,430713.0
11,Edinburgh,55.95,-3.2,United Kingdom,GB,"Edinburgh, City of",admin,504966.0,435791.0
12,Brighton,50.833333,-0.15,United Kingdom,GB,Brighton and Hove,,503008.0,139001.0
13,Bradford,53.783333,-1.75,United Kingdom,GB,Bradford,admin,501700.0,293717.0
14,Leicester,52.63333299999999,-1.133333,United Kingdom,GB,Leicester,admin,457983.0,339239.0
15,Sunderland,54.91194399999999,-1.383333,United Kingdom,GB,Sunderland,admin,452934.0,177965.0
16,Belfast,54.6,-5.933333,United Kingdom,GB,Belfast,,450406.0,274770.0
17,Portsmouth,50.766667,-1.083333,United Kingdom,GB,Portsmouth,admin,442252.0,205100.0
18,Bournemouth,50.716667,-1.8833330000000001,United Kingdom,GB,Bournemouth,admin,426945.0,163600.0
19,Middlesbrough,54.572778,-1.162778,United Kingdom,GB,Redcar and Cleveland,admin,416042.0,142707.0
20,Coventry,52.416667,-1.55,United Kingdom,GB,Coventry,admin,388271.0,308313.0
21,Southampton,50.9,-1.4,United Kingdom,GB,Southampton,admin,384417.0,384417.0
22,Reading,51.433333000000005,-1.0,United Kingdom,GB,Reading,admin,369804.0,145700.0
23,Sutton on Hull,53.783333,-0.31666700000000003,United Kingdom,GB,"Kingston upon Hull, City of",,302296.0,292501.0
24,Blackpool,53.816667,-3.05,United Kingdom,GB,Blackpool,admin,272792.0,143101.0
25,Plymouth,50.396389,-4.138611,United Kingdom,GB,Plymouth,admin,247297.0,231575.0
26,Luton,51.883333,-0.416667,United Kingdom,GB,Luton,admin,235958.0,193669.0
27,Oxford,51.75,-1.25,United Kingdom,GB,Oxfordshire,admin,192796.0,154566.0
