,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Conakry,9.509167,-13.712222,Guinea,GN,Conakry,primary,1494000.0,1494000.0
1,Guéckédou,8.5625,-10.1325,Guinea,GN,N’Zérékoré,admin,221715.0,221715.0
2,Nzérékoré,7.747222,-8.823889,Guinea,GN,N’Zérékoré,admin,168121.0,132728.0
3,Labé,11.316667,-12.283333,Guinea,GN,Labé,admin,140575.0,58649.0
4,Kindia,10.066667,-12.85,Guinea,GN,Kindia,admin,117062.0,69960.0
5,Boké,10.933333,-14.3,Guinea,GN,Boké,admin,116270.0,116270.0
6,Kankan,10.383333,-9.3,Guinea,GN,Kankan,admin,114009.0,106906.0
7,Mamou,10.383333,-12.083333,Guinea,GN,Mamou,admin,71153.0,41619.0
8,Kissidougou,9.183333,-10.1,Guinea,GN,Faranah,admin,66815.0,47099.0
9,Siguiri,11.416667,-9.166667,Guinea,GN,Kankan,admin,50159.0,43601.0
10,Macenta,8.546111,-9.469444000000001,Guinea,GN,N’Zérékoré,admin,43102.0,41233.0
11,Kamsar,10.666667,-14.6,Guinea,GN,Boké,,34973.0,34973.0
12,Télimélé,10.9,-13.033333,Guinea,GN,Kindia,admin,30311.0,30311.0
13,Tougué,11.45,-11.683333,Guinea,GN,Labé,admin,25531.0,25531.0
14,Fria,10.45,-13.533332999999999,Guinea,GN,Boké,admin,23729.0,23729.0
15,Pita,11.083333,-12.4,Guinea,GN,Mamou,admin,20052.0,20052.0
16,Faranah,10.033333,-10.733333,Guinea,GN,Faranah,admin,19469.0,9350.0
17,Kérouané,9.266667,-9.016667,Guinea,GN,Kankan,admin,15406.0,7228.0
18,Kouroussa,10.65,-9.883333,Guinea,GN,Kankan,admin,14223.0,14223.0
19,Koundara,12.483333,-13.3,Guinea,GN,Boké,admin,13990.0,13990.0
20,Beyla,8.683333,-8.633333,Guinea,GN,N’Zérékoré,admin,13204.0,13204.0
21,Dabola,10.75,-11.116667,Guinea,GN,Faranah,admin,13057.0,13057.0
22,Forécariah,9.430556,-13.088056,Guinea,GN,Kindia,admin,12358.0,12358.0
23,Gaoual,11.75,-13.2,Guinea,GN,Boké,admin,7461.0,7461.0
24,Dalaba,10.7,-12.25,Guinea,GN,Mamou,admin,6349.0,6349.0
25,Dinguiraye,11.3,-10.716667,Guinea,GN,Faranah,admin,6062.0,6062.0
26,Mali,12.079,-12.2982,Guinea,GN,Labé,admin,5479.0,5479.0
27,Yomou,7.560278,-9.265278,Guinea,GN,N’Zérékoré,admin,3614.0,1601.0
28,Boffa,10.166667,-14.033332999999999,Guinea,GN,Boké,admin,2332.0,2332.0
29,Koubia,11.583333,-11.9,Guinea,GN,Labé,admin,,
30,Coyah,9.705556,-13.376944,Guinea,GN,Kindia,admin,,
31,Mandiana,10.633333,-8.683333,Guinea,GN,Kankan,admin,,
32,Lola,7.8,-8.533333,Guinea,GN,N’Zérékoré,admin,,
33,Lélouma,11.183333,-12.933333,Guinea,GN,Labé,admin,,
34,Dubréka,9.791111,-13.523333,Guinea,GN,Kindia,admin,,
