,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Athens,37.983333,23.733333,Greece,GR,Attikí,primary,3242000.0,729137.0
1,Thessaloníki,40.643615000000004,22.930864,Greece,GR,Kentrikí Makedonía,admin,828000.0,354290.0
2,Piraeus,37.961389000000004,23.638889000000002,Greece,GR,Attikí,minor,466065.0,175697.0
3,Pátra,38.244444,21.734444,Greece,GR,Dytikí Elláda,admin,163360.0,155799.0
4,Irákleio,35.338082,25.133029,Greece,GR,Kríti,admin,137154.0,131654.0
5,Lárisa,39.636889000000004,22.417610999999997,Greece,GR,Thessalía,admin,128758.0,111487.0
6,Áno Vólos,39.379360999999996,22.981806,Greece,GR,Thessalía,,110632.0,84425.0
7,Ioánnina,39.664861,20.851889,Greece,GR,Ípeiros,admin,86304.0,64012.0
8,Chaniá,35.511236,24.02921,Greece,GR,Kríti,minor,78728.0,54565.0
9,Agrínio,38.621889,21.409778,Greece,GR,Dytikí Elláda,minor,75233.0,43525.0
10,Chalkída,38.461451000000004,23.602631,Greece,GR,Stereá Elláda,minor,71842.0,54558.0
11,Kalámi,37.062286,22.070569,Greece,GR,Peloponnísos,,71823.0,51108.0
12,Kavála,40.939586,24.406868,Greece,GR,Anatolikí Makedonía kai Thráki,minor,59240.0,52950.0
13,Ródos,36.435564,28.221984999999997,Greece,GR,Notío Aigaío,minor,56969.0,56128.0
14,Sérres,41.084990999999995,23.54757,Greece,GR,Kentrikí Makedonía,minor,55886.0,45935.0
15,Kateríni,40.269557,22.506078,Greece,GR,Kentrikí Makedonía,minor,53293.0,48408.0
16,Alexandroúpoli,40.849949,25.876435,Greece,GR,Anatolikí Makedonía kai Thráki,minor,52979.0,44444.0
17,Xánthi,41.134876,24.887998,Greece,GR,Anatolikí Makedonía kai Thráki,minor,50570.0,48221.0
18,Lamía,38.9,22.433332999999998,Greece,GR,Stereá Elláda,admin,47246.0,47246.0
19,Komotiní,41.119174,25.40535,Greece,GR,Anatolikí Makedonía kai Thráki,admin,45631.0,45631.0
20,Kérkyra,39.620694,19.91975,Greece,GR,Ionía Nísia,admin,38517.0,27003.0
21,Mytilíni,39.11,26.554721999999998,Greece,GR,Voreío Aigaío,admin,29328.0,28322.0
22,Trípoli,37.508889,22.379444,Greece,GR,Peloponnísos,admin,28970.0,26561.0
23,Chíos,38.368621000000005,26.132356,Greece,GR,Voreío Aigaío,minor,26891.0,23953.0
24,Pýrgos,37.672139,21.439306,Greece,GR,Dytikí Elláda,minor,22399.0,22223.0
25,Kos,36.892607,27.287574,Greece,GR,Notío Aigaío,minor,19244.0,18691.0
26,Spárti,37.074459000000004,22.430091,Greece,GR,Peloponnísos,minor,16187.0,15497.0
27,Ermoúpoli,37.45,24.933332999999998,Greece,GR,Notío Aigaío,admin,12260.0,12260.0
28,Siteía,35.208507,26.103023999999998,Greece,GR,Kríti,minor,8833.0,8707.0
29,Polýgyros,40.37704,23.441354,Greece,GR,Kentrikí Makedonía,minor,5258.0,5258.0
30,Megalópoli,37.401421,22.13689,Greece,GR,Peloponnísos,minor,,
31,Cholargós,38.00095,23.80079,Greece,GR,Attikí,minor,,
32,Náousa,40.630001,22.068374,Greece,GR,Kentrikí Makedonía,minor,,
33,Ágios Nikólaos,35.191064000000004,25.715244000000002,Greece,GR,Kríti,minor,,
34,Agía Kyriakí,39.522639,20.883582999999998,Greece,GR,Ípeiros,minor,,
35,Póros,37.500076,23.454954999999998,Greece,GR,Attikí,minor,,
36,Palaió Fáliro,37.930198,23.702602,Greece,GR,Attikí,minor,,
37,Palaióchora,35.231328000000005,23.681271,Greece,GR,Kríti,minor,,
38,Melíssia,38.051158,23.836204000000002,Greece,GR,Attikí,minor,,
39,Agía Marína,37.154351,26.855903,Greece,GR,Notío Aigaío,minor,,
40,Íos,36.723273,25.28246,Greece,GR,Notío Aigaío,minor,,
41,Níkiti,40.229439,23.67149,Greece,GR,Kentrikí Makedonía,minor,,
42,Ílion,38.032332000000004,23.702161,Greece,GR,Attikí,minor,,
43,Kastrí,34.83453,24.086423999999997,Greece,GR,Kríti,minor,,
44,Kárystos,38.016833,24.421111,Greece,GR,Stereá Elláda,minor,,
45,Pezá,35.218059999999994,25.192926,Greece,GR,Kríti,minor,,
46,Kalamáta,37.035586,22.112982000000002,Greece,GR,Peloponnísos,minor,,
47,Itháki,38.362583,20.721833,Greece,GR,Ionía Nísia,minor,,
48,Mandráki,36.61038,27.132234000000004,Greece,GR,Notío Aigaío,minor,,
49,Asprópyrgos,38.061713,23.589444,Greece,GR,Attikí,minor,,
50,Geráni,35.516771999999996,23.878027,Greece,GR,Kríti,minor,,
51,Paranésti,41.266801,24.501991,Greece,GR,Anatolikí Makedonía kai Thráki,minor,,
52,Kálymnos,36.95258,26.980644,Greece,GR,Notío Aigaío,minor,,
53,Kyparissía,37.250733000000004,21.669551000000002,Greece,GR,Peloponnísos,minor,,
54,Výronas,37.959554,23.752897,Greece,GR,Attikí,minor,,
55,Pérama,35.369525,24.703879,Greece,GR,Kríti,minor,,
56,Pérama,37.966223,23.573917,Greece,GR,Attikí,minor,,
57,Zográfos,37.975744,23.769113,Greece,GR,Attikí,minor,,
58,Mílos,36.743605,24.422496,Greece,GR,Notío Aigaío,minor,,
59,Thérmi,40.547953,23.020184,Greece,GR,Kentrikí Makedonía,minor,,
60,Áno Kalentíni,39.251528,21.167944,Greece,GR,Ípeiros,minor,,
61,Alíartos,38.372662,23.101288,Greece,GR,Stereá Elláda,minor,,
62,Asklipieío,37.5975,23.074735999999998,Greece,GR,Peloponnísos,minor,,
63,Igoumenítsa,39.503417,20.267278,Greece,GR,Ípeiros,minor,,
64,Sofádes,39.334365000000005,22.097337,Greece,GR,Thessalía,minor,,
65,Kastélli,35.208387,25.338395000000002,Greece,GR,Kríti,minor,,
66,Íasmos,41.127895,25.184382,Greece,GR,Anatolikí Makedonía kai Thráki,minor,,
67,Spáta,37.962471,23.915008,Greece,GR,Attikí,minor,,
68,Árgos Orestikó,40.452490999999995,21.259247,Greece,GR,Dytikí Makedonía,minor,,
69,Argostóli,38.172889,20.490278,Greece,GR,Ionía Nísia,minor,,
70,Lefkáda,38.830360999999996,20.704417000000003,Greece,GR,Ionía Nísia,minor,,
71,Néa Smýrni,37.945391,23.714585999999997,Greece,GR,Attikí,minor,,
72,Mégara,37.995758,23.344661,Greece,GR,Attikí,minor,,
73,Atalánti,38.653951,22.997010999999997,Greece,GR,Stereá Elláda,minor,,
