,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Guatemala,14.633426,-90.516722,Guatemala,GT,Guatemala,minor,1024000.0,994938.0
1,Quetzaltenango,14.834722,-91.518056,Guatemala,GT,Quetzaltenango,admin,575263.0,224703.0
2,San Luis,16.198889,-89.440278,Guatemala,GT,Petén,minor,132470.0,6776.0
3,Escuintla,14.305,-90.785,Guatemala,GT,Escuintla,admin,107638.0,103165.0
4,Huehuetenango,15.319722,-91.470833,Guatemala,GT,Huehuetenango,admin,85992.0,79426.0
5,Chimaltenango,14.661110999999998,-90.81944399999999,Guatemala,GT,Chimaltenango,admin,82370.0,82370.0
6,Totonicapán,14.911667000000001,-91.361111,Guatemala,GT,Totonicapán,admin,69734.0,69734.0
7,Cobán,15.470832999999999,-90.37083299999999,Guatemala,GT,Alta Verapaz,admin,65194.0,53375.0
8,Mazatenango,14.534167000000002,-91.503333,Guatemala,GT,Suchitepéquez,admin,64652.0,44132.0
9,Puerto Barrios,15.727778,-88.594444,Guatemala,GT,Izabal,admin,56605.0,53150.0
10,Jutiapa,14.291667000000002,-89.895833,Guatemala,GT,Jutiapa,admin,50681.0,34332.0
11,Jalapa,14.634722,-89.988889,Guatemala,GT,Jalapa,admin,45834.0,45834.0
12,Sololá,14.772222,-91.18333299999999,Guatemala,GT,Sololá,admin,45373.0,45373.0
13,Chiquimula,14.8,-89.545833,Guatemala,GT,Chiquimula,admin,41521.0,41521.0
14,Salamá,15.102778,-90.318056,Guatemala,GT,Baja Verapaz,admin,40000.0,40000.0
15,Antigua Guatemala,14.561110999999999,-90.734444,Guatemala,GT,Sacatepéquez,admin,39368.0,39368.0
16,Flores,16.921667000000003,-89.895278,Guatemala,GT,Petén,admin,38035.0,20464.0
17,Retalhuleu,14.536110999999998,-91.677778,Guatemala,GT,Retalhuleu,admin,36656.0,36656.0
18,Zacapa,14.972222,-89.530556,Guatemala,GT,Zacapa,admin,36088.0,36088.0
19,San Marcos,14.963889000000002,-91.794444,Guatemala,GT,San Marcos,admin,25088.0,25088.0
20,Santa Cruz del Quiché,15.030555999999999,-91.148889,Guatemala,GT,Quiché,admin,23618.0,23618.0
21,San José,13.916667000000002,-90.816666,Guatemala,GT,Escuintla,minor,18655.0,9841.0
22,Cuilapa,14.276389000000002,-90.298889,Guatemala,GT,Santa Rosa,admin,16484.0,16484.0
23,Lívingston,15.833332999999998,-88.75,Guatemala,GT,Izabal,minor,14350.0,10255.0
24,La Libertad,16.788497,-90.116978,Guatemala,GT,Petén,minor,8646.0,8523.0
25,Quezaltepeque,14.633332999999999,-89.45,Guatemala,GT,Chiquimula,minor,,
26,Mixco,14.633332999999999,-90.60638900000001,Guatemala,GT,Guatemala,minor,,
27,Huité,14.933333,-89.716667,Guatemala,GT,Zacapa,minor,,
28,Huitán,15.049201,-91.639439,Guatemala,GT,Quetzaltenango,minor,,
29,Magdalena Milpas Altas,14.545278,-90.675278,Guatemala,GT,Sacatepéquez,minor,,
30,Tecpán Guatemala,14.766944,-90.994167,Guatemala,GT,Chimaltenango,minor,,
31,Tectitán,15.333332999999998,-92.033333,Guatemala,GT,Huehuetenango,minor,,
32,San Jorge,14.933333,-89.583333,Guatemala,GT,Zacapa,minor,,
33,Concepción Las Minas,14.516667000000002,-89.45,Guatemala,GT,Chiquimula,minor,,
34,San Sebastián Huehuetenango,15.387681,-91.615299,Guatemala,GT,Huehuetenango,minor,,
