,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Zagreb,45.8,16.0,Croatia,HR,"Zagreb, Grad",primary,722526.0,698966.0
1,Split,43.513889,16.455833,Croatia,HR,Splitsko-Dalmatinska Županija,admin,214741.0,176314.0
2,Rijeka,45.343056,14.409167000000002,Croatia,HR,Primorsko-Goranska Županija,admin,170992.0,141172.0
3,Slavonski Brod,45.160278000000005,18.015556,Croatia,HR,Brodsko-Posavska Županija,admin,97718.0,60742.0
4,Osijek,45.551111,18.693889000000002,Croatia,HR,Osječko-Baranjska Županija,admin,95077.0,88140.0
5,Zadar,44.119721999999996,15.242222,Croatia,HR,Zadarska Županija,admin,71258.0,47145.0
6,Pula,44.868333,13.848056,Croatia,HR,Istarska Županija,minor,61599.0,59078.0
7,Karlovac,45.491667,15.55,Croatia,HR,Karlovačka Županija,,55063.0,48123.0
8,Šibenik,43.727222,15.905833,Croatia,HR,Šibensko-Kninska Županija,admin,37112.0,37112.0
9,Dubrovnik,42.650556,18.091389000000003,Croatia,HR,Dubrovačko-Neretvanska Županija,admin,36994.0,28428.0
10,Luka,45.966667,15.816667,Croatia,HR,Zagrebačka Županija,minor,,
11,Lukač,45.8725,17.419444,Croatia,HR,Virovitičko-Podravska Županija,minor,,
12,Bol,43.261944,16.655,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
13,Popovac,45.809166999999995,18.658333,Croatia,HR,Osječko-Baranjska Županija,minor,,
14,Zrinski Topolovac,46.02802,16.759169,Croatia,HR,Koprivničko-Križevačka Županija,minor,,
15,Slano,42.786111,17.891944,Croatia,HR,Dubrovačko-Neretvanska Županija,minor,,
16,Garčin,45.182778000000006,18.183056,Croatia,HR,Brodsko-Posavska Županija,minor,,
17,Jakšić,45.358056,17.763889000000002,Croatia,HR,Požeško-Slavonska Županija,minor,,
18,Podbablje,43.397222,17.191667000000002,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
19,Klakar,45.098611,18.132222,Croatia,HR,Brodsko-Posavska Županija,minor,,
20,Biograd na Moru,43.943333,15.451944000000001,Croatia,HR,Zadarska Županija,minor,,
21,Vis,43.061944,16.183056,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
22,Krašić,45.655833,15.517778,Croatia,HR,Zagrebačka Županija,minor,,
23,Delnice,45.400833,14.799722000000001,Croatia,HR,Primorsko-Goranska Županija,minor,,
24,Rovišće,45.944722,16.735,Croatia,HR,Bjelovarsko-Bilogorska Županija,minor,,
25,Rovinj,45.08,13.64,Croatia,HR,Istarska Županija,minor,,
26,Labin,45.095,14.119722,Croatia,HR,Istarska Županija,minor,,
27,Bilice,43.775278,15.918056,Croatia,HR,Šibensko-Kninska Županija,minor,,
28,Mikleuš,45.618611,17.803889,Croatia,HR,Virovitičko-Podravska Županija,minor,,
29,Ogulin,45.266110999999995,15.228610999999999,Croatia,HR,Karlovačka Županija,minor,,
30,Žumberak,45.75,15.433333,Croatia,HR,Zagrebačka Županija,minor,,
