,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Budapest,47.5,19.083333,Hungary,HU,Budapest,primary,1679000.0,1679000.0
1,Miskolc,48.1,20.783333,Hungary,HU,Miskolc,admin,247757.0,172637.0
2,Debrecen,47.533333,21.633333,Hungary,HU,Debrecen,admin,231286.0,204124.0
3,Szeged,46.25,20.166667,Hungary,HU,Szeged,admin,187765.0,164883.0
4,Pécs,46.075363,18.232845,Hungary,HU,Pécs,admin,186262.0,156649.0
5,Nyíregyháza,47.95,21.716667,Hungary,HU,Szabolcs-Szatmár-Bereg,admin,176880.0,116298.0
6,Székesfehérvár,47.195503,18.4096,Hungary,HU,Fejér,admin,144319.0,101600.0
7,Győr,47.687281,17.637616,Hungary,HU,Győr,admin,136081.0,128265.0
8,Kecskemét,46.9,19.783333,Hungary,HU,Bács-Kiskun,admin,113895.0,109847.0
9,Szombathely,47.233333,16.616667,Hungary,HU,Vas,admin,109518.0,79534.0
10,Szolnok,47.183333000000005,20.2,Hungary,HU,Jász-Nagykun-Szolnok,admin,109261.0,75474.0
11,Kaposvár,46.366667,17.8,Hungary,HU,Somogy,admin,108528.0,67746.0
12,Horváttanya,47.55,18.433332999999998,Hungary,HU,Komárom-Esztergom,,70541.0,70541.0
13,Békéscsaba,46.683333000000005,21.1,Hungary,HU,Békés,admin,65206.0,65206.0
14,Veszprém,47.094289,17.911956,Hungary,HU,Veszprém,admin,62023.0,62023.0
15,Zalaegerszeg,46.84,16.843889,Hungary,HU,Zala,admin,61898.0,61898.0
16,Eger,47.9,20.383333,Hungary,HU,Heves,admin,56647.0,56647.0
17,Salgótarján,48.103363,19.805236999999998,Hungary,HU,Nógrád,admin,39640.0,39640.0
18,Vác,47.780715,19.131006,Hungary,HU,Pest,minor,35293.0,35108.0
19,Szekszárd,46.350137,18.709051000000002,Hungary,HU,Tolna,admin,34174.0,34174.0
20,Szeghalom,47.033333,21.166667,Hungary,HU,Békés,minor,,
21,Nagyatád,46.228066,17.360968,Hungary,HU,Somogy,minor,,
22,Sarkad,46.75,21.383333,Hungary,HU,Békés,minor,,
23,Kemecse,48.075319,21.806252999999998,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,,
24,Edelény,48.3,20.733333,Hungary,HU,Borsod-Abaúj-Zemplén,minor,,
25,Jánoshalma,46.298611,19.325833,Hungary,HU,Bács-Kiskun,minor,,
26,Tolna,46.426765,18.782476000000003,Hungary,HU,Tolna,minor,,
27,Pilisvörösvár,47.617785,18.911081,Hungary,HU,Pest,minor,,
28,Sásd,46.255196999999995,18.107757,Hungary,HU,Baranya,minor,,
29,Dombóvár,46.376568,18.136962,Hungary,HU,Tolna,minor,,
30,Tokaj,48.116667,21.416667,Hungary,HU,Borsod-Abaúj-Zemplén,minor,,
31,Bélapátfalva,48.05,20.366667,Hungary,HU,Heves,minor,,
32,Tiszakécske,46.932615000000006,20.103487,Hungary,HU,Bács-Kiskun,minor,,
33,Fehérgyarmat,47.983333,22.516667,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,,
34,Barcs,45.96,17.458610999999998,Hungary,HU,Somogy,minor,,
35,Békés,46.766667,21.133333,Hungary,HU,Békés,minor,,
36,Bicske,47.484189,18.644038000000002,Hungary,HU,Fejér,minor,,
37,Csenger,47.835822,22.680956,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,,
38,Nyíradony,47.697457,21.918782,Hungary,HU,Hajdú-Bihar,minor,,
39,Nyírbátor,47.833333,22.133333,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,,
40,Tiszafüred,47.616667,20.766667,Hungary,HU,Jász-Nagykun-Szolnok,minor,,
41,Nagykáta,47.415144,19.744099,Hungary,HU,Pest,minor,,
42,Szentes,46.658343,20.260801,Hungary,HU,Csongrád,minor,,
43,Kunszentmárton,46.83916,20.28879,Hungary,HU,Jász-Nagykun-Szolnok,minor,,
44,Pápa,47.330044,17.467398,Hungary,HU,Veszprém,minor,,
45,Enying,46.930465000000005,18.242019,Hungary,HU,Fejér,minor,,
46,Nagykálló,47.875124,21.84536,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,,
47,Baja,46.174957,18.956388,Hungary,HU,Bács-Kiskun,minor,,
48,Mátészalka,47.955279,22.323478,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,,
49,Szigetvár,46.04865,17.805536,Hungary,HU,Baranya,minor,,
50,Tét,47.519225,17.508020000000002,Hungary,HU,Győr-Moson-Sopron,minor,,
51,Püspökladány,47.316666999999995,21.116667,Hungary,HU,Hajdú-Bihar,minor,,
52,Érd,47.394886,18.913605,Hungary,HU,Pest,minor,,
53,Bóly,45.967222,18.518333,Hungary,HU,Baranya,minor,,
54,Martonvásár,47.316012,18.79045,Hungary,HU,Fejér,minor,,
55,Sátoraljaújhely,48.394919,21.658712,Hungary,HU,Borsod-Abaúj-Zemplén,minor,,
56,Csongrád,46.713319,20.142415,Hungary,HU,Csongrád,minor,,
57,Kiskunmajsa,46.490278,19.74,Hungary,HU,Bács-Kiskun,minor,,
58,Kiskunhalas,46.434025,19.484795000000002,Hungary,HU,Bács-Kiskun,minor,,
59,Jászberény,47.5,19.916667,Hungary,HU,Jász-Nagykun-Szolnok,minor,,
60,Tapolca,46.881518,17.44117,Hungary,HU,Veszprém,minor,,
61,Kazincbarcika,48.25,20.633333,Hungary,HU,Borsod-Abaúj-Zemplén,minor,,
62,Nagykanizsa,46.514167,16.971667,Hungary,HU,Zala,admin,,
63,Siklós,45.854991999999996,18.297523,Hungary,HU,Baranya,minor,,
64,Heves,47.6,20.283333,Hungary,HU,Heves,minor,,
65,Hajdúhadház,47.683333000000005,21.666667,Hungary,HU,Hajdú-Bihar,minor,,
66,Kőszeg,47.389223,16.541001,Hungary,HU,Vas,minor,,
67,Szentgotthárd,46.946513,16.315555,Hungary,HU,Vas,minor,,
68,Dunaújváros,46.980651,18.932674,Hungary,HU,Fejér,admin,,
69,Szarvas,46.866667,20.55,Hungary,HU,Békés,minor,,
70,Letenye,46.433013,16.725832,Hungary,HU,Zala,minor,,
71,Kistelek,46.4725,19.979722,Hungary,HU,Csongrád,minor,,
72,Ibrány,48.123294,21.709526999999998,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,,
73,Vásárosnamény,48.125423,22.313252,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,,
74,Aszód,47.653902,19.498001000000002,Hungary,HU,Pest,minor,,
75,Oroszlány,47.486706,18.31225,Hungary,HU,Komárom-Esztergom,minor,,
76,Baktalórántháza,48.0,22.083333,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,,
77,Paks,46.62648,18.859624,Hungary,HU,Tolna,minor,,
78,Sopron,47.683333000000005,16.6,Hungary,HU,Győr-Moson-Sopron,admin,,
79,Mohács,45.993056,18.683056,Hungary,HU,Baranya,minor,,
80,Szikszó,48.2,20.933332999999998,Hungary,HU,Borsod-Abaúj-Zemplén,minor,,
81,Mezőkövesd,47.816666999999995,20.583333,Hungary,HU,Borsod-Abaúj-Zemplén,minor,,
82,Mezőkovácsháza,46.4,20.916667,Hungary,HU,Békés,minor,,
83,Ráckeve,47.160951000000004,18.944781,Hungary,HU,Pest,minor,,
84,Siófok,46.904125,18.058002,Hungary,HU,Somogy,minor,,
85,Tatabánya,47.584941,18.393253,Hungary,HU,Komárom-Esztergom,admin,,
86,Karcag,47.316666999999995,20.933332999999998,Hungary,HU,Jász-Nagykun-Szolnok,minor,,
87,Zirc,47.262384000000004,17.870522,Hungary,HU,Veszprém,minor,,
88,Hajdúböszörmény,47.666667,21.516667,Hungary,HU,Hajdú-Bihar,minor,,
89,Balatonfüred,46.96188,17.871866,Hungary,HU,Veszprém,minor,,
90,Komló,46.188855,18.260645,Hungary,HU,Baranya,minor,,
91,Tata,47.652891,18.318379999999998,Hungary,HU,Komárom-Esztergom,minor,,
92,Kapuvár,47.592234999999995,17.028857000000002,Hungary,HU,Győr-Moson-Sopron,minor,,
93,Sárbogárd,46.886555,18.619464,Hungary,HU,Fejér,minor,,
94,Kunhegyes,47.366667,20.633333,Hungary,HU,Jász-Nagykun-Szolnok,minor,,
95,Dunakeszi,47.636404999999996,19.13864,Hungary,HU,Pest,minor,,
96,Monor,47.351333000000004,19.447335,Hungary,HU,Pest,minor,,
97,Tab,46.731353000000006,18.032013,Hungary,HU,Somogy,minor,,
98,Szécsény,48.080573,19.520189000000002,Hungary,HU,Nógrád,minor,,
99,Gödöllő,47.596574,19.355151,Hungary,HU,Pest,minor,,
100,Bonyhád,46.3,18.52905,Hungary,HU,Tolna,minor,,
101,Ózd,48.216667,20.3,Hungary,HU,Borsod-Abaúj-Zemplén,minor,,
102,Fonyód,46.755525,17.579452,Hungary,HU,Somogy,minor,,
103,Szerencs,48.159933,21.209702,Hungary,HU,Borsod-Abaúj-Zemplén,minor,,
104,Gyöngyös,47.782571000000004,19.928003,Hungary,HU,Heves,minor,,
105,Gönc,48.466667,21.283333,Hungary,HU,Borsod-Abaúj-Zemplén,minor,,
