,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Jakarta Pusat,-6.1818,106.8223,Indonesia,ID,Jakarta,,9125000.0,8540121.0
1,Surabaya,-7.249167,112.75083300000001,Indonesia,ID,Jawa Timur,admin,2845000.0,2374658.0
2,Tanjung,-6.929722,107.58555600000001,Indonesia,ID,Jawa Barat,,2394000.0,1699719.0
3,Bekasijaya,-6.2308330000000005,107.01361100000001,Indonesia,ID,Jawa Barat,,2378211.0,1520119.0
4,Merdeka,3.5704,98.6593,Indonesia,ID,Sumatera Utara,,2115000.0,1750971.0
5,Palembang,-2.9763889999999997,104.75,Indonesia,ID,Sumatera Selatan,admin,1749000.0,1441500.0
6,Semarangindah,-6.974,110.3909,Indonesia,ID,Jawa Tengah,,1396000.0,1288084.0
7,Ujungtanah,-5.1146,119.4245,Indonesia,ID,Sulawesi Selatan,,1262000.0,1262000.0
8,Cilacap,-7.726389,109.00944399999999,Indonesia,ID,Jawa Tengah,minor,1174964.0,1174964.0
9,Bogor,-6.594444,106.78916699999999,Indonesia,ID,Jawa Barat,,918000.0,800000.0
10,Tanjung Gintung,-5.4294139999999995,105.27533500000001,Indonesia,ID,Lampung,,881801.0,881801.0
11,Bandar Lampung,-5.429167,105.26111100000001,Indonesia,ID,Lampung,admin,865000.0,726514.0
12,Pampangan,-0.9790770000000001,100.382191,Indonesia,ID,Sumatera Barat,,855000.0,840352.0
13,Gadang,-8.0123,112.6283,Indonesia,ID,Jawa Timur,minor,805000.0,746716.0
14,Pekanbaru,0.516667,101.44166700000001,Indonesia,ID,Riau,admin,799000.0,611436.0
15,Wanasari,-8.6429,115.2145,Indonesia,ID,Bali,,732344.0,405923.0
16,Yogyakarta,-7.801389,110.364722,Indonesia,ID,Yogyakarta,admin,636660.0,636660.0
17,Palu,-0.908333,119.870833,Indonesia,ID,Sulawesi Tengah,admin,612445.0,335297.0
18,Pontianak Barat,-0.018941,109.318679,Indonesia,ID,Kalimantan Barat,minor,607311.0,550304.0
19,Banjarmasin,-3.323611,114.588889,Indonesia,ID,Kalimantan Selatan,admin,603576.0,572837.0
20,Samarinda,-0.491667,117.14583300000001,Indonesia,ID,Kalimantan Timur,admin,592228.0,355160.0
