,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Mumbai,18.987807,72.83644699999999,India,IN,Mahārāshtra,admin,18978000.0,12691836.0
1,Delhi,28.651952,77.231495,India,IN,Delhi,admin,15926000.0,7633213.0
2,Kolkata,22.562627,88.36304399999999,India,IN,West Bengal,admin,14787000.0,4631392.0
3,Chennai,13.084622,80.248357,India,IN,Tamil Nādu ,admin,7163000.0,4328063.0
4,Bengalūru,12.977063000000001,77.587106,India,IN,Karnātaka,admin,6787000.0,5104047.0
5,Hyderabad,17.384052,78.456355,India,IN,Andhra Pradesh,admin,6376000.0,3597816.0
6,Ahmadābād,23.025793,72.587265,India,IN,Gujarāt,minor,5375000.0,3719710.0
7,Hāora,22.576882,88.318566,India,IN,West Bengal,,4841638.0,1027672.0
8,Pune,18.513271,73.849852,India,IN,Mahārāshtra,,4672000.0,2935744.0
9,Sūrat,21.195944,72.830232,India,IN,Gujarāt,,3842000.0,2894504.0
10,Mardānpur,26.430065999999997,80.267176,India,IN,Uttar Pradesh,,3162000.0,2823249.0
11,Rāmpura,26.884682,75.78933599999999,India,IN,Rājasthān,,2917000.0,2711758.0
12,Lucknow,26.839281,80.92313299999999,India,IN,Uttar Pradesh,admin,2695000.0,2472011.0
13,Nāra,21.203096,79.08928399999999,India,IN,Mahārāshtra,,2454000.0,2228018.0
14,Patna,25.615379,85.101027,India,IN,Bihār,admin,2158000.0,1599920.0
15,Indore,22.717736,75.85859,India,IN,Madhya Pradesh,,2026000.0,1837041.0
16,Vadodara,22.299405,73.208119,India,IN,Gujarāt,,1756000.0,1409476.0
17,Bhopal,23.254688,77.40289200000001,India,IN,Madhya Pradesh,admin,1727000.0,1599914.0
18,Coimbatore,11.005547,76.966122,India,IN,Tamil Nādu ,,1696000.0,959823.0
19,Ludhiāna,30.912042,75.853789,India,IN,Punjab,,1649000.0,1545368.0
20,Āgra,27.187934999999996,78.00394399999999,India,IN,Uttar Pradesh,,1592000.0,1430055.0
21,Kalyān,19.243703,73.135537,India,IN,Mahārāshtra,,1576614.0,1576614.0
22,Vishākhapatnam,17.704051999999997,83.297663,India,IN,Andhra Pradesh,,1529000.0,1063178.0
23,Kochi,9.947743,76.25380200000001,India,IN,Kerala,,1519000.0,604696.0
24,Nāsik,19.999963,73.776887,India,IN,Mahārāshtra,,1473000.0,1289497.0
25,Meerut,28.980017999999998,77.706356,India,IN,Uttar Pradesh,,1398000.0,1223184.0
26,Farīdābād,28.411236,77.313162,India,IN,Haryāna,,1394000.0,1394000.0
27,Vārānasi,25.31774,83.005811,India,IN,Uttar Pradesh,,1352000.0,1164404.0
28,Ghāziābād,28.665353000000003,77.439148,India,IN,Uttar Pradesh,,1341000.0,1199191.0
29,Āsansol,23.683332999999998,86.983333,India,IN,West Bengal,,1328000.0,1328000.0
30,Jamshedpur,22.802776,86.185448,India,IN,Jharkhand,,1300000.0,616338.0
31,Madurai,9.917347,78.11962199999999,India,IN,Tamil Nādu ,,1294000.0,909908.0
32,Jabalpur,23.174495,79.935903,India,IN,Madhya Pradesh,,1285000.0,1030168.0
33,Rājkot,22.291605999999998,70.793217,India,IN,Gujarāt,,1260000.0,1099882.0
34,Dhanbād,23.801988,86.44324399999999,India,IN,Jharkhand,,1246000.0,219636.0
35,Amritsar,31.622336999999998,74.87533499999999,India,IN,Punjab,,1212000.0,1092450.0
36,Warangal,17.978423,79.60020899999999,India,IN,Andhra Pradesh,,1203853.0,865527.0
37,Allahābād,25.444779999999998,81.84321700000001,India,IN,Uttar Pradesh,,1201000.0,1073438.0
38,Srīnagar,34.085652,74.805553,India,IN,Jammu and Kashmīr,admin,1140000.0,975857.0
39,Aurangābād,19.880943,75.346739,India,IN,Mahārāshtra,,1113000.0,1016441.0
40,Bhilai,21.209188,81.428497,India,IN,Chhattīsgarh,,1097000.0,1097000.0
41,Solāpur,17.671523,75.910437,India,IN,Mahārāshtra,,1057000.0,961112.0
42,Ranchi,23.347768,85.338564,India,IN,Jharkhand,admin,1044000.0,846454.0
43,Jodhpur,26.26841,73.005943,India,IN,Rājasthān,,995000.0,921476.0
44,Guwāhāti,26.176076000000002,91.76293199999999,India,IN,Assam,,983000.0,17516.0
45,Chandigarh,30.736292,76.788398,India,IN,Chandīgarh,admin,979000.0,914371.0
46,Gwalior,26.229825,78.173369,India,IN,Madhya Pradesh,,978000.0,882458.0
47,Thiruvananthapuram,8.485498,76.949238,India,IN,Kerala,admin,954000.0,784153.0
48,Tiruchchirāppalli,10.815499,78.696513,India,IN,Tamil Nādu ,,951000.0,775484.0
49,Hubli,15.349955,75.13861899999999,India,IN,Karnātaka,,890000.0,792804.0
50,Mysore,12.292664,76.638543,India,IN,Karnātaka,,887000.0,868313.0
51,Raipur,21.233333,81.633333,India,IN,Chhattīsgarh,admin,875000.0,679995.0
52,Salem,11.651164999999999,78.158672,India,IN,Tamil Nādu ,,873000.0,778396.0
53,Bhubaneshwar,20.272410999999998,85.833853,India,IN,Odisha,admin,844000.0,762243.0
54,Kota,25.182544,75.839065,India,IN,Rājasthān,,827000.0,763088.0
55,Jhānsi,25.458872,78.579943,India,IN,Uttar Pradesh,,826494.0,412927.0
56,Bareilly,28.347022999999997,79.421934,India,IN,Uttar Pradesh,,817000.0,745435.0
57,Alīgarh,27.881453000000004,78.07464,India,IN,Uttar Pradesh,,805000.0,753207.0
58,Bhiwandi,19.300229,73.058813,India,IN,Mahārāshtra,,795000.0,707035.0
59,Jammu,32.735686,74.869112,India,IN,Jammu and Kashmīr,,791000.0,465567.0
60,Morādābād,28.838931,78.776838,India,IN,Uttar Pradesh,,787000.0,721139.0
61,Mangalore,12.865371000000001,74.84243199999999,India,IN,Karnātaka,,776632.0,417387.0
62,Kolhāpur,16.695632999999997,74.231669,India,IN,Mahārāshtra,,750000.0,561841.0
63,Amrāvati,20.933272,77.75152,India,IN,Mahārāshtra,,734451.0,603837.0
64,Dehra Dūn,30.324427000000004,78.033922,India,IN,Uttarakhand,admin,714223.0,578420.0
65,Mālegaon Camp,20.569974,74.515415,India,IN,Mahārāshtra,,690844.0,435362.0
66,Nellore,14.449917999999998,79.986967,India,IN,Andhra Pradesh,,678004.0,404158.0
67,Gopālpur,26.735389,83.38064,India,IN,Uttar Pradesh,,674246.0,674246.0
68,Shimoga,13.932424,75.57255500000001,India,IN,Karnātaka,,654055.0,319550.0
69,Tiruppūr,11.104096,77.346402,India,IN,Tamil Nādu ,,650000.0,444543.0
70,Raurkela,22.224964,84.864143,India,IN,Odisha,,625831.0,483629.0
71,Nānded,19.160227,77.314971,India,IN,Mahārāshtra,,623708.0,550564.0
72,Belgaum,15.862642999999998,74.508534,India,IN,Karnātaka,,608756.0,610189.0
73,Sāngli,16.856776999999997,74.56919599999999,India,IN,Mahārāshtra,,601214.0,601214.0
74,Chānda,19.950758,79.295229,India,IN,Mahārāshtra,,595118.0,328351.0
75,Ajmer,26.452103,74.638667,India,IN,Rājasthān,,589985.0,517911.0
76,Cuttack,20.522922,85.78813000000001,India,IN,Odisha,,580000.0,580000.0
77,Bīkaner,28.017622999999997,73.314955,India,IN,Rājasthān,,576015.0,395908.0
78,Bhāvnagar,21.774455,72.152496,India,IN,Gujarāt,,554978.0,464602.0
79,Hisar,29.153938,75.722944,India,IN,Haryāna,,544829.0,301249.0
80,Bilāspur,22.080046,82.15543100000001,India,IN,Chhattīsgarh,,543454.0,330106.0
81,Tirunelveli,8.725181,77.684519,India,IN,Tamil Nādu ,,542200.0,435844.0
82,Guntūr,16.299737,80.457293,India,IN,Andhra Pradesh,,530577.0,530577.0
83,Shiliguri,26.710034999999998,88.428512,India,IN,West Bengal,,515574.0,515574.0
84,Ujjain,23.182387,75.776433,India,IN,Madhya Pradesh,,513350.0,457346.0
85,Davangere,14.469237,75.92375,India,IN,Karnātaka,,503564.0,435125.0
86,Akola,20.709569000000002,76.998103,India,IN,Mahārāshtra,,503502.0,428857.0
87,Sahāranpur,29.967896000000003,77.545221,India,IN,Uttar Pradesh,,484873.0,484873.0
88,Gulbarga,17.335827,76.83757,India,IN,Karnātaka,,483615.0,481478.0
89,Bhātpāra,22.866431,88.401129,India,IN,West Bengal,,483129.0,483129.0
90,Dhūlia,20.901298999999998,74.777373,India,IN,Mahārāshtra,,479073.0,366980.0
91,Udaipur,24.57951,73.690508,India,IN,Rājasthān,,469737.0,422784.0
92,Bellary,15.142048999999998,76.92398,India,IN,Karnātaka,,445388.0,336681.0
93,Tuticorin,8.805038,78.151884,India,IN,Tamil Nādu ,,436094.0,436094.0
94,Kurnool,15.828864999999999,78.03602099999999,India,IN,Andhra Pradesh,,424920.0,278124.0
95,Gaya,24.796858,85.003852,India,IN,Bihār,,423692.0,423692.0
96,Sīkar,27.614778,75.138671,India,IN,Rājasthān,,400000.0,237579.0
97,Tumkūr,13.341358,77.102203,India,IN,Karnātaka,,399606.0,307359.0
98,Kollam,8.881131,76.584694,India,IN,Kerala,,394163.0,394163.0
99,Ahmadnagar,19.094571,74.73843199999999,India,IN,Mahārāshtra,,391760.0,367140.0
100,Bhīlwāra,25.347071,74.640812,India,IN,Rājasthān,,389911.0,326431.0
101,Nizāmābād,18.673151,78.10008,India,IN,Andhra Pradesh,,388505.0,305438.0
102,Parbhani,19.268553,76.77080699999999,India,IN,Mahārāshtra,,378326.0,289629.0
103,Shillong,25.573987,91.896807,India,IN,Meghālaya,admin,375527.0,354325.0
104,Lātūr,18.399487,76.584252,India,IN,Mahārāshtra,,374394.0,348967.0
105,Rājapālaiyam,9.451111000000001,77.55612099999999,India,IN,Tamil Nādu ,,369991.0,307959.0
106,Bhāgalpur,25.244462,86.97183199999999,India,IN,Bihār,,361548.0,361548.0
107,Muzaffarnagar,29.470914,77.703324,India,IN,Uttar Pradesh,,349706.0,349706.0
108,Muzaffarpur,26.122593,85.390553,India,IN,Bihār,,333200.0,333200.0
