,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Tehran,35.705,51.4216,Iran,IR,Tehrān,primary,7873000.0,7153309.0
1,Mashhad,36.315591,59.567964,Iran,IR,Khorāsān-e Raẕavī,admin,2469000.0,2167253.0
2,Eşfahān,32.657218,51.677608,Iran,IR,Eşfahān,admin,1628000.0,1517766.0
3,Karaj,35.832664,50.991545,Iran,IR,Alborz,admin,1423000.0,1423000.0
4,Tabrīz,38.08,46.2919,Iran,IR,Āz̄arbāyjān-e Sharqī,admin,1413000.0,1196426.0
5,Shīrāz,29.610308000000003,52.531135,Iran,IR,Fārs,admin,1240000.0,1240000.0
6,Ahvāz,31.312381,48.677175,Iran,IR,Khūzestān,admin,996000.0,841145.0
7,Qom,34.6401,50.8764,Iran,IR,Qom,admin,973000.0,893956.0
8,Kermānshāh,34.314167,47.065,Iran,IR,Kermānshāh,admin,828313.0,828313.0
9,Zāhedān,29.4963,60.8629,Iran,IR,Sīstān va Balūchestān,admin,598887.0,551980.0
10,Rasht,37.276108,49.58862,Iran,IR,Gīlān,admin,594590.0,494885.0
11,Kermān,30.283209000000003,57.078790000000005,Iran,IR,Kermān,admin,577514.0,535522.0
12,Orūmīyeh,37.5553,45.0724,Iran,IR,Āz̄arbāyjān-e Gharbī,admin,577307.0,577307.0
13,Hamadān,34.799215999999994,48.514556,Iran,IR,Hamadān,admin,528256.0,330.0
14,Arāk,34.091741,49.689164,Iran,IR,Markazī,admin,503647.0,423251.0
15,Yazd,31.897221999999996,54.3675,Iran,IR,Yazd,admin,477905.0,425942.0
16,Qazvīn,36.2797,50.0049,Iran,IR,Qazvīn,admin,464551.0,333635.0
17,Bandar ‘Abbās,27.1865,56.2808,Iran,IR,Hormozgān,admin,461499.0,367508.0
18,Khomeynī Shahr,32.685604,51.536093,Iran,IR,Eşfahān,minor,437138.0,437138.0
19,Ārdsālem,38.2669,48.283,Iran,IR,Ardabīl,,414603.0,410753.0
20,Khorramābād,33.487778000000006,48.355833000000004,Iran,IR,Lorestān,admin,375198.0,329825.0
21,Ābādān,30.3392,48.3043,Iran,IR,Khūzestān,minor,370180.0,260078.0
22,Zanjān,36.676421000000005,48.496282,Iran,IR,Zanjān,admin,357471.0,352554.0
23,Sanandaj,35.314948,46.998831,Iran,IR,Kordestān,admin,349176.0,314420.0
