,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Rome,41.9,12.483333,Italy,IT,Lazio,primary,3339000.0,35452.0
1,Milan,45.466667,9.2,Italy,IT,Lombardy,admin,2945000.0,1306661.0
2,Naples,40.833333,14.25,Italy,IT,Campania,admin,2250000.0,988972.0
3,Turin,45.05,7.6666669999999995,Italy,IT,Piedmont,admin,1652000.0,865263.0
4,Florence,43.766667,11.25,Italy,IT,Tuscany,admin,1500000.0,371517.0
5,Salerno,40.683333000000005,14.783332999999999,Italy,IT,Campania,minor,954265.0,139579.0
6,Palermo,38.116667,13.366667000000001,Italy,IT,Sicilia,admin,863000.0,672175.0
7,Catania,37.5,15.1,Italy,IT,Sicilia,minor,674542.0,291274.0
8,Genoa,44.416667,8.95,Italy,IT,Liguria,admin,647497.0,601951.0
9,Bari,41.133333,16.85,Italy,IT,Puglia,admin,500577.0,316532.0
10,Bologna,44.483333,11.333333,Italy,IT,Emilia-Romagna,admin,488172.0,371217.0
11,Verona,45.45,11.0,Italy,IT,Veneto,minor,347459.0,253208.0
12,Pescara,42.466667,14.216667000000001,Italy,IT,Abruzzo,minor,314789.0,116286.0
13,Cagliari,39.216667,9.116667,Italy,IT,Sardegna,admin,291511.0,164249.0
14,Venice,45.438611,12.326667,Italy,IT,Veneto,admin,270816.0,270816.0
15,Messina,38.183333000000005,15.566667,Italy,IT,Sicilia,minor,252026.0,196069.0
16,Como,45.783333,9.083333,Italy,IT,Lombardy,minor,250000.0,84876.0
17,Caserta,41.066666999999995,14.333332999999998,Italy,IT,Campania,minor,250000.0,79488.0
18,Trieste,45.648610999999995,13.78,Italy,IT,Friuli-Venezia Giulia,admin,216035.0,211184.0
19,Pisa,43.716667,10.383333,Italy,IT,Tuscany,minor,203336.0,89694.0
20,Taranto,40.476110999999996,17.229722,Italy,IT,Puglia,minor,202033.0,95581.0
21,Bergamo,45.683333000000005,9.716667,Italy,IT,Lombardy,minor,200000.0,121316.0
22,Reggio di Calabria,38.1,15.65,Italy,IT,Calabria,minor,180353.0,177716.0
23,Treviso,45.666667,12.245,Italy,IT,Veneto,minor,177309.0,80144.0
24,Modena,44.666667,10.916667,Italy,IT,Emilia-Romagna,minor,175502.0,174567.0
25,Parma,44.8,10.333333,Italy,IT,Emilia-Romagna,minor,166011.0,163457.0
26,Lecce,40.383333,18.183332999999998,Italy,IT,Puglia,minor,162582.0,83303.0
27,Livorno,43.55,10.316667,Italy,IT,Tuscany,minor,156274.0,133759.0
28,Foggia,41.45,15.566667,Italy,IT,Puglia,minor,155203.0,138853.0
29,Perugia,43.133333,12.366667,Italy,IT,Umbria,admin,149125.0,134871.0
30,Ravenna,44.4175,12.201111000000001,Italy,IT,Emilia-Romagna,minor,134631.0,113974.0
31,Ferrara,44.833333,11.583333,Italy,IT,Emilia-Romagna,minor,130992.0,112516.0
32,Siracusa,37.066666999999995,15.3,Italy,IT,Sicilia,minor,123657.0,122563.0
33,Sassari,40.727222,8.560278,Italy,IT,Sardegna,minor,120729.0,84916.0
34,Udine,46.061944,13.242222,Italy,IT,Friuli-Venezia Giulia,minor,119009.0,95030.0
35,Barletta,41.316666999999995,16.283333,Italy,IT,Puglia,minor,107830.0,92094.0
36,Trento,46.066666999999995,11.133333,Italy,IT,Trentino-Alto Adige,admin,107808.0,104946.0
