,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Amman,31.95,35.933333000000005,Jordan,JO,Al ‘Āşimah,primary,1060000.0,1060000.0
1,Az Zarqā’,32.072753999999996,36.087959999999995,Jordan,JO,Az Zarqā’,admin,894691.0,792665.0
2,Irbid,32.555556,35.85,Jordan,JO,Irbid,admin,650000.0,292040.0
3,As Salţ,32.039167,35.727222,Jordan,JO,Al Balqā’,admin,140689.0,80189.0
4,Al Karak,31.184721999999997,35.704722,Jordan,JO,Al Karak,admin,80062.0,21678.0
5,Al Mafraq,32.342890999999995,36.208045,Jordan,JO,Al Mafraq,admin,57118.0,57118.0
6,Ma‘ān,30.196234999999998,35.734052,Jordan,JO,Ma‘ān,admin,50350.0,50350.0
7,Aţ Ţafīlah,30.837518,35.604425,Jordan,JO,Aţ Ţafīlah,admin,25429.0,25429.0
8,Ar Ruwayshid,32.501521000000004,38.204046999999996,Jordan,JO,Al Mafraq,minor,,
9,Ar Ruşayfah,32.017272,36.032708,Jordan,JO,Az Zarqā’,minor,,
10,Al Jīzah,31.698933,35.9553,Jordan,JO,Al ‘Āşimah,minor,,
11,Al Jubayhah,32.010707000000004,35.898015,Jordan,JO,Al ‘Āşimah,minor,,
12,Al Quwayrah,29.803036,35.311953,Jordan,JO,Al ‘Aqabah,minor,,
13,Yarqā,31.975828999999997,35.696385,Jordan,JO,Al Balqā’,minor,,
14,Al Qaşr,31.314068,35.743934,Jordan,JO,Al Karak,minor,,
15,Ar Rīshah,30.224349,35.216709,Jordan,JO,Al ‘Aqabah,minor,,
16,Al Mughayyir,31.406336,35.770829,Jordan,JO,Al Karak,minor,,
17,‘Ajlūn,32.333265000000004,35.752794,Jordan,JO,‘Ajlūn,admin,,
18,Al Juwayyidah,31.887317,35.932119,Jordan,JO,Al ‘Āşimah,minor,,
19,Bal‘amā,32.236491,36.088107,Jordan,JO,Al Mafraq,minor,,
20,Ad Dīsah,29.652845000000003,35.511233000000004,Jordan,JO,Al ‘Aqabah,minor,,
21,Al Murayghah,30.095259000000002,35.523136,Jordan,JO,Ma‘ān,minor,,
22,Ma’dabā,31.715993,35.793919,Jordan,JO,Ma’dabā,admin,,
23,Ash Shūnah al Janūbīyah,31.891496999999998,35.617799,Jordan,JO,Al Balqā’,minor,,
24,Aţ Ţayyibah,32.543876000000004,35.718602000000004,Jordan,JO,Irbid,minor,,
25,Mārkā,31.986340000000002,35.996517,Jordan,JO,Al ‘Āşimah,minor,,
26,‘Ayn al Bāshā,32.057257,35.831086,Jordan,JO,Al Balqā’,minor,,
27,Muthallath Şabḩā,32.260106,36.467805,Jordan,JO,Al Mafraq,minor,,
28,Al Ḩasā,30.821306,35.974995,Jordan,JO,Aţ Ţafīlah,minor,,
29,Al Hāshimīyah,32.12901,36.121296,Jordan,JO,Az Zarqā’,minor,,
30,Ḩisbān,31.798195,35.809861,Jordan,JO,Al ‘Āşimah,minor,,
31,Juraynah,31.760005,35.794662,Jordan,JO,Ma’dabā,minor,,
32,Adhruḩ,30.3307,35.596588,Jordan,JO,Ma‘ān,minor,,
33,Saḩāb,31.870315,36.004789,Jordan,JO,Al ‘Āşimah,minor,,
34,Mulayḩ,31.585167,35.807161,Jordan,JO,Ma’dabā,minor,,
35,Al Ḩişn,32.482678,35.884661,Jordan,JO,Irbid,minor,,
36,Al Maşţabah,32.184342,35.855881,Jordan,JO,Jarash,minor,,
37,‘Irjān,32.395123,35.732766999999996,Jordan,JO,‘Ajlūn,minor,,
38,Samā as Sirḩān,32.468588000000004,36.243635,Jordan,JO,Al Mafraq,minor,,
39,Al Muwaqqar,31.816652,36.110356,Jordan,JO,Al ‘Āşimah,minor,,
40,Irḩāb,32.323407,36.09087,Jordan,JO,Al Mafraq,minor,,
41,Ḩawshā,32.451440000000005,36.099031,Jordan,JO,Al Mafraq,minor,,
42,Al Khālidīyah,32.178996999999995,36.303256,Jordan,JO,Al Mafraq,minor,,
43,Muthallath Jāmi‘at Āl al Bayt,32.345919,36.233521,Jordan,JO,Al Mafraq,minor,,
44,Muthallath al Azraq,31.832694,36.814873999999996,Jordan,JO,Az Zarqā’,minor,,
45,Kafr Asad,32.593412,35.713681,Jordan,JO,Irbid,minor,,
46,Al Fuḩayş,32.00468,35.780879999999996,Jordan,JO,Al Balqā’,minor,,
47,Ghawr al Mazra‘ah,31.265859999999996,35.516736,Jordan,JO,Al Karak,minor,,
48,Al Mazār ash Shamālī,32.472284,35.798701,Jordan,JO,Irbid,minor,,
49,Al Mazār al Janūbī,31.067215,35.694857,Jordan,JO,Al Karak,minor,,
50,Umm al Qiţţayn,32.314488,36.628264,Jordan,JO,Al Mafraq,minor,,
51,Dayr ‘Allā,32.195708,35.621613,Jordan,JO,Al Balqā’,minor,,
52,Dayr Abī Sa‘īd,32.498115999999996,35.685204999999996,Jordan,JO,Irbid,minor,,
53,Ar Ramthā,32.558727000000005,36.008163,Jordan,JO,Irbid,minor,,
54,Ash Shawbak,30.521335999999998,35.571355,Jordan,JO,Ma‘ān,minor,,
55,Fuqū‘,31.368051,35.702196,Jordan,JO,Al Karak,minor,,
56,Rujm ash Shāmī al Gharbī,31.836928999999998,36.004917,Jordan,JO,Al ‘Āşimah,minor,,
57,Umm ar Raşāş,31.512246,35.918372,Jordan,JO,Al ‘Āşimah,minor,,
58,Al Qaţrānah,31.250832,36.049316,Jordan,JO,Al Karak,minor,,
59,‘Ayy,31.133709000000003,35.643747,Jordan,JO,Al Karak,minor,,
60,Ash Shūnah ash Shamālīyah,32.620226,35.614509000000005,Jordan,JO,Irbid,minor,,
61,Al Fayşalīyah,31.749086,35.769216,Jordan,JO,Ma’dabā,minor,,
62,Kufrinjah,32.297549,35.702118,Jordan,JO,‘Ajlūn,minor,,
63,Şakhrah,32.370551,35.843270000000004,Jordan,JO,‘Ajlūn,minor,,
64,‘Allān,32.118154,35.743508,Jordan,JO,Al Balqā’,minor,,
65,Ghawr aş Şāfī,31.035921000000002,35.488493,Jordan,JO,Al Karak,minor,,
66,Jarash,32.28082,35.899287,Jordan,JO,Jarash,admin,,
67,Al Ḩusaynīyah,30.595452,35.79701,Jordan,JO,Ma‘ān,minor,,
68,Bīrayn,32.099429,35.957833,Jordan,JO,Az Zarqā’,minor,,
69,Al ‘Abdallī,31.965004999999998,35.908208,Jordan,JO,Al ‘Āşimah,minor,,
70,Manshīyat Banī Ḩasan,32.370659,36.079330999999996,Jordan,JO,Al Mafraq,minor,,
71,Nā‘ūr,31.874354999999998,35.824674,Jordan,JO,Al ‘Āşimah,minor,,
72,Umm al Jimāl,32.328633,36.367876,Jordan,JO,Al Mafraq,minor,,
73,Mā‘īn,31.680015,35.731996,Jordan,JO,Ma’dabā,minor,,
74,Şabḩā,32.326958000000005,36.501587,Jordan,JO,Al Mafraq,minor,,
75,Dayr al Kahf,32.275346,36.839490999999995,Jordan,JO,Al Mafraq,minor,,
76,Sammā ar Rawsān,32.636691,35.827090000000005,Jordan,JO,Irbid,minor,,
77,Umm al Basātīn,31.824752,35.875901,Jordan,JO,Al ‘Āşimah,minor,,
78,Al Ḩusaynīyah,31.026058000000003,35.722943,Jordan,JO,Al Karak,minor,,
79,Al ‘Arīḑ,31.558386,35.657365000000006,Jordan,JO,Ma’dabā,minor,,
80,Burmā,32.2193,35.785065,Jordan,JO,Jarash,minor,,
81,Buşayrā,30.731797999999998,35.609826,Jordan,JO,Aţ Ţafīlah,minor,,
82,Aş Şubayḩī,32.148444,35.705345,Jordan,JO,Al Balqā’,minor,,
83,Wādī as Sīr,31.954502,35.818315000000005,Jordan,JO,Al ‘Āşimah,minor,,
84,Wādī Mūsá,30.320959000000002,35.478949,Jordan,JO,Ma‘ān,minor,,
85,Dhībān,31.498558000000003,35.783896,Jordan,JO,Ma’dabā,minor,,
86,Az̧ Z̧ulayl,32.120796,36.280084,Jordan,JO,Az Zarqā’,minor,,
87,Al Jafr,30.318403000000004,36.177747,Jordan,JO,Ma‘ān,minor,,
88,Ayl,30.205883,35.536265,Jordan,JO,Ma‘ān,minor,,
89,Al ‘Aqabah,29.526702,35.007822,Jordan,JO,Al ‘Aqabah,admin,,
