,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Tokyo,35.685,139.751389,Japan,JP,Tōkyō,primary,35676000.0,8336599.0
1,Ōsaka,34.683333000000005,135.51666699999998,Japan,JP,Ōsaka,admin,11294000.0,2592413.0
2,Yokohama,35.433333000000005,139.65,Japan,JP,Kanagawa,admin,3697894.0,3697894.0
3,Nagoya,35.183333000000005,136.9,Japan,JP,Aichi,admin,3230000.0,2191279.0
4,Fukuoka,33.6,130.416667,Japan,JP,Fukuoka,admin,2792000.0,1392289.0
5,Sapporo,43.066666999999995,141.35,Japan,JP,Hokkaidō,admin,2544000.0,1861786.0
6,Sendai,38.266667,140.866667,Japan,JP,Miyagi,admin,2250000.0,1037562.0
7,Hiroshima,34.4,132.45,Japan,JP,Hiroshima,admin,2045000.0,1143841.0
8,Kyōto,35.016667,135.75,Japan,JP,Kyōto,admin,1805000.0,1459640.0
9,Kōbe,34.683333000000005,135.183333,Japan,JP,Hyōgo,admin,1528478.0,1528478.0
10,Shinkawasaki,35.550193,139.67032700000001,Japan,JP,Kanagawa,,1437266.0,1306785.0
11,Hamamatsu,34.7,137.73333300000002,Japan,JP,Shizuoka,,977023.0,797462.0
12,Zahana,26.166667,127.66666699999999,Japan,JP,Okinawa,,905238.0,317906.0
13,Okayama,34.65,133.933333,Japan,JP,Okayama,admin,866092.0,639652.0
14,Kumamoto,32.783333,130.73333300000002,Japan,JP,Kumamoto,admin,718232.0,680423.0
15,Shizuoka,34.983333,138.383333,Japan,JP,Shizuoka,admin,701561.0,671332.0
16,Utsunomiya,36.566666999999995,139.883333,Japan,JP,Tochigi,admin,667752.0,449865.0
17,Nagano,36.65,138.183333,Japan,JP,Nagano,admin,594311.0,360176.0
18,Hachiōji,35.655833,139.32388899999998,Japan,JP,Tōkyō,,579399.0,579399.0
19,Niigata,37.9,139.0,Japan,JP,Niigata,admin,569797.0,505272.0
20,Kagoshima,31.566667,130.55,Japan,JP,Kagoshima,admin,555352.0,516833.0
21,Kanazawa,36.6,136.616667,Japan,JP,Ishikawa,admin,551249.0,458937.0
22,Ōtsu,35.0,135.866667,Japan,JP,Shiga,admin,536976.0,338629.0
23,Mitsuhama,33.85,132.716667,Japan,JP,Ehime,,533541.0,516637.0
24,Tsu,34.733333,136.51666699999998,Japan,JP,Mie,admin,500000.0,284969.0
25,Ōita,33.233333,131.6,Japan,JP,Ōita,admin,448907.0,375294.0
26,Tokushima,34.066666999999995,134.566667,Japan,JP,Tokushima,admin,443760.0,267345.0
27,Wakayama,34.233333,135.166667,Japan,JP,Wakayama,admin,440006.0,351000.0
28,Nagasaki,32.75,129.883333,Japan,JP,Nagasaki,admin,435455.0,410204.0
29,Gifu,35.433333000000005,136.783333,Japan,JP,Gifu,admin,412895.0,397714.0
30,Iwaki,37.05,140.883333,Japan,JP,Fukushima,,357309.0,292045.0
31,Asahikawa,43.767778,142.370278,Japan,JP,Hokkaidō,,356612.0,325547.0
32,Mito,36.35,140.45,Japan,JP,Ibaraki,admin,353892.0,246538.0
33,Maebashi,36.4,139.083333,Japan,JP,Gunma,admin,344871.0,282711.0
34,Kawagoe,35.908611,139.485278,Japan,JP,Saitama,,337931.0,337931.0
35,Kōchi,33.55,133.533333,Japan,JP,Kōchi,admin,335570.0,310620.0
36,Takamatsu,34.333333,134.05,Japan,JP,Kagawa,admin,334223.0,325500.0
37,Toyama,36.7,137.216667,Japan,JP,Toyama,admin,332812.0,325532.0
38,Miyazaki,31.916666999999997,131.416667,Japan,JP,Miyazaki,admin,324384.0,311203.0
39,Akita,39.716667,140.1,Japan,JP,Akita,admin,320069.0,281856.0
40,Hakodate,41.775833,140.73666699999998,Japan,JP,Hokkaidō,,302984.0,275730.0
41,Aomori,40.816666999999995,140.73333300000002,Japan,JP,Aomori,admin,298394.0,264749.0
42,Morioka,39.7,141.15,Japan,JP,Iwate,admin,295172.0,294393.0
43,Fukushima,37.75,140.466667,Japan,JP,Fukushima,admin,294237.0,263686.0
44,Yamagata,38.233333,140.366667,Japan,JP,Yamagata,admin,272209.0,254538.0
45,Fuku,36.04803,136.18868600000002,Japan,JP,Fukui,,248707.0,233870.0
46,Shinkai,33.956834,130.984615,Japan,JP,Fukuoka,,245786.0,226611.0
47,Ashino,43.015176000000004,144.39725900000002,Japan,JP,Hokkaidō,,198566.0,183612.0
48,Kōfu,35.666667,138.566667,Japan,JP,Yamanashi,admin,197540.0,190000.0
49,Kure,34.23222,132.566583,Japan,JP,Hiroshima,,196991.0,196624.0
50,Hiraokamachi,40.609460999999996,140.453279,Japan,JP,Aomori,,174972.0,168429.0
51,Takaoka,36.75,137.01666699999998,Japan,JP,Toyama,,170077.0,78797.0
52,Matsue,35.483333,133.05,Japan,JP,Shimane,admin,156811.0,144243.0
53,Muroran,42.317221999999994,140.988056,Japan,JP,Hokkaidō,,155676.0,96197.0
54,Tottori,35.5,134.23333300000002,Japan,JP,Tottori,admin,154098.0,131173.0
55,Otaru,43.189444,141.002222,Japan,JP,Hokkaidō,,143792.0,134729.0
56,Kitami,43.803056,143.89083300000001,Japan,JP,Hokkaidō,,113137.0,94806.0
57,Sakata,38.916667,139.855,Japan,JP,Yamagata,,100446.0,72569.0
58,Tsuruoka,38.721667,139.821667,Japan,JP,Yamagata,,99820.0,76285.0
59,Naka-maizuru,35.466667,135.366667,Japan,JP,Kyōto,,92465.0,32598.0
60,Kasano,31.390992999999998,130.903752,Japan,JP,Kagoshima,,82335.0,54692.0
61,Onagawa Chō,38.444912,141.432692,Japan,JP,Miyagi,minor,,
62,Matsuyama,33.833333,132.76666699999998,Japan,JP,Ehime,admin,,
63,Inuotose,40.601757,141.326615,Japan,JP,Aomori,minor,,
64,Saitama,35.9,139.65,Japan,JP,Saitama,admin,,
65,Hirado,33.368533,129.552469,Japan,JP,Nagasaki,minor,,
66,Naha,26.216666999999998,127.683333,Japan,JP,Okinawa,admin,,
67,Kozakai-chō,34.8,137.35888899999998,Japan,JP,Aichi,minor,,
68,Nara,34.683333000000005,135.833333,Japan,JP,Nara,admin,,
69,Furudate,40.529338,141.305532,Japan,JP,Aomori,minor,,
70,Fukui,36.066666999999995,136.216667,Japan,JP,Fukui,admin,,
71,Uchimaru,40.514368,141.492673,Japan,JP,Aomori,minor,,
72,Saga,33.233333,130.3,Japan,JP,Saga,admin,,
73,Yawatahama-shi,33.463056,132.423334,Japan,JP,Ehime,minor,,
74,Yamaguchi,34.183333000000005,131.466667,Japan,JP,Yamaguchi,admin,,
75,Chiba,35.6,140.116667,Japan,JP,Chiba,admin,,
76,Ikata-chō,33.488334,132.354167,Japan,JP,Ehime,minor,,
