,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Bishkek,42.873056,74.600278,Kyrgyzstan,KG,Bishkek,primary,837000.0,804212.0
1,Osh,40.515062,72.80826400000001,Kyrgyzstan,KG,Osh,admin,391277.0,200000.0
2,Jalal-Abad,40.933333000000005,73.0,Kyrgyzstan,KG,Jalal-Abad,admin,248899.0,75700.0
3,Tokmok,42.841939,75.301487,Kyrgyzstan,KG,Chüy,,112860.0,63047.0
4,Kara-Balta,42.814231,73.84813,Kyrgyzstan,KG,Chüy,minor,74133.0,62796.0
5,Karakol,42.490677000000005,78.393619,Kyrgyzstan,KG,Ysyk-Köl,admin,70171.0,56652.0
6,Naryn,41.42866,75.991106,Kyrgyzstan,KG,Naryn,admin,52300.0,35707.0
7,Balykchy,42.460167,76.187089,Kyrgyzstan,KG,Ysyk-Köl,,40527.0,40000.0
8,Talas,42.522766,72.242745,Kyrgyzstan,KG,Talas,admin,35172.0,22120.0
9,Toktogul,41.87079,72.94019499999999,Kyrgyzstan,KG,Jalal-Abad,minor,26115.0,19336.0
10,Tash-Kömür,41.346121000000004,72.217075,Kyrgyzstan,KG,Jalal-Abad,,23594.0,16355.0
11,Cholpon-Ata,42.649443,77.082252,Kyrgyzstan,KG,Ysyk-Köl,minor,18595.0,9578.0
12,At-Bashy,41.170171,75.810575,Kyrgyzstan,KG,Naryn,minor,15601.0,15226.0
13,Kök-Janggak,41.03026,73.19613299999999,Kyrgyzstan,KG,Jalal-Abad,,15000.0,14046.0
14,Uch-Korgon,40.228814,72.059235,Kyrgyzstan,KG,Batken,minor,,
15,Ormosh,39.945910999999995,71.260865,Kyrgyzstan,KG,Batken,minor,,
16,Kara-Dzhygach,40.122088,72.092715,Kyrgyzstan,KG,Batken,minor,,
17,Kazarman,41.404519,74.028283,Kyrgyzstan,KG,Jalal-Abad,minor,,
18,Baetov,41.266683,74.956983,Kyrgyzstan,KG,Naryn,minor,,
19,Üch-Terek,41.762186,73.200293,Kyrgyzstan,KG,Jalal-Abad,minor,,
20,Kochkor,42.215516,75.75659,Kyrgyzstan,KG,Naryn,minor,,
21,Toguz-Bulak,39.843307,69.713548,Kyrgyzstan,KG,Batken,minor,,
22,Chaek,41.927684,74.51699,Kyrgyzstan,KG,Naryn,minor,,
23,Ala-Buka,41.410501000000004,71.48628199999999,Kyrgyzstan,KG,Jalal-Abad,minor,,
24,Suzak,40.898205,72.904815,Kyrgyzstan,KG,Jalal-Abad,minor,,
25,Ak-Suu,39.898769,69.37160300000001,Kyrgyzstan,KG,Batken,minor,,
26,Kara-Döbö,40.244284,72.044751,Kyrgyzstan,KG,Batken,minor,,
27,Lebedinovka,42.884536,74.67819399999999,Kyrgyzstan,KG,Chüy,minor,,
28,Boz-Adyr,39.998601,71.07337700000001,Kyrgyzstan,KG,Batken,minor,,
29,Bazar-Korgon,41.037597,72.74586,Kyrgyzstan,KG,Jalal-Abad,minor,,
30,Markaz,40.240190999999996,71.89983199999999,Kyrgyzstan,KG,Batken,minor,,
31,Chüy,42.819734000000004,75.28233399999999,Kyrgyzstan,KG,Chüy,minor,,
