,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Seoul,37.5985,126.9783,"Korea, South",KR,Seoul,primary,9796000.0,9796000.0
1,Busan,35.102778,129.040278,"Korea, South",KR,Busan,admin,3480000.0,3480000.0
2,Incheon,37.453610999999995,126.73166699999999,"Korea, South",KR,Incheon,admin,2550000.0,2550000.0
3,Daegu,35.870278000000006,128.591111,"Korea, South",KR,Daegu,admin,2460000.0,2460000.0
4,Yejŏng,36.333333,127.38333300000001,"Korea, South",KR,Daejeon,,1468000.0,1448330.0
5,Gwangju,35.154722,126.91555600000001,"Korea, South",KR,Gwangju,admin,1440000.0,1416938.0
6,Kumasan,35.2,128.583333,"Korea, South",KR,Gyeongnam,,1081499.0,1081499.0
7,Suwŏn,37.291111,127.008889,"Korea, South",KR,Gyeonggi,,1078000.0,1078000.0
8,Ulsan,35.537222,129.316667,"Korea, South",KR,Ulsan,admin,1061000.0,962865.0
9,Song-mal,37.418611,127.132778,"Korea, South",KR,Gyeonggi,,942000.0,1031935.0
10,Goyang,37.656389000000004,126.835,"Korea, South",KR,Gyeonggi,minor,903000.0,903000.0
11,Bucheon,37.498889,126.783056,"Korea, South",KR,Gyeonggi,minor,866000.0,866000.0
12,Cheongju,36.635346000000006,127.46781000000001,"Korea, South",KR,Chungbuk,admin,775096.0,663745.0
13,Ansan,37.323611,126.82194399999999,"Korea, South",KR,Gyeonggi,,739493.0,650728.0
14,Jeonju,35.821945,127.14888899999998,"Korea, South",KR,Jeonbuk,admin,711424.0,648473.0
15,Pohang,36.029168,129.364812,"Korea, South",KR,Gyeongbuk,minor,435266.0,435266.0
16,Jeju,33.509722,126.52194399999999,"Korea, South",KR,Jeju,admin,408364.0,314152.0
17,Yŏsu,34.744167,127.737778,"Korea, South",KR,Jeonnam,,341994.0,262290.0
18,Iksan,35.943889,126.954444,"Korea, South",KR,Jeonbuk,,283501.0,239589.0
19,Tŏkho,34.764444,126.388056,"Korea, South",KR,Jeonnam,,268402.0,260018.0
20,Kunsan,35.978611,126.71138899999998,"Korea, South",KR,Jeonbuk,,244080.0,243406.0
21,Wŏnju,37.351389000000005,127.945278,"Korea, South",KR,Gangwon,,243387.0,238409.0
22,Sinchon,37.887254,127.70371100000001,"Korea, South",KR,Gangwon,,226509.0,209746.0
23,Kangnŭng,37.755556,128.89611100000002,"Korea, South",KR,Gangwon,,180611.0,166983.0
24,Kyŏngju,35.842778,129.211667,"Korea, South",KR,Gyeongbuk,,155237.0,142468.0
25,Andong,36.566355,128.722745,"Korea, South",KR,Gyeongbuk,minor,129319.0,118522.0
26,Seongcheon,38.226777,128.546196,"Korea, South",KR,Gangwon,,85430.0,85430.0
27,Eumseong,36.935278000000004,127.689722,"Korea, South",KR,Chungbuk,,10077.0,10077.0
28,Oepo,34.940362,128.716654,"Korea, South",KR,Gyeongnam,minor,,
29,Onam,37.698335,127.205785,"Korea, South",KR,Gyeonggi,minor,,
30,Chuncheon,37.874722,127.734167,"Korea, South",KR,Gangwon,admin,,
31,Gampo,35.805376,129.50109799999998,"Korea, South",KR,Gyeongbuk,minor,,
32,Gijang,35.244167,129.213889,"Korea, South",KR,Busan,minor,,
33,Haean,38.286344,128.13773799999998,"Korea, South",KR,Gangwon,minor,,
34,Songhae,37.7636,126.465774,"Korea, South",KR,Gyeonggi,minor,,
35,Sokcho,38.207009,128.591812,"Korea, South",KR,Gangwon,minor,,
36,Hyeonpung,35.695572999999996,128.446076,"Korea, South",KR,Daegu,minor,,
37,Cheorwon,38.209167,127.2175,"Korea, South",KR,Gangwon,minor,,
38,Hongcheon,37.692557,127.887307,"Korea, South",KR,Gangwon,minor,,
39,Guryongpo,35.989945,129.553774,"Korea, South",KR,Gyeongbuk,minor,,
40,Yeonsan,36.213758,127.20003899999999,"Korea, South",KR,Chungnam,minor,,
41,Sinseo,38.185615000000006,127.10819,"Korea, South",KR,Gyeonggi,minor,,
42,Dongmyeon,38.201347,128.043266,"Korea, South",KR,Gangwon,minor,,
43,Yeongdeok,36.41366,129.369996,"Korea, South",KR,Gyeongbuk,minor,,
44,Ganghwa,37.747222,126.485556,"Korea, South",KR,Incheon,minor,,
45,Wolgot,37.716456,126.55428899999998,"Korea, South",KR,Gyeonggi,minor,,
46,Su-dong,37.703532,127.3258,"Korea, South",KR,Gyeonggi,minor,,
47,Haseong,37.719529,126.63106599999999,"Korea, South",KR,Gyeonggi,minor,,
48,Daejeon,36.321389,127.419722,"Korea, South",KR,Daejeon,admin,,
49,Hajeom,37.774190999999995,126.412264,"Korea, South",KR,Incheon,minor,,
50,Bangsan,38.2088,127.95027900000001,"Korea, South",KR,Gangwon,minor,,
51,Yangsan,35.341995000000004,129.03358300000002,"Korea, South",KR,Gyeongnam,minor,,
52,Toseong,38.256793,128.559684,"Korea, South",KR,Gangwon,minor,,
53,Jangheung,37.717271999999994,126.94121799999999,"Korea, South",KR,Gyeonggi,minor,,
54,Naju,35.029196999999996,126.7175,"Korea, South",KR,Jeonnam,minor,,
55,Hwasun,35.061253,126.987458,"Korea, South",KR,Jeonnam,minor,,
56,Gwangtan,37.78055,126.850043,"Korea, South",KR,Gyeonggi,minor,,
57,Gyodong,37.782715,126.281167,"Korea, South",KR,Incheon,minor,,
58,Cheongpyeong,37.7355,127.4174,"Korea, South",KR,Gyeonggi,minor,,
59,Jangseong,35.297778,126.784444,"Korea, South",KR,Jeonnam,minor,,
60,Singwang,36.129107,129.263602,"Korea, South",KR,Gyeongbuk,minor,,
61,Yecheon,36.657404,128.45514,"Korea, South",KR,Gyeongbuk,minor,,
62,Damyang,35.318889,126.98388899999999,"Korea, South",KR,Jeonnam,minor,,
63,Yangsa,37.79872,126.40799799999999,"Korea, South",KR,Incheon,minor,,
64,Samsan,37.703062,126.32136399999999,"Korea, South",KR,Incheon,minor,,
65,Hwacheon,38.10705,127.706321,"Korea, South",KR,Gangwon,minor,,
