,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Vientiane,17.966667,102.6,Laos,LA,Viangchan,primary,754000.0,570348.0
1,Louangphabang,19.886006,102.135029,Laos,LA,Louangphabang,admin,107142.0,47378.0
2,Pakxé,15.120220999999999,105.798979,Laos,LA,Champasak,admin,102775.0,88332.0
3,Savannakhét,16.565045,104.75273299999999,Laos,LA,Savannakhét,admin,84898.0,66553.0
4,Thakhèk,17.397272,104.810188,Laos,LA,Khammouan,admin,76928.0,26200.0
5,Xam Nua,20.415915,104.048381,Laos,LA,Houaphan,admin,38992.0,38992.0
6,Xaignabouli,19.257564000000002,101.710323,Laos,LA,Xaignabouli,admin,16200.0,16200.0
7,Champasak,14.892036,105.877873,Laos,LA,Champasak,,12994.0,12994.0
8,Ban Houaynon,20.310576,100.387816,Laos,LA,Bokèo,,6347.0,6347.0
9,Phôngsali,21.683722,102.105357,Laos,LA,Phôngsali,admin,6000.0,6000.0
10,Salavan,15.716524,106.417441,Laos,LA,Salavan,,5521.0,5521.0
11,Xiangkhoang,19.333333,103.366667,Laos,LA,Xiangkhouang,,5189.0,5189.0
12,Attapu,14.810707,106.831841,Laos,LA,Attapu,admin,4297.0,4297.0
13,Louang Namtha,20.948598,101.401882,Laos,LA,Louangnamtha,admin,3225.0,3225.0
14,Muang Khamkeut,18.225720000000003,104.73119399999999,Laos,LA,Bolikhamxai,minor,,
15,Ban Houayxay,20.276517000000002,100.413023,Laos,LA,Bokèo,admin,,
16,Muang Xai,20.692277999999998,101.984721,Laos,LA,Oudômxai,admin,,
17,Muang Hinboun,17.591001000000002,104.60387800000001,Laos,LA,Khammouan,minor,,
18,Muang Sanakham,17.910062,101.673484,Laos,LA,Viangchan,minor,,
19,Không,14.117922,105.84869099999999,Laos,LA,Champasak,minor,,
20,Muang Long,20.965042,100.820738,Laos,LA,Louangnamtha,minor,,
21,Borikhan,18.562856,103.72670600000001,Laos,LA,Bolikhamxai,minor,,
22,Xaisomboun,18.89829,103.093007,Laos,LA,Xaisômboun,minor,,
23,Ban Namnga,21.171933,102.725616,Laos,LA,Phôngsali,minor,,
24,Muang Nalè,20.532124,101.44678,Laos,LA,Louangnamtha,minor,,
25,Ban Xiang-Ngeun,19.758589,102.182321,Laos,LA,Louangphabang,minor,,
26,Lamam,15.417051,106.69461000000001,Laos,LA,Xékong,admin,,
27,Muang Pakxan,18.382614,103.658574,Laos,LA,Bolikhamxai,admin,,
28,Muang Kènthao,17.732893,101.398152,Laos,LA,Xaignabouli,minor,,
29,Muang Kasi,19.229256,102.25319,Laos,LA,Viangchan,minor,,
30,Phônthong,15.101157,105.654164,Laos,LA,Champasak,minor,,
31,Muang Phônsavan,19.45,103.216667,Laos,LA,Xiangkhouang,admin,,
32,Muang Phôn-Hông,18.495654000000002,102.414214,Laos,LA,Viangchan,admin,,
33,Muang Phin,16.533987,106.02401,Laos,LA,Savannakhét,minor,,
34,Khoa,21.078335,102.506085,Laos,LA,Phôngsali,minor,,
35,Ban Pakla,20.869397,102.11153,Laos,LA,Oudômxai,minor,,
36,Muang Sing,21.192065,101.147888,Laos,LA,Louangnamtha,minor,,
37,Muang Mok,18.909972,104.006261,Laos,LA,Xiangkhouang,minor,,
38,Pakxong,15.181536999999999,106.230382,Laos,LA,Champasak,minor,,
39,Pakkading,18.324587,103.99377700000001,Laos,LA,Bolikhamxai,minor,,
40,Ban Fangdèng,14.813203,106.93433999999999,Laos,LA,Attapu,minor,,
41,Ban Hatgnao,14.680302,106.582122,Laos,LA,Attapu,minor,,
42,Ban Dônghén,16.70297,105.282109,Laos,LA,Savannakhét,minor,,
43,Viangxai,20.406775,104.223788,Laos,LA,Houaphan,minor,,
