,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Vilnius,54.683333,25.316667000000002,Lithuania,LT,Vilniaus Miestas,primary,542366.0,507029.0
1,Kaunas,54.902716000000005,23.909613,Lithuania,LT,Kauno Miestas,admin,374643.0,353046.0
2,Klaipėda,55.70888000000001,21.143121,Lithuania,LT,Klaipėdos Miestas,admin,192307.0,190361.0
3,Vijoliai,55.954889,23.282076,Lithuania,LT,,,133528.0,130587.0
4,Paežerys I,55.759514,24.409858,Lithuania,LT,Panevėžys,,127405.0,117395.0
5,Šalčininkai,54.308638,25.386766,Lithuania,LT,Šalčininkai,admin,,
6,Skuodas,56.270571999999994,21.532076999999997,Lithuania,LT,Skuodas,admin,,
7,Telšiai,55.98306899999999,22.234348,Lithuania,LT,Telšiai,admin,,
8,Panevėžys,55.73186,24.359828,Lithuania,LT,Panevėžio Miestas,admin,,
9,Ignalina,55.340628,26.160488,Lithuania,LT,Ignalina,admin,,
10,Palanga,55.920313,21.071014,Lithuania,LT,Palangos Miestas,admin,,
11,Širvintos,55.043999,24.954462,Lithuania,LT,Širvintos,admin,,
12,Visaginas,55.596775,26.439842,Lithuania,LT,Visaginas,admin,,
13,Varėna,54.215463,24.57538,Lithuania,LT,Varėna,admin,,
14,Rietavas,55.727081999999996,21.923428,Lithuania,LT,Rietavo,admin,,
15,Raseiniai,55.379732,23.123857,Lithuania,LT,Raseiniai,admin,,
16,Rokiškis,55.958668,25.594662,Lithuania,LT,Rokiškis,admin,,
17,Šiauliai,55.933333,23.316667000000002,Lithuania,LT,Šiaulių Miestas,admin,,
18,Kazlų Rūda,54.749666000000005,23.495020999999998,Lithuania,LT,Kazlų Rūdos,admin,,
19,Mažeikiai,56.312215,22.326508999999998,Lithuania,LT,Mažeikiai,admin,,
20,Kelmė,55.630085,22.934897,Lithuania,LT,Kelmė,admin,,
21,Joniškis,56.239394,23.615407,Lithuania,LT,Joniškis,admin,,
22,Biržai,56.198588,24.75208,Lithuania,LT,Biržai,admin,,
23,Birštonas,54.604822999999996,24.031141,Lithuania,LT,Birštono,admin,,
24,Marijampolė,54.559913,23.35412,Lithuania,LT,Marijampolė,admin,,
25,Kupiškis,55.840149,24.980331,Lithuania,LT,Kupiškis,admin,,
26,Radviliškis,55.81114399999999,23.541142999999998,Lithuania,LT,Radviliškis,admin,,
27,Kretinga,55.888804,21.244482,Lithuania,LT,Kretinga,admin,,
28,Jurbarkas,55.075561,22.764165,Lithuania,LT,Jurbarkas,admin,,
29,Tauragė,55.252221999999996,22.289722,Lithuania,LT,Tauragė,admin,,
30,Kalvarija,54.417193999999995,23.228296,Lithuania,LT,Kalvarijos,admin,,
31,Pagėgiai,55.137935,21.913782,Lithuania,LT,Pagégiai,admin,,
32,Prienai,54.636002000000005,23.945849,Lithuania,LT,Prienai,admin,,
33,Švenčionys,55.132959,26.159531,Lithuania,LT,Švenčionys,admin,,
34,Zarasai,55.732246999999994,26.251151,Lithuania,LT,Zarasai,admin,,
35,Pasvalys,56.062507,24.399654,Lithuania,LT,Pasvalys,admin,,
36,Lazdijai,54.233263,23.514661,Lithuania,LT,Lazdijai,admin,,
37,Plungė,55.907743,21.845554,Lithuania,LT,Plungė,admin,,
38,Kėdainiai,55.287820999999994,23.972748,Lithuania,LT,Kėdainiai,admin,,
39,Šilutė,55.34533100000001,21.473328,Lithuania,LT,Šilutė,admin,,
40,Druskininkai,54.015728,23.987028,Lithuania,LT,Druskininkai,admin,,
41,Nida,55.3086,20.996513,Lithuania,LT,Neringa,admin,,
42,Jonava,55.080139,24.275436,Lithuania,LT,Jonava,admin,,
43,Anykščiai,55.524558,25.106609,Lithuania,LT,Anykščiai,admin,,
44,Šilalė,55.489801,22.186925,Lithuania,LT,Šilalė,admin,,
45,Kaišiadorys,54.86528199999999,24.468154000000002,Lithuania,LT,Kaišiadorys,admin,,
46,Elektrėnai,54.786345,24.662601000000002,Lithuania,LT,Elektrénai,admin,,
47,Molėtai,55.22469399999999,25.416883,Lithuania,LT,Molėtai,admin,,
48,Pakruojis,55.978891000000004,23.855079999999997,Lithuania,LT,Pakruojis,admin,,
49,Utena,55.497642000000006,25.599184,Lithuania,LT,Utena,admin,,
50,Alytus,54.396354,24.041416,Lithuania,LT,Alytaus Miestas,admin,,
51,Šakiai,54.953386,23.047789,Lithuania,LT,Šakiai,admin,,
52,Akmenė,56.25,22.75,Lithuania,LT,Akmenė,admin,,
53,Trakai,54.639938,24.935993,Lithuania,LT,Trakai,admin,,
54,Vilkaviškis,54.648019,23.030463,Lithuania,LT,Vilkaviškis,admin,,
55,Ukmergė,55.249396,24.763645,Lithuania,LT,Ukmergė,admin,,
