,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Luxembourg,49.611667,6.13,Luxembourg,LU,Luxembourg,primary,107260.0,76684.0
1,Diekirch,49.867778,6.155833,Luxembourg,LU,Diekirch,admin,6242.0,6242.0
2,Grevenmacher,49.674721999999996,6.441944,Luxembourg,LU,Grevenmacher,admin,3958.0,3958.0
3,Dippach,49.588333,5.983333,Luxembourg,LU,Capellen,minor,,
4,Differdange,49.524167,5.891389,Luxembourg,LU,Esch-sur-Alzette,minor,,
5,Pétange,49.558333000000005,5.8805559999999995,Luxembourg,LU,Esch-sur-Alzette,minor,,
6,Vichten,49.803056,6.0,Luxembourg,LU,Redange,minor,,
7,Gœsdorf,49.921667,5.968333,Luxembourg,LU,Wiltz,minor,,
8,Useldange,49.769721999999994,5.982222,Luxembourg,LU,Redange,minor,,
9,Vianden,49.935,6.208889,Luxembourg,LU,Vianden,admin,,
10,Wormeldange,49.608333,6.405833,Luxembourg,LU,Grevenmacher,minor,,
11,Waldbillig,49.788889000000005,6.286667,Luxembourg,LU,Echternach,minor,,
12,Mondorf-les-Bains,49.505,6.281111,Luxembourg,LU,Remich,minor,,
13,Mondercange,49.533056,5.988333,Luxembourg,LU,Esch-sur-Alzette,minor,,
14,Sanem,49.548056,5.928889,Luxembourg,LU,Esch-sur-Alzette,minor,,
15,Sandweiler,49.613333000000004,6.218889,Luxembourg,LU,Luxembourg,minor,,
16,Boulaide,49.887778000000004,5.816389,Luxembourg,LU,Wiltz,minor,,
17,Lintgen,49.715833,6.133611,Luxembourg,LU,Mersch,minor,,
18,Leudelange,49.568333,6.065278,Luxembourg,LU,Esch-sur-Alzette,minor,,
19,Lenningen,49.598611,6.368056,Luxembourg,LU,Remich,minor,,
20,Bascharage,49.5675,5.910278,Luxembourg,LU,Capellen,minor,,
21,Colmar-Berg,49.811702000000004,6.093225,Luxembourg,LU,Mersch,minor,,
22,Capellen,49.645,5.990833,Luxembourg,LU,Capellen,admin,,
23,Manternach,49.702778,6.426389,Luxembourg,LU,Grevenmacher,minor,,
24,Remich,49.545,6.366944,Luxembourg,LU,Remich,admin,,
25,Reisdorf,49.868611,6.267778,Luxembourg,LU,Diekirch,minor,,
26,Redange-sur-Attert,49.765556,5.890833,Luxembourg,LU,Redange,admin,,
27,Kopstal,49.664444,6.073055999999999,Luxembourg,LU,Capellen,minor,,
28,Walferdange,49.658333,6.137222,Luxembourg,LU,Luxembourg,minor,,
29,Waldbredimus,49.555,6.2875,Luxembourg,LU,Remich,minor,,
30,Flaxweiler,49.661667,6.343611,Luxembourg,LU,Grevenmacher,minor,,
31,Fischbach,49.739722,6.187222,Luxembourg,LU,Mersch,minor,,
32,Bissen,49.7875,6.069444,Luxembourg,LU,Mersch,minor,,
33,Biwer,49.702778,6.374722,Luxembourg,LU,Grevenmacher,minor,,
34,Wilwerwiltz,49.988889,5.999167,Luxembourg,LU,Wiltz,minor,,
35,Schuttrange,49.620556,6.268611,Luxembourg,LU,Luxembourg,minor,,
36,Winseler,49.967778,5.8902779999999995,Luxembourg,LU,Wiltz,minor,,
37,Wincrange,50.053333,5.919167,Luxembourg,LU,Clervaux,minor,,
38,Frisange,49.515,6.191667,Luxembourg,LU,Esch-sur-Alzette,minor,,
39,Rumelange,49.460833,6.033056,Luxembourg,LU,Esch-sur-Alzette,minor,,
40,Rosport,49.797778,6.504167,Luxembourg,LU,Echternach,minor,,
41,Hesperange,49.568056,6.151389,Luxembourg,LU,Luxembourg,minor,,
42,Berdorf,49.813611,6.350278,Luxembourg,LU,Echternach,minor,,
43,Dalheim,49.540833,6.259722,Luxembourg,LU,Remich,minor,,
44,Bavigne,49.921944,5.849444,Luxembourg,LU,Wiltz,minor,,
45,Stadtbredimus,49.562778,6.364444000000001,Luxembourg,LU,Remich,minor,,
46,Septfontaines,49.701111,5.9672220000000005,Luxembourg,LU,Capellen,minor,,
47,Ell,49.763889,5.857222,Luxembourg,LU,Redange,minor,,
48,Medernach,49.801944,6.218333,Luxembourg,LU,Diekirch,minor,,
49,Putscheid,49.960833,6.143056,Luxembourg,LU,Vianden,minor,,
50,Rambrouch,49.830833,5.845,Luxembourg,LU,Redange,minor,,
51,Reckange-sur-Mess,49.5625,6.008889,Luxembourg,LU,Esch-sur-Alzette,minor,,
52,Grosbous,49.827778,5.9672220000000005,Luxembourg,LU,Redange,minor,,
53,Larochette,49.776944,6.2211110000000005,Luxembourg,LU,Mersch,minor,,
54,Wiltz,49.968889000000004,5.9319440000000005,Luxembourg,LU,Wiltz,admin,,
55,Erpeldange,49.864722,6.114722,Luxembourg,LU,Diekirch,minor,,
56,Esch-sur-Alzette,49.495833000000005,5.980556,Luxembourg,LU,Esch-sur-Alzette,admin,,
57,Esch-sur-Sûre,49.911389,5.936389,Luxembourg,LU,Wiltz,minor,,
58,Schieren,49.830556,6.098611,Luxembourg,LU,Diekirch,minor,,
59,Boevange-sur-Attert,49.775278,6.015556,Luxembourg,LU,Mersch,minor,,
60,Beaufort,49.835833,6.2916669999999995,Luxembourg,LU,Echternach,minor,,
61,Bech,49.746111,6.363611,Luxembourg,LU,Echternach,minor,,
62,Schengen,49.47,6.362,Luxembourg,LU,Remich,minor,,
63,Echternach,49.805556,6.4222220000000005,Luxembourg,LU,Echternach,admin,,
64,Saeul,49.727222,5.986389,Luxembourg,LU,Redange,minor,,
65,Niederanven,49.6475,6.26,Luxembourg,LU,Luxembourg,minor,,
66,Roeser,49.542221999999995,6.15,Luxembourg,LU,Esch-sur-Alzette,minor,,
67,Lorentzweiler,49.694722,6.1425,Luxembourg,LU,Mersch,minor,,
68,Bertrange,49.611111,6.05,Luxembourg,LU,Luxembourg,minor,,
69,Hobscheid,49.688611,5.914722,Luxembourg,LU,Capellen,minor,,
70,Kayl,49.489167,6.039722,Luxembourg,LU,Esch-sur-Alzette,minor,,
71,Kehlen,49.668333000000004,6.035833,Luxembourg,LU,Capellen,minor,,
72,Garnich,49.616667,5.9525,Luxembourg,LU,Capellen,minor,,
73,Consdorf,49.773056,6.338333,Luxembourg,LU,Echternach,minor,,
74,Contern,49.581944,6.226667,Luxembourg,LU,Luxembourg,minor,,
75,Heffingen,49.7625,6.241389,Luxembourg,LU,Mersch,minor,,
