,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Riga,56.95,24.1,Latvia,LV,Rīga,primary,742572.0,705033.0
1,Daugavpils,55.88333299999999,26.533333000000002,Latvia,LV,Daugavpils Novads,admin,111564.0,108375.0
2,Liepāja,56.516667000000005,21.016667,Latvia,LV,Liepāja,admin,85132.0,82807.0
3,Jelgava,56.65,23.712778,Latvia,LV,Jelgavas Novads,admin,67207.0,61791.0
4,Ventspils,57.389881,21.572878,Latvia,LV,Ventspils,admin,42884.0,42644.0
5,Rēzekne,56.5,27.316667,Latvia,LV,Rēzeknes Novads,admin,38340.0,38098.0
6,Inčukalns,57.09805600000001,24.686389000000002,Latvia,LV,Inčukalna Novads,admin,,
7,Ķekava,56.829443999999995,24.237222,Latvia,LV,Ķekavas Novads,admin,,
8,Valka,57.766667000000005,26.0,Latvia,LV,Valkas Novads,admin,,
9,Loja,57.15444399999999,24.644444,Latvia,LV,Sējas Novads,admin,,
10,Mārupe,56.903209,24.046678,Latvia,LV,Mārupes Novads,admin,,
11,Drabeši,57.233332999999995,25.283333,Latvia,LV,Amatas Novads,admin,,
12,Iecava,56.598611,24.202222,Latvia,LV,Iecavas Novads,admin,,
13,Salacgrīva,57.753611,24.358056,Latvia,LV,Salacgrīvas Novads,admin,,
14,Ķegums,56.744167000000004,24.715833,Latvia,LV,Ķeguma Novads,admin,,
15,Sigulda,57.15194399999999,24.864722,Latvia,LV,Siguldas Novads,admin,,
16,Jaunpils,56.7325,23.013610999999997,Latvia,LV,Jaunpils Novads,admin,,
17,Alsunga,56.980106000000006,21.564009,Latvia,LV,Alsungas Novads,admin,,
18,Tērvete,56.478056,23.386667000000003,Latvia,LV,Tērvetes Novads,admin,,
19,Talsi,57.246508999999996,22.587578,Latvia,LV,Talsu Novads,admin,,
20,Cesvaine,56.966667,26.316667,Latvia,LV,Cesvaines Novads,admin,,
21,Cēsis,57.3,25.25,Latvia,LV,Cēsu Novads,admin,,
22,Kocēni,57.516667000000005,25.333333,Latvia,LV,Kocēnu Novads,admin,,
23,Koknese,56.65,25.433332999999998,Latvia,LV,Kokneses Novads,admin,,
24,Dundaga,57.50498,22.350407999999998,Latvia,LV,Dundagas Novads,admin,,
25,Priekuļi,57.316667,25.366667,Latvia,LV,Priekuļu Novads,admin,,
26,Roja,57.501463,22.808806,Latvia,LV,Rojas Novads,admin,,
27,Rauna,57.333332999999996,25.616667,Latvia,LV,Raunas Novads,admin,,
28,Aloja,57.766943999999995,24.8825,Latvia,LV,Alojas Novads,admin,,
29,Rucava,56.166667000000004,21.15,Latvia,LV,Rucavas Novads,admin,,
30,Lielvārde,56.7225,24.805,Latvia,LV,Lielvārdes Novads,admin,,
31,Murmuiža,57.483332999999995,25.483333,Latvia,LV,Beverīnas Novads,admin,,
32,Vecvārkava,56.19838000000001,26.508107,Latvia,LV,Vārkavas Novads,admin,,
33,Bauska,56.407945,24.194428,Latvia,LV,Bauskas Novads,admin,,
34,Ērgļi,56.9,25.633333,Latvia,LV,Ērgļu Novads,admin,,
35,Varakļāni,56.61666700000001,26.733333000000002,Latvia,LV,Varakļānu Novads,admin,,
36,Ulbroka,56.936296999999996,24.303873,Latvia,LV,Stopiņu Novads,admin,,
37,Mazsalaca,57.86666700000001,25.05,Latvia,LV,Mazsalacas Novads,admin,,
38,Lubāna,56.9,26.716666999999998,Latvia,LV,Lubānas Novads,admin,,
39,Ikšķile,56.833332999999996,24.5,Latvia,LV,Ikšķiles Novads,admin,,
40,Ragana,57.181667000000004,24.714444,Latvia,LV,Krimuldas Novads,admin,,
41,Jaunjelgava,56.613186999999996,25.083160999999997,Latvia,LV,Jaunjelgavas Novads,admin,,
42,Ludza,56.539584,27.718911,Latvia,LV,Ludzas Novads,admin,,
43,Viļāni,56.55,26.95,Latvia,LV,Viļānu Novads,admin,,
44,Grobiņa,56.55,21.166667,Latvia,LV,Grobiņas Novads,admin,,
45,Rūjiena,57.9,25.316667000000002,Latvia,LV,Rūjienas Novads,admin,,
46,Alūksne,57.421622,27.046621999999996,Latvia,LV,Alūksnes Novads,admin,,
47,Aglona,56.13333299999999,27.016666999999998,Latvia,LV,Aglonas Novads,admin,,
48,Burtnieki,57.7,25.266667,Latvia,LV,Burtnieku Novads,admin,,
49,Pāvilosta,56.889772,21.181737,Latvia,LV,Pāvilostas Novads,admin,,
50,Kārsava,56.78736899999999,27.673208000000002,Latvia,LV,Kārsavas Novads,admin,,
51,Jūrmala,56.956685,23.723328,Latvia,LV,Jūrmala,admin,,
52,Dagda,56.096132999999995,27.532773,Latvia,LV,Dagdas Novads,admin,,
53,Stalbe,57.36666700000001,25.05,Latvia,LV,Pārgaujas Novads,admin,,
54,Smārde,56.953326000000004,23.33865,Latvia,LV,Engures Novads,admin,,
55,Mērsrags,57.336412,23.123466,Latvia,LV,Mērsraga Novads,admin,,
56,Līvāni,56.36666700000001,26.183332999999998,Latvia,LV,Līvānu Novads,admin,,
57,Vecpiebalga,57.016667000000005,25.833333,Latvia,LV,Vecpiebalgas Novads,admin,,
58,Jaunpiebalga,57.183333,26.05,Latvia,LV,Jaunpiebalgas Novads,admin,,
59,Saldus,56.666667000000004,22.5,Latvia,LV,Saldus Novads,admin,,
60,Limbaži,57.510278,24.714167,Latvia,LV,Limbažu Novads,admin,,
61,Baltinava,56.943936,27.644011,Latvia,LV,Baltinavas Novads,admin,,
62,Preiļi,56.293981,26.724785999999998,Latvia,LV,Preiļu Novads,admin,,
63,Aizkraukle,56.602731999999996,25.263842,Latvia,LV,Aizkraukles Novads,admin,,
64,Gulbene,57.183333,26.75,Latvia,LV,Gulbenes Novads,admin,,
65,Cibla,56.5498,27.883699,Latvia,LV,Ciblas Novads,admin,,
66,Rugāji,57.0,27.133333,Latvia,LV,Rugāju Novads,admin,,
67,Smiltene,57.433333,25.9,Latvia,LV,Smiltenes Novads,admin,,
68,Riebiņi,56.333332999999996,26.8,Latvia,LV,Riebiņu Novads,admin,,
69,Aizpute,56.716667,21.6,Latvia,LV,Aizputes Novads,admin,,
70,Tukums,56.96694399999999,23.155278,Latvia,LV,Tukuma Novads,admin,,
71,Baldone,56.742778,24.394444,Latvia,LV,Baldones Novads,admin,,
72,Viesīte,56.35,25.55,Latvia,LV,Viesītes Novads,admin,,
73,Garkalne,57.044858999999995,24.419507,Latvia,LV,Garkalnes Novads,admin,,
74,Lieģi,56.583332999999996,21.333333,Latvia,LV,Durbes Novads,admin,,
75,Balvi,57.13333299999999,27.25,Latvia,LV,Balvu Novads,admin,,
76,Madona,56.85,26.216666999999998,Latvia,LV,Madonas Novads,admin,,
77,Zilupe,56.38600699999999,28.121781,Latvia,LV,Zilupes Novads,admin,,
78,Kuldīga,56.968986,21.968037,Latvia,LV,Kuldīgas Novads,admin,,
79,Strenči,57.625688000000004,25.68185,Latvia,LV,Strenču Novads,admin,,
80,Sala,56.516667000000005,25.766667,Latvia,LV,Salas Novads,admin,,
81,Olaine,56.785278000000005,23.938056,Latvia,LV,Olaines Novads,admin,,
82,Aknīste,56.166667000000004,25.75,Latvia,LV,Aknīstes Novads,admin,,
83,Nīca,56.35,21.066667000000002,Latvia,LV,Nīcas Novads,admin,,
84,Jēkabpils,56.483332999999995,25.85,Latvia,LV,Jēkabpils Novads,admin,,
85,Auce,56.466667,22.883333,Latvia,LV,Auces Novads,admin,,
86,Viļaka,57.184298999999996,27.671861,Latvia,LV,Viļakas Novads,admin,,
87,Vaiņode,56.433333,21.866667,Latvia,LV,Vaiņodes Novads,admin,,
88,Mālpils,57.011111,24.963055999999998,Latvia,LV,Mālpils Novads,admin,,
89,Ogre,56.816667,24.6,Latvia,LV,Ogres Novads,admin,,
90,Ilūkste,55.977854,26.297769,Latvia,LV,Ilūkstes Novads,admin,,
91,Kandava,57.038943999999994,22.772354,Latvia,LV,Kandavas Novads,admin,,
92,Ozolnieki,56.686389,23.787778,Latvia,LV,Ozolnieku Novads,admin,,
93,Carnikava,57.129346,24.284233,Latvia,LV,Carnikavas Novads,admin,,
94,Krāslava,55.896882,27.171999,Latvia,LV,Krāslavas Novads,admin,,
95,Valmiera,57.55,25.4,Latvia,LV,Valmiera,admin,,
96,Ādaži,57.07045,24.337126,Latvia,LV,Ādažu Novads,admin,,
97,Naukšēni,57.88333299999999,25.45,Latvia,LV,Naukšēnu Novads,admin,,
98,Pilsrundāle,56.416667000000004,24.0,Latvia,LV,Rundāles Novads,admin,,
99,Dobele,56.625,23.278610999999998,Latvia,LV,Dobeles Novads,admin,,
100,Ape,57.533333,26.666666999999997,Latvia,LV,Apes Novads,admin,,
101,Salaspils,56.861111,24.349444000000002,Latvia,LV,Salaspils Novads,admin,,
102,Ropaži,56.973889,24.633611,Latvia,LV,Ropažu Novads,admin,,
103,Brocēni,56.7,22.533333,Latvia,LV,Brocēnu Novads,admin,,
104,Skrīveri,56.65,25.133333,Latvia,LV,Skrīveru Novads,admin,,
105,Skrunda,56.683333,22.016667,Latvia,LV,Skrundas Novads,admin,,
106,Priekule,56.433333,21.583333,Latvia,LV,Priekules Novads,admin,,
107,Saulkrasti,57.259893999999996,24.418873,Latvia,LV,Saulkrastu Novads,admin,,
108,Līgatne,57.233332999999995,25.05,Latvia,LV,Līgatnes Novads,admin,,
109,Pļaviņas,56.61666700000001,25.716667,Latvia,LV,Pļaviņu Novads,admin,,
110,Nereta,56.204428,25.307656,Latvia,LV,Neretas Novads,admin,,
111,Vecumnieki,56.606389,24.522222,Latvia,LV,Vecumnieku Novads,admin,,
112,Piņķi,56.941891000000005,23.913654,Latvia,LV,Babītes Novads,admin,,
