,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Tripoli,32.8925,13.18,Libya,LY,Ţarābulus,primary,2189000.0,229398.0
1,Benghazi,32.117664000000005,20.129275,Libya,LY,Banghāzī,admin,1180000.0,582374.0
2,Mişrātah,32.375352,15.092543,Libya,LY,Mişrātah,admin,386120.0,216200.0
3,Tobruk,32.083611,23.976389,Libya,LY,Al Buţnān,admin,263527.0,121052.0
4,Al Khums,32.648613,14.261909,Libya,LY,Al Marqab,admin,201943.0,183061.0
5,Ḩārat az Zāwiyah,32.763056,12.715,Libya,LY,,,200000.0,186123.0
6,Zuwārah,32.931203000000004,12.081992,Libya,LY,An Nuqāţ al Khams,admin,180310.0,67386.0
7,Al Marj,32.487976,20.831744,Libya,LY,Al Marj,admin,169540.0,85315.0
8,Gharyān,32.172222,13.020278,Libya,LY,Al Jabal al Gharbī,admin,146810.0,85219.0
9,Ajdābiyā,30.755453999999997,20.226255,Libya,LY,Al Wāḩāt,admin,143833.0,134358.0
10,Surt,31.208924,16.588661,Libya,LY,Surt,admin,128123.0,93390.0
11,Darnah,32.767041,22.636685999999997,Libya,LY,Darnah,admin,127974.0,78782.0
12,Sabhā,27.037662,14.428325,Libya,LY,Sabhā,admin,100249.0,100249.0
13,Nālūt,31.868479999999998,10.981202,Libya,LY,Nālūt,admin,66609.0,66228.0
14,Banī Walīd,31.756619,13.994219000000001,Libya,LY,,,65392.0,46350.0
15,Murzuq,25.904444,13.897222,Libya,LY,Murzuq,admin,55071.0,43732.0
16,Birāk,27.549558,14.271385,Libya,LY,,,45421.0,39444.0
17,Shaḩḩāt,32.830386,21.85005,Libya,LY,,,45000.0,43376.0
18,Mizdah,31.445138,12.980131,Libya,LY,,,26107.0,6652.0
19,Ghāt,24.964722000000002,10.172778,Libya,LY,Ghāt,admin,24347.0,19665.0
20,Al Jawf,24.182206,23.282771,Libya,LY,,,24132.0,24132.0
21,Hūn,29.126839,15.947721,Libya,LY,Al Jufrah,admin,18878.0,15826.0
22,Ghadāmis,30.133661,9.500722999999999,Libya,LY,,,6623.0,6623.0
23,Awjilah,29.108056,21.286944000000002,Libya,LY,,,6610.0,6610.0
24,Qamīnis,31.660278,20.015556,Libya,LY,,,5348.0,5348.0
25,Marādah,29.233333000000002,19.216667,Libya,LY,,,2500.0,2229.0
26,Al Jaghbūb,29.742382,24.517734,Libya,LY,,,1744.0,1744.0
27,Tajarhī,24.37,14.470832999999999,Libya,LY,,,1500.0,1496.0
28,Dirj,30.165020000000002,10.458036,Libya,LY,,,931.0,931.0
29,Tmassah,26.394827000000003,15.784775,Libya,LY,,,500.0,200.0
30,Umm al Aḩrār,27.516666999999998,15.0,Libya,LY,,,300.0,298.0
31,Zillah,28.544453000000004,17.556462,Libya,LY,,,10.0,10.0
32,Idrī,27.5,13.266667000000002,Libya,LY,Wādī ash Shāţi’,admin,,
33,Al Bayḑā’,32.762723,21.755063,Libya,LY,Al Jabal al Akhḑar,admin,,
34,Az Zāwīyah,32.757102,12.727639,Libya,LY,Az Zāwiyah,admin,,
35,Al ‘Azīzīyah,32.531944,13.0175,Libya,LY,Al Jafārah,admin,,
36,Awbārī,26.592058,12.780488,Libya,LY,,admin,,
37,Al Kufrah,24.166667,23.269617999999998,Libya,LY,Al Kufrah,admin,,
