,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Chisinau,47.005556,28.8575,Moldova,MD,Chişinău,primary,688134.0,635994.0
1,Tiraspol,46.842744,29.629085999999997,Moldova,MD,Stînga Nistrului,admin,157000.0,117194.0
2,Bălţi,47.763138,27.929316999999998,Moldova,MD,Bălţi,admin,151355.0,118690.0
3,Cahul,45.904246,28.199294000000002,Moldova,MD,Cahul,admin,63407.0,34492.0
4,Dubăsari,47.265621,29.16667,Moldova,MD,Stînga Nistrului,,23254.0,23254.0
5,Taraclia,45.902735,28.668159000000003,Moldova,MD,Taraclia,admin,,
6,Ştefan Vodă,46.512869,29.661934000000002,Moldova,MD,Ştefan-Vodă,admin,,
7,Donduşeni,48.239416,27.605551000000002,Moldova,MD,Donduşeni,admin,,
8,Bender,46.831559999999996,29.477694,Moldova,MD,Bender,admin,,
9,Edineţ,48.172149,27.30337,Moldova,MD,Edineţ,admin,,
10,Straşeni,47.142161,28.607734999999998,Moldova,MD,Străşeni,admin,,
11,Drochia,48.035546000000004,27.812934999999996,Moldova,MD,Drochia,admin,,
12,Basarabeasca,46.331701,28.963646,Moldova,MD,Basarabeasca,admin,,
13,Ialoveni,46.943464,28.782328000000003,Moldova,MD,Ialoveni,admin,,
14,Cocieri,47.308721000000006,29.110106,Moldova,MD,Dubăsari,admin,,
15,Rîşcani,47.947925,27.563759,Moldova,MD,Rîşcani,admin,,
16,Teleneşti,47.5011,28.36536,Moldova,MD,Teleneşti,admin,,
17,Floreşti,47.891372,28.293122999999998,Moldova,MD,Floreşti,admin,,
18,Rezina,47.749284,28.965826,Moldova,MD,Rezina,admin,,
19,Briceni,48.362891999999995,27.077875,Moldova,MD,Briceni,admin,,
20,Şoldăneşti,47.816084000000004,28.797182,Moldova,MD,Şoldăneşti,admin,,
21,Orhei,47.384935999999996,28.824457000000002,Moldova,MD,Orhei,admin,,
22,Făleşti,47.576668,27.712644,Moldova,MD,Făleşti,admin,,
23,Ocniţa,48.382740000000005,27.438051,Moldova,MD,Ocniţa,admin,,
24,Leova,46.482295,28.253014,Moldova,MD,Leova,admin,,
25,Cantemir,46.277428,28.202703000000003,Moldova,MD,Cantemir,admin,,
26,Sîngerei,47.636321,28.142962,Moldova,MD,Sîngerei,admin,,
27,Anenii Noi,46.878387,29.234831,Moldova,MD,Anenii Noi,admin,,
28,Căuşeni,46.636744,29.411141999999998,Moldova,MD,Căuşeni,admin,,
29,Comrat,46.294554999999995,28.656501000000002,Moldova,MD,Găgăuzia,admin,,
30,Criuleni,47.213069,29.159258,Moldova,MD,Criuleni,admin,,
31,Cimişlia,46.526847,28.764414000000002,Moldova,MD,Cimişlia,admin,,
