,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Potkrajnica,42.451667,19.303611,Montenegro,ME,,,145850.0,136473.0
1,Petnjica,42.908889,19.964444,Montenegro,ME,Petnjica,admin,,
2,Ulcinj,41.928333,19.206389,Montenegro,ME,Ulcinj,admin,,
3,Budva,42.286389,18.84,Montenegro,ME,Budva,admin,,
4,Nikšić,42.775,18.958333,Montenegro,ME,Nikšić,admin,,
5,Danilovgrad,42.547222,19.105278,Montenegro,ME,Danilovgrad,admin,,
6,Tivat,42.436389,18.696111,Montenegro,ME,Tivat,admin,,
7,Rožaje,42.843889000000004,20.168332999999997,Montenegro,ME,Rožaje,admin,,
8,Golubovci,42.335,19.231111,Montenegro,ME,,minor,,
9,Plav,42.596944,19.945556,Montenegro,ME,Plav,admin,,
10,Plužine,43.152778000000005,18.839444,Montenegro,ME,Plužine,admin,,
11,Bar,42.093056,19.100278,Montenegro,ME,Bar,admin,,
12,Podgorica,42.441111,19.263610999999997,Montenegro,ME,Podgorica,primary,,
13,Mojkovac,42.963889,19.5825,Montenegro,ME,Mojkovac,admin,,
14,Žabljak,43.154722,19.121944,Montenegro,ME,Žabljak,admin,,
15,Herceg-Novi,42.453056,18.5375,Montenegro,ME,Herceg Novi,admin,,
16,Šavnik,42.956389,19.096667,Montenegro,ME,Šavnik,admin,,
17,Cetinje,42.392222,18.9225,Montenegro,ME,Cetinje,admin,,
18,Tuzi,42.365556,19.331389,Montenegro,ME,,minor,,
19,Andrijevica,42.733889000000005,19.791944,Montenegro,ME,Andrijevica,admin,,
20,Kolašin,42.824166999999996,19.5225,Montenegro,ME,Kolašin,admin,,
21,Berane,42.8425,19.873333,Montenegro,ME,Berane,admin,,
22,Kotor,42.425833000000004,18.771944,Montenegro,ME,Kotor,admin,,
23,Bijelo Polje,43.029167,19.745556,Montenegro,ME,Bijelo Polje,admin,,
24,Gusinje,42.561944,19.833889000000003,Montenegro,ME,Gusinje,admin,,
25,Pljevlja,43.352222,19.354167,Montenegro,ME,Pljevlja,admin,,
