,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Ampamantanana,-18.933332999999998,47.533333,Madagascar,MG,Antananarivo,,1697000.0,1391433.0
1,Antsirabe,-19.866965,47.039352,Madagascar,MG,Antananarivo,minor,307921.0,307921.0
2,Toamasina,-18.151349,49.408139,Madagascar,MG,Toamasina,admin,210226.0,206373.0
3,Fianarantsoa,-21.447807,47.088401,Madagascar,MG,Fianarantsoa,admin,184184.0,167227.0
4,Mahajanga,-15.713935000000001,46.315858,Madagascar,MG,Mahajanga,admin,154657.0,135660.0
5,Toliara,-23.352798,43.669973999999996,Madagascar,MG,Toliara,admin,115319.0,97237.0
6,Anjiamena,-12.255447,49.344482,Madagascar,MG,Antsiranana,,82937.0,69687.0
7,Antanananivo,-14.85,50.266667,Madagascar,MG,Antsiranana,,47224.0,34112.0
8,Sambava,-14.257774,50.160413,Madagascar,MG,Antsiranana,minor,43465.0,31522.0
9,Ambatondrazaka,-17.828716,48.426606,Madagascar,MG,Toamasina,minor,43134.0,40552.0
10,Maroantsetra,-15.43355,49.742796000000006,Madagascar,MG,Toamasina,,38046.0,23859.0
11,Morondava,-20.291025,44.278811,Madagascar,MG,Toliara,minor,36803.0,3234.0
12,Marosakoa,-16.088866,46.668403000000005,Madagascar,MG,Mahajanga,,31253.0,1773.0
13,Ambanja,-13.673252,48.453549,Madagascar,MG,Antsiranana,,30621.0,21842.0
14,Mananjary,-21.227134,48.349866999999996,Madagascar,MG,Fianarantsoa,,27686.0,11996.0
15,Farafangana,-22.817985999999998,47.828790000000005,Madagascar,MG,Fianarantsoa,minor,24764.0,5221.0
16,Andoany,-13.40445,48.27431,Madagascar,MG,Antsiranana,,22680.0,18391.0
17,Antsohihy,-14.879678,47.987505,Madagascar,MG,Mahajanga,minor,21290.0,9227.0
18,Miandrivazo,-19.523929000000003,45.457347,Madagascar,MG,Toliara,,20631.0,3156.0
19,Ihosy,-22.403794,46.127178,Madagascar,MG,Fianarantsoa,minor,16990.0,10814.0
20,Tôlan̈aro,-25.032010999999997,46.989688,Madagascar,MG,Toliara,minor,16818.0,16818.0
21,Morombe,-21.743721,43.359629999999996,Madagascar,MG,Toliara,,16727.0,16727.0
22,Mandritsara,-15.843407000000001,48.825769,Madagascar,MG,Mahajanga,,9705.0,9705.0
23,Maintirano,-18.059884,44.02426,Madagascar,MG,Mahajanga,minor,5925.0,5925.0
24,Bekily,-24.221911,45.319928999999995,Madagascar,MG,Toliara,,4286.0,4286.0
25,Manja,-21.434955,44.332511,Madagascar,MG,Toliara,,1536.0,1536.0
26,Besalampy,-16.746312,44.490243,Madagascar,MG,Mahajanga,,1022.0,1022.0
27,Androka,-25.026730999999998,44.076515,Madagascar,MG,Toliara,,174.0,174.0
28,Ambositra,-20.529354,47.242484999999995,Madagascar,MG,Fianarantsoa,minor,,
29,Antsiran̈ana,-12.284195,49.291253000000005,Madagascar,MG,Antsiranana,admin,,
30,Tsiroanomandidy,-18.769314,46.049316,Madagascar,MG,Antananarivo,minor,,
31,Ambovombe,-25.175406,46.088153000000005,Madagascar,MG,Toliara,minor,,
32,Manakara,-22.145531,48.007967,Madagascar,MG,Fianarantsoa,minor,,
33,Miarinarivo,-18.957167000000002,46.906385,Madagascar,MG,Antananarivo,minor,,
34,Maevatanana,-16.946991,46.829153000000005,Madagascar,MG,Mahajanga,minor,,
35,Antananarivo,-18.916667,47.516667,Madagascar,MG,Antananarivo,primary,,
36,Fenoarivo Atsinanana,-17.381885,49.409045,Madagascar,MG,Toamasina,minor,,
