,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Bamako,12.65,-8.0,Mali,ML,Bamako,primary,1494000.0,1297281.0
1,Sikasso,11.3135,-5.6697,Mali,ML,Sikasso,admin,225753.0,144786.0
2,Ségou,13.4317,-6.2157,Mali,ML,Ségou,admin,122952.0,92552.0
3,Gao,16.271667,-0.044722000000000005,Mali,ML,Gao,admin,116967.0,57978.0
4,Mopti,14.489094,-4.192826999999999,Mali,ML,Mopti,admin,108456.0,78083.0
5,Koutiala,12.391726,-5.464208999999999,Mali,ML,Sikasso,minor,104927.0,99353.0
6,Kayes,14.446933,-11.444478,Mali,ML,Kayes,admin,77207.0,77207.0
7,Timbuktu,16.770456,-3.005588,Mali,ML,Tombouctou,admin,68872.0,68872.0
8,Kati,12.744092,-8.072574000000001,Mali,ML,Koulikoro,minor,66895.0,42922.0
9,Markala,13.7021,-6.0659,Mali,ML,Ségou,,53738.0,38585.0
10,Kita,13.0349,-9.4895,Mali,ML,Kayes,minor,46435.0,5769.0
11,San,13.303346,-4.895615,Mali,ML,Ségou,minor,41386.0,24811.0
12,Bougouni,11.421145,-7.485092,Mali,ML,Sikasso,minor,35450.0,25644.0
13,Djenné,13.9045,-4.5599,Mali,ML,Mopti,minor,32944.0,22382.0
14,Banamba,13.547732,-7.448078999999999,Mali,ML,Koulikoro,minor,30591.0,6033.0
15,Bourèm Guindou,16.908889000000002,-0.356667,Mali,ML,Gao,,30000.0,27486.0
16,Bafoulabé,13.8065,-10.8321,Mali,ML,Kayes,minor,26823.0,26823.0
17,Koulikoro,12.862734,-7.559849000000001,Mali,ML,Koulikoro,admin,23919.0,2898.0
18,Nara,15.168751,-7.284660000000001,Mali,ML,Koulikoro,minor,18459.0,18459.0
19,Kangaba,11.933333,-8.416667,Mali,ML,Koulikoro,minor,17232.0,17232.0
20,Ménaka,15.9182,2.4022,Mali,ML,Gao,minor,9110.0,9110.0
21,Aguelhok,19.461389,0.8588889999999999,Mali,ML,Kidal,,9000.0,8080.0
22,Goundam,16.41453,-3.670749,Mali,ML,Tombouctou,minor,8456.0,3979.0
23,Tessalit,20.201257000000002,1.011863,Mali,ML,Kidal,minor,6000.0,5739.0
24,Sokolo,14.7328,-6.1219,Mali,ML,Ségou,,4374.0,4128.0
25,Araouane,18.904760999999997,-3.5264919999999997,Mali,ML,Tombouctou,,4026.0,4026.0
26,Taoudenni,22.674432999999997,-3.978908,Mali,ML,Tombouctou,,3019.0,3019.0
27,Yélimané,15.118684,-10.577291,Mali,ML,Kayes,minor,988.0,988.0
28,Satadougou,12.614488,-11.417805,Mali,ML,Kayes,,706.0,706.0
29,Kadiolo,10.55,-5.766667,Mali,ML,Sikasso,minor,,
30,Youwarou,15.3684,-4.2628,Mali,ML,Mopti,minor,,
31,Bourem,16.955,-0.348611,Mali,ML,Gao,minor,,
32,Barouéli,13.077,-6.8312,Mali,ML,Ségou,minor,,
33,Koro,14.063998000000002,-3.075387,Mali,ML,Mopti,minor,,
34,Kolondiéba,11.089433,-6.892905000000001,Mali,ML,Sikasso,minor,,
35,Bankass,14.077498,-3.515944,Mali,ML,Mopti,minor,,
36,Bla,12.950069000000001,-5.7602400000000005,Mali,ML,Ségou,minor,,
37,Niono,14.2526,-5.992999999999999,Mali,ML,Ségou,minor,,
38,Abeïbara,19.116667,1.75,Mali,ML,Kidal,minor,,
39,Ténenkou,14.457216,-4.916894999999999,Mali,ML,Mopti,minor,,
40,Dioila,12.4822,-6.7911,Mali,ML,Koulikoro,minor,,
41,Yorosso,12.358115,-4.776878,Mali,ML,Sikasso,minor,,
42,Tominian,13.287369,-4.593166,Mali,ML,Ségou,minor,,
43,Niafunké,15.9322,-3.9906,Mali,ML,Tombouctou,minor,,
44,Diré,16.257045,-3.4012629999999997,Mali,ML,Tombouctou,minor,,
45,Kéniéba,12.839615,-11.240563,Mali,ML,Kayes,minor,,
46,Kidal,18.441111,1.407778,Mali,ML,Kidal,admin,,
47,Bandiagara,14.347998,-3.6087870000000004,Mali,ML,Mopti,minor,,
48,Kolokani,13.5728,-8.0339,Mali,ML,Koulikoro,minor,,
49,Ké-Macina,13.964101999999999,-5.357914,Mali,ML,Ségou,minor,,
50,Diéma,14.54,-9.1921,Mali,ML,Kayes,minor,,
51,Ansongo,15.6597,0.5022,Mali,ML,Gao,minor,,
52,Nioro,15.229317000000002,-9.592771,Mali,ML,Kayes,minor,,
53,Yanfolila,11.183333,-8.15,Mali,ML,Sikasso,minor,,
54,Douentza,15.001554,-2.949781,Mali,ML,Mopti,minor,,
55,Gourma Rharous,16.877778,-1.923056,Mali,ML,Tombouctou,minor,,
56,Ti-n-Essako,18.450589,2.487949,Mali,ML,Kidal,minor,,
