,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Nyaunggon,16.747275,96.16081899999999,Burma,MM,Yangon,,4088000.0,3301820.0
1,Mandalay,21.969673,96.08738100000001,Burma,MM,Mandalay,admin,1300000.0,1034000.0
2,Nay Pyi Taw,19.745,96.129722,Burma,MM,Nay Pyi Taw,primary,930000.0,194824.0
3,Mawlamyine,16.490514,97.628248,Burma,MM,Mon State,admin,438861.0,361637.0
4,Bago,17.335214,96.481351,Burma,MM,Bago,admin,284318.0,244376.0
5,Myeik,12.439537,98.60028,Burma,MM,Taninthayi,,266720.0,173298.0
6,Pathein,16.779188,94.732123,Burma,MM,Ayeyawady,admin,237089.0,194940.0
7,Monywa,22.108560999999998,95.135834,Burma,MM,Sagaing,,226222.0,182011.0
8,Hinthada,17.649435999999998,95.45705500000001,Burma,MM,Ayeyawady,,180728.0,134947.0
9,Sittwe,20.146241,92.89834599999999,Burma,MM,Rakhine State,admin,179032.0,177743.0
10,Letpandan,17.786642,95.75075600000001,Burma,MM,Bago,,176571.0,38936.0
11,Myingyan,21.460024,95.388403,Burma,MM,Mandalay,,163812.0,141713.0
12,Taunggyi,20.789188,97.037755,Burma,MM,Shan State,admin,160115.0,160115.0
13,Mudon,16.256239,97.724598,Burma,MM,Mon State,,152300.0,89123.0
14,Dawei,14.073749,98.194231,Burma,MM,Taninthayi,admin,146212.0,136783.0
15,Myitkyina,25.386411,97.39439399999999,Burma,MM,Kachin State,admin,139100.0,90894.0
16,Pyay,18.824643,95.22215899999999,Burma,MM,Bago,,135308.0,114359.0
17,Pakokku,21.334885999999997,95.08438100000001,Burma,MM,Magway,,126938.0,123773.0
18,Magway,20.149557,94.932464,Burma,MM,Magway,admin,125973.0,96954.0
19,Yenangyaung,20.465035,94.871196,Burma,MM,Magway,,110553.0,98462.0
20,Taungoo,18.942907,96.434085,Burma,MM,Bago,,106945.0,104236.0
21,Chauk,20.899214,94.817835,Burma,MM,Magway,,90870.0,79163.0
22,Shwebo,22.569253,95.69818000000001,Burma,MM,Sagaing,,88914.0,74603.0
23,Sagaing,21.879351,95.983889,Burma,MM,Sagaing,admin,78739.0,78739.0
24,Pyapon,16.285428,95.67881899999999,Burma,MM,Ayeyawady,,65601.0,60753.0
25,Allanmyo,19.373256,95.213013,Burma,MM,Magway,,57897.0,38996.0
26,Chaungwa,16.722404,96.52950200000001,Burma,MM,Yangon,,52496.0,19489.0
27,Ye,15.246454,97.855058,Burma,MM,Mon State,,50798.0,50798.0
28,Hpa-an,16.889533,97.634823,Burma,MM,Kayin State,admin,50000.0,50000.0
29,Namtu,23.076611,97.40336500000001,Burma,MM,Shan State,,48591.0,48591.0
30,Wakema,16.603332,95.18278199999999,Burma,MM,Ayeyawady,,48405.0,42705.0
31,Pyu,18.481303,96.437415,Burma,MM,Bago,,40386.0,34918.0
32,Nyaungdon,17.04459,95.639573,Burma,MM,Ayeyawady,,36172.0,36172.0
33,Haka,22.644517,93.610762,Burma,MM,Chin State,admin,20000.0,20000.0
34,Loikaw,19.677977,97.209754,Burma,MM,Kayah State,admin,17293.0,17293.0
35,Kyaukpyu,19.427929000000002,93.551338,Burma,MM,Rakhine State,,4261.0,4261.0
36,Labutta,16.14948,94.758978,Burma,MM,Ayeyawady,,1667.0,1667.0
37,Rangoon,16.805278,96.156111,Burma,MM,Yangon,primary,,
