,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Ulaanbaatar,47.916667,106.91666699999999,Mongolia,MN,Ulaanbaatar,primary,885000.0,769612.0
1,Erdenet,49.033333,104.083333,Mongolia,MN,Orhon,admin,79647.0,79647.0
2,Darhan,49.616667,106.35,Mongolia,MN,Selenge,,74738.0,74738.0
3,Ulaangom,49.981111,92.06666700000001,Mongolia,MN,Uvs,admin,35796.0,28085.0
4,Ölgiy,48.968333,89.9625,Mongolia,MN,Bayan-Ölgiy,admin,34934.0,28400.0
5,Choybalsan,48.066666999999995,114.5,Mongolia,MN,Dornod,admin,33376.0,33376.0
6,Arvayheer,46.263889,102.775,Mongolia,MN,Övörhangay,admin,28053.0,28053.0
7,Mörön,49.634167,100.1625,Mongolia,MN,Hövsgöl,admin,27690.0,21527.0
8,Sühbaatar,50.231389,106.207778,Mongolia,MN,Selenge,admin,24235.0,24235.0
9,Tsetserleg,47.475,101.454167,Mongolia,MN,Arhangay,admin,19812.0,16300.0
10,Dzüünharaa,48.866667,106.46666699999999,Mongolia,MN,Selenge,,18830.0,13318.0
11,Dzuunmod,47.783333,106.85,Mongolia,MN,Ulaanbaatar,,17738.0,17738.0
12,Bulgan,48.8125,103.534722,Mongolia,MN,Bulgan,admin,17348.0,17348.0
13,Baruun-Urt,46.680556,113.27916699999999,Mongolia,MN,Sühbaatar,admin,15805.0,15805.0
14,Dalandzadgad,43.570833,104.425,Mongolia,MN,Ömnögovĭ,admin,15093.0,11889.0
15,Öndörhaan,47.319444,110.655556,Mongolia,MN,Hentiy,admin,14723.0,10144.0
16,Uliastay,47.741667,96.844444,Mongolia,MN,Dzavhan,admin,8056.0,8056.0
17,Ulaan-Uul,44.333333,111.233333,Mongolia,MN,Dornogovĭ,minor,3726.0,3726.0
18,Mandal,45.75,106.3,Mongolia,MN,Dundgovĭ,,2984.0,2984.0
19,Hödrögö,48.966667,96.783333,Mongolia,MN,Dzavhan,minor,10.0,10.0
20,Mörön,47.401307,110.12516299999999,Mongolia,MN,Hentiy,minor,,
21,Hungiy,48.5,94.283333,Mongolia,MN,Dzavhan,minor,,
22,Hunt,47.866667,99.466667,Mongolia,MN,Arhangay,minor,,
23,Javhlant,48.75,106.0,Mongolia,MN,Töv,minor,,
24,Javarthushuu,49.15,112.733333,Mongolia,MN,Dornod,minor,,
25,Orhontuul,48.949721999999994,104.97583300000001,Mongolia,MN,Selenge,minor,,
26,Nogoonnuur,49.6,90.233333,Mongolia,MN,Bayan-Ölgiy,minor,,
27,Namir,49.1,91.716667,Mongolia,MN,Uvs,minor,,
