,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Mexico City,19.434167000000002,-99.138611,Mexico,MX,Ciudad de México,primary,19028000.0,10811002.0
1,Guadalajara,20.666823,-103.391824,Mexico,MX,Jalisco,admin,4198000.0,1640589.0
2,Monterrey,25.675065,-100.318465,Mexico,MX,Nuevo León,admin,3712000.0,1122874.0
3,Puebla,19.037926000000002,-98.203457,Mexico,MX,Puebla,admin,2195000.0,1392099.0
4,Tijuana,32.502697999999995,-117.00371399999999,Mexico,MX,Baja California,,1553000.0,1376457.0
5,Toluca,19.287311,-99.644979,Mexico,MX,México,admin,1531000.0,505881.0
6,León de los Aldama,21.129079,-101.673741,Mexico,MX,Guanajuato,minor,1488000.0,1114626.0
7,Ciudad Juárez,31.733333000000002,-106.483333,Mexico,MX,México,,1343000.0,1343000.0
8,Torreon,25.543891000000002,-103.418976,Mexico,MX,Coahuila de Zaragoza,,1144000.0,524066.0
9,Ciudad Nezahualcóyotl,19.400608,-99.014827,Mexico,MX,México,,1109363.0,750000.0
10,San Luis Potosí,22.149825,-100.979161,Mexico,MX,San Luis Potosí,admin,992000.0,677704.0
11,Mérida,20.975368,-89.616959,Mexico,MX,Yucatán,admin,965000.0,717175.0
12,Querétaro,20.600014,-100.399715,Mexico,MX,Querétaro,admin,961000.0,611785.0
13,Mexicali,32.650022,-115.461069,Mexico,MX,Baja California,admin,885000.0,587277.0
14,Aguascalientes,21.88234,-102.282586,Mexico,MX,Aguascalientes,admin,869000.0,658179.0
15,Tampico,22.278170000000003,-97.86771999999999,Mexico,MX,Tamaulipas,,859419.0,297284.0
16,Cuernavaca,18.933725,-99.228488,Mexico,MX,Morelos,admin,834001.0,349102.0
17,Culiacán,24.790325,-107.38781599999999,Mexico,MX,Sinaloa,admin,809000.0,582469.0
18,Chihuahua,28.633333,-106.08333300000001,Mexico,MX,Chihuahua,admin,793000.0,708267.0
19,Saltillo,25.423213,-101.005299,Mexico,MX,Coahuila de Zaragoza,admin,754000.0,604573.0
20,Acapulco de Juárez,16.870236,-99.868452,Mexico,MX,Guerrero,minor,715584.0,652136.0
21,Morelia,19.70179,-101.183962,Mexico,MX,Michoacán de Ocampo,admin,644306.0,592797.0
22,Hermosillo,29.102602,-110.977324,Mexico,MX,Sonora,admin,595811.0,512935.0
23,Veracruz,19.180954,-96.142901,Mexico,MX,Veracruz,,578963.0,568313.0
24,Cancún,21.172361,-86.829546,Mexico,MX,Quintana Roo,,542043.0,436862.0
25,Matamoros,25.869581,-97.50194599999999,Mexico,MX,Tamaulipas,,538785.0,364004.0
26,Oaxaca,17.065417999999998,-96.72364499999999,Mexico,MX,Oaxaca,admin,530728.0,262566.0
27,Tlaxcala,19.319055,-98.19981999999999,Mexico,MX,Tlaxcala,admin,503878.0,89795.0
28,Mazatán,29.005032,-110.137853,Mexico,MX,Sonora,,500000.0,438434.0
29,Reynosa,26.080613,-98.28835,Mexico,MX,Tamaulipas,minor,498654.0,419340.0
30,Durango,24.019419,-104.66069,Mexico,MX,Durango,admin,457140.0,455597.0
31,Xalapa,19.543860000000002,-96.92155,Mexico,MX,Veracruz,admin,452186.0,425148.0
32,Villahermosa,17.986893,-92.930277,Mexico,MX,Tabasco,admin,428564.0,362401.0
33,Gomez Palacio,25.569848999999998,-103.495882,Mexico,MX,Durango,,399328.0,228577.0
34,Celaya,20.523529999999997,-100.8157,Mexico,MX,Guanajuato,,383697.0,305901.0
35,Mazatlán,23.2329,-106.4062,Mexico,MX,Sinaloa,minor,368204.0,354717.0
36,Orizaba,18.851947,-97.099574,Mexico,MX,Veracruz,minor,355333.0,121348.0
37,Nuevo Laredo,27.484634999999997,-99.52210600000001,Mexico,MX,Tamaulipas,,349550.0,160755.0
38,Irapuato,20.676754000000003,-101.35628100000001,Mexico,MX,Guanajuato,minor,339554.0,339554.0
39,Pachuca,20.117362,-98.742915,Mexico,MX,Hidalgo,admin,319581.0,302141.0
40,Tepic,21.509504999999997,-104.89569099999999,Mexico,MX,Nayarit,admin,318781.0,280592.0
41,Ciudad Obregón,27.486421000000004,-109.940826,Mexico,MX,Sonora,,288002.0,258162.0
