,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Maputo,-25.965278,32.589166999999996,Mozambique,MZ,Maputo,primary,1446000,1191613
1,Matola,-25.829167,32.457221999999994,Mozambique,MZ,Maputo,,543907,462829
2,Beira,-19.843611,34.838889,Mozambique,MZ,Sofala,admin,530604,483789
3,Nampula,-15.119722,39.264722,Mozambique,MZ,Nampula,admin,388526,383845
4,Chimoio,-19.116389,33.483333,Mozambique,MZ,Manica,admin,256936,228141
5,Quelimane,-17.878611,36.888333,Mozambique,MZ,Zambézia,admin,188964,169101
6,Tete,-16.156389,33.586667,Mozambique,MZ,Tete,admin,129316,115050
7,Xai-Xai,-25.051944,33.644166999999996,Mozambique,MZ,Gaza,admin,128805,127366
8,Maxixe,-23.859722,35.347221999999995,Mozambique,MZ,Inhambane,,119868,105895
9,Inhambane,-23.865,35.383333,Mozambique,MZ,Inhambane,admin,115776,73884
10,Pemba,-12.960833000000001,40.507778,Mozambique,MZ,Cabo Delgado,admin,110643,108737
11,Lichinga,-13.312778,35.240556,Mozambique,MZ,Niassa,admin,109839,78828
12,Dondo,-19.609444,34.743056,Mozambique,MZ,Sofala,,78648,71787
13,Cuamba,-14.844722,36.606944,Mozambique,MZ,Niassa,,73268,63141
14,Montepuez,-13.125556,38.999722,Mozambique,MZ,Cabo Delgado,,72279,25803
15,Mocuba,-16.840278,38.256944,Mozambique,MZ,Zambézia,,68984,68984
16,Ilha de Moçambique,-15.034167000000002,40.735833,Mozambique,MZ,Nampula,,54315,27086
17,Mocímboa da Praia,-11.345833,40.352222,Mozambique,MZ,Cabo Delgado,,27909,27909
18,R. Macia,-25.0125,33.103333,Mozambique,MZ,Gaza,,23156,3034
19,Marrupa,-13.198889000000001,37.499444,Mozambique,MZ,Niassa,,8762,8762
20,Nicoadala,-17.608056,36.819722,Mozambique,MZ,Zambézia,,6945,6945
21,Manica,-18.933332,32.877127,Mozambique,MZ,Manica,,4000,3427
22,Ligonha,-15.176110999999999,37.74,Mozambique,MZ,Nampula,,3500,3121
23,Quissico,-24.720278,34.7425,Mozambique,MZ,Inhambane,,1210,1210
24,Massangena,-21.537778,32.956389,Mozambique,MZ,Gaza,,650,619
25,Panda,-24.063333,34.730278000000006,Mozambique,MZ,Inhambane,,602,602
26,Chiramba,-16.8925,34.655833,Mozambique,MZ,Manica,,556,556
27,Espungabera,-20.451638,32.769519,Mozambique,MZ,Manica,,393,393
28,Mapai,-22.843056,31.963055999999998,Mozambique,MZ,Gaza,,201,201
29,Vilankulo,-22.0,35.316666999999995,Mozambique,MZ,Inhambane,,177,177
