,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,The Hague,52.083333,4.3,Netherlands,NL,Zuid-Holland,primary,1406000.0,501725.0
1,Amsterdam,52.35,4.9166669999999995,Netherlands,NL,Noord-Holland,primary,1031000.0,741636.0
2,Rotterdam,51.916667,4.5,Netherlands,NL,Zuid-Holland,minor,1005000.0,598199.0
3,Utrecht,52.093813,5.119095,Netherlands,NL,Utrecht,admin,640000.0,316448.0
4,Eindhoven,51.45,5.466667,Netherlands,NL,Noord-Brabant,minor,398053.0,209620.0
5,Haarlemmerliede,52.388873,4.687978,Netherlands,NL,Noord-Holland,,349957.0,147590.0
6,Groningen,53.216667,6.55,Netherlands,NL,Groningen,admin,216688.0,181194.0
7,Arnhem,51.979818,5.925636,Netherlands,NL,Gelderland,admin,141674.0,141674.0
8,’s-Hertogenbosch,51.700196000000005,5.306806,Netherlands,NL,Noord-Brabant,admin,134520.0,134520.0
9,Leeuwarden,53.20139,5.808587999999999,Netherlands,NL,Fryslân,admin,125778.0,91424.0
10,Maastricht,50.85,5.683333,Netherlands,NL,Limburg,admin,122378.0,122378.0
11,Zwolle,52.505751000000004,6.085822,Netherlands,NL,Overijssel,admin,111805.0,111805.0
12,Assen,52.994749,6.563223,Netherlands,NL,Drenthe,admin,62237.0,62237.0
13,Middelburg,51.50036,3.612964,Netherlands,NL,Zeeland,admin,46485.0,46485.0
14,Halfweg,52.383033000000005,4.757441,Netherlands,NL,Noord-Holland,minor,,
15,Franeker,53.1896,5.542568,Netherlands,NL,Fryslân,minor,,
16,Gieten,53.006641,6.764338,Netherlands,NL,Drenthe,minor,,
17,Bergeijk,51.318699,5.359563,Netherlands,NL,Noord-Brabant,minor,,
18,Odijk,52.052239,5.235418,Netherlands,NL,Utrecht,minor,,
19,Grootegast,53.211597999999995,6.2752,Netherlands,NL,Groningen,minor,,
20,Oostzaan,52.446898,4.8713,Netherlands,NL,Noord-Holland,minor,,
21,Bleskensgraaf,51.872001000000004,4.784624,Netherlands,NL,Zuid-Holland,minor,,
22,Haarlem,52.366667,4.65,Netherlands,NL,Noord-Holland,admin,,
23,Lelystad,52.51764,5.4739889999999995,Netherlands,NL,Flevoland,admin,,
24,Valkenswaard,51.352662,5.456101,Netherlands,NL,Noord-Brabant,minor,,
25,Stein,50.968414,5.767249,Netherlands,NL,Limburg,minor,,
26,De Steeg,52.019687,6.060995,Netherlands,NL,Gelderland,minor,,
27,Diever,52.857015000000004,6.318489,Netherlands,NL,Drenthe,minor,,
28,Uithuizen,53.40825,6.670896000000001,Netherlands,NL,Groningen,minor,,
29,Uithoorn,52.241096999999996,4.844754,Netherlands,NL,Noord-Holland,minor,,
30,Bergschenhoek,51.987249,4.515815,Netherlands,NL,Zuid-Holland,minor,,
31,Zundert,51.469444,4.658109,Netherlands,NL,Noord-Brabant,minor,,
32,Nunspeet,52.384479,5.799894,Netherlands,NL,Gelderland,minor,,
33,Nuth,50.917304,5.886024,Netherlands,NL,Limburg,minor,,
34,Opheusden,51.933309,5.634228,Netherlands,NL,Gelderland,minor,,
35,Veenendaal,52.024371,5.559791000000001,Netherlands,NL,Utrecht,minor,,
36,Oost-Vlieland,53.295776000000004,5.0675360000000005,Netherlands,NL,Fryslân,minor,,
37,Middelharnis,51.756017,4.163479,Netherlands,NL,Zuid-Holland,minor,,
38,Almelo,52.359606,6.656797,Netherlands,NL,Overijssel,minor,,
39,Bladel,51.369191,5.218936,Netherlands,NL,Noord-Brabant,minor,,
40,Hulst,51.281099,4.052964,Netherlands,NL,Zeeland,minor,,
41,Zwijndrecht,51.816684,4.61763,Netherlands,NL,Zuid-Holland,minor,,
42,Epe,52.348095,5.984471,Netherlands,NL,Gelderland,minor,,
43,Hardenberg,52.574315000000006,6.622013000000001,Netherlands,NL,Overijssel,minor,,
44,Hengelo,52.267379,6.789658,Netherlands,NL,Overijssel,minor,,
45,Lisse,52.253825,4.547463,Netherlands,NL,Zuid-Holland,minor,,
46,Nuenen,51.466843,5.571992,Netherlands,NL,Noord-Brabant,minor,,
47,Vught,51.655196999999994,5.294188,Netherlands,NL,Noord-Brabant,minor,,
48,Blaricum,52.273551,5.24929,Netherlands,NL,Noord-Holland,minor,,
49,Marum,53.150866,6.265491,Netherlands,NL,Groningen,minor,,
50,Elburg,52.448691000000004,5.833627,Netherlands,NL,Gelderland,minor,,
51,Hoogezand,53.163488,6.769863000000001,Netherlands,NL,Groningen,minor,,
52,Uden,51.663777,5.62398,Netherlands,NL,Noord-Brabant,minor,,
53,Hendrik-Ido-Ambacht,51.836059000000006,4.6533489999999995,Netherlands,NL,Zuid-Holland,minor,,
54,Oud-Beijerland,51.817051,4.417294,Netherlands,NL,Zuid-Holland,minor,,
55,Goor,52.235490000000006,6.585339,Netherlands,NL,Overijssel,minor,,
56,Urk,52.661258999999994,5.594415000000001,Netherlands,NL,Flevoland,minor,,
57,Doorn,52.036875,5.343049,Netherlands,NL,Utrecht,minor,,
58,Denekamp,52.37917,7.00442,Netherlands,NL,Overijssel,minor,,
59,Heerenveen,52.959348999999996,5.918921,Netherlands,NL,Fryslân,minor,,
60,Roermond,51.192695,5.988403,Netherlands,NL,Limburg,minor,,
61,Waalre,51.390482,5.43095,Netherlands,NL,Noord-Brabant,minor,,
62,Ballum,53.444056,5.6875599999999995,Netherlands,NL,Fryslân,minor,,
63,Weert,51.250562,5.717901,Netherlands,NL,Limburg,minor,,
