,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Oslo,59.916667000000004,10.75,Norway,NO,Oslo,primary,835000.0,580000.0
1,Bergen,60.391110999999995,5.324722,Norway,NO,Hordaland,admin,213585.0,187194.0
2,Stavanger,58.966667,5.75,Norway,NO,Rogaland,admin,173132.0,100866.0
3,Trondheim,63.416667000000004,10.416667,Norway,NO,Sør-Trøndelag,admin,147139.0,141533.0
4,Drammen,59.7425,10.211667,Norway,NO,Buskerud,admin,90722.0,80153.0
5,Skyer,59.2,9.683333,Norway,NO,Telemark,,73330.0,73330.0
6,Kristiansand,58.166667000000004,8.0,Norway,NO,Vest-Agder,admin,63814.0,52770.0
7,Tomasjorda,69.666667,19.016667,Norway,NO,Troms,,52436.0,45365.0
8,Ålesund,62.47276,6.15346,Norway,NO,Møre og Romsdal,minor,47772.0,42982.0
9,Sandnes,58.85,5.733333,Norway,NO,Rogaland,minor,46911.0,46911.0
10,Haugesund,59.41194399999999,5.2775,Norway,NO,Rogaland,minor,40321.0,32118.0
11,Tønsberg,59.285833,10.418056,Norway,NO,Vestfold,admin,38914.0,38914.0
12,Moss,59.43666700000001,10.669167,Norway,NO,Østfold,minor,36901.0,34492.0
13,Bodø,67.283333,14.383332999999999,Norway,NO,Nordland,admin,34073.0,28694.0
14,Arendal,58.460278,8.766667,Norway,NO,Aust-Agder,admin,30916.0,30916.0
15,Hamar,60.8,11.1,Norway,NO,Hedmark,admin,29479.0,29479.0
16,Gjøvik,60.8,10.7,Norway,NO,Oppland,minor,22719.0,17596.0
17,Mo i Rana,66.31666700000001,14.166667000000002,Norway,NO,Nordland,minor,20409.0,17853.0
18,Narvik,68.435556,17.437222,Norway,NO,Nordland,minor,20000.0,18473.0
19,Lillehammer,61.13333299999999,10.5,Norway,NO,Oppland,admin,19542.0,19096.0
20,Harstad,68.8025,16.545556,Norway,NO,Troms,minor,19433.0,18973.0
21,Molde,62.733332999999995,7.183333,Norway,NO,Møre og Romsdal,admin,18594.0,13749.0
22,Alta,69.966667,23.241667,Norway,NO,Finnmark,minor,12077.0,12077.0
