,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Panama City,8.966667,-79.533333,Panama,PA,Panamá,primary,1281000.0,408168.0
1,Colón,9.354507,-79.900109,Panama,PA,Colón,admin,204000.0,136976.0
2,David,8.427389,-82.425286,Panama,PA,Chiriquí,admin,110037.0,82859.0
3,Balboa,8.95,-79.56666700000001,Panama,PA,Panamá,,62882.0,62882.0
4,Santiago,8.100366000000001,-80.97216800000001,Panama,PA,Veraguas,admin,45955.0,45355.0
5,Puerto Chitré,7.983333,-80.4,Panama,PA,Herrera,,44082.0,43966.0
6,Penonomé,8.513662,-80.356318,Panama,PA,Coclé,admin,28766.0,12394.0
7,Puerto Armuelles,8.272428,-82.861086,Panama,PA,Chiriquí,minor,27147.0,18795.0
8,Las Tablas,7.764719,-80.27483199999999,Panama,PA,Los Santos,admin,11358.0,8570.0
9,Bocas del Toro,9.336030000000001,-82.240809,Panama,PA,Bocas del Toro,admin,9883.0,3085.0
10,Almirante,9.291456,-82.395624,Panama,PA,Bocas del Toro,minor,8114.0,6771.0
11,La Palma,8.406085000000001,-78.13964200000001,Panama,PA,Darién,admin,1845.0,1845.0
12,Jaqué,7.52035,-78.167884,Panama,PA,Darién,minor,1357.0,553.0
13,El Porvenir,9.555841000000001,-78.945409,Panama,PA,Kuna Yala,admin,10.0,10.0
14,Agua Fría Número Uno,8.858386999999999,-78.197497,Panama,PA,Darién,minor,,
15,Paredón Arriba,8.459767,-81.19591700000001,Panama,PA,Ngöbe-Buglé,minor,,
16,Unión Chocó,8.098938,-77.608532,Panama,PA,Emberá-Wounaan,admin,,
17,La Punta,7.557022,-81.191086,Panama,PA,Veraguas,minor,,
18,San Lorenzo,8.305608,-82.10114399999999,Panama,PA,Chiriquí,minor,,
19,Corozal,8.197819,-77.600373,Panama,PA,Emberá-Wounaan,minor,,
20,Bajos de Güera,7.543603,-80.625051,Panama,PA,Los Santos,minor,,
21,Breñón,8.624905,-82.812766,Panama,PA,Chiriquí,minor,,
22,Cabecera de Cerro Puerco,8.318565,-81.759506,Panama,PA,Ngöbe-Buglé,minor,,
23,El Porvenir,8.229187,-81.832784,Panama,PA,Chiriquí,minor,,
24,Santa Lucia,8.231232,-81.826128,Panama,PA,Chiriquí,minor,,
25,La Chorrera,8.880278,-79.783333,Panama,PA,Panamá Oeste,admin,,
26,Norteño,9.00308,-82.314755,Panama,PA,,minor,,
27,Los Llanitos,8.597869000000001,-80.095025,Panama,PA,Panamá Oeste,minor,,
