,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Lima,-12.05,-77.05,Peru,PE,Lima,primary,8012000.0,6758234.0
1,Callao,-12.056585,-77.118144,Peru,PE,Callao,admin,876877.0,695586.0
2,Arequipa,-16.398889,-71.535,Peru,PE,Arequipa,admin,815000.0,736570.0
3,Trujillo,-8.111944,-79.02555600000001,Peru,PE,La Libertad,admin,765171.0,276921.0
4,Chilape,-6.729547999999999,-79.835302,Peru,PE,Lambayeque,,596792.0,577375.0
5,Iquitos,-3.749125,-73.253828,Peru,PE,Loreto,admin,458729.0,437620.0
6,Huancayo,-12.065133,-75.204861,Peru,PE,Junín,admin,412733.0,376657.0
7,Piura,-5.194491,-80.63282099999999,Peru,PE,Piura,admin,396932.0,325466.0
8,Cusco,-13.522642999999999,-71.967344,Peru,PE,Cusco,admin,361182.0,312140.0
9,Chimbote,-9.067752,-78.591522,Peru,PE,Ancash,,349846.0,316966.0
10,Pucallpa,-8.385512,-74.539073,Peru,PE,Ucayali,admin,310750.0,299084.0
11,Tacna,-18.005556,-70.248333,Peru,PE,Tacna,,280098.0,241987.0
12,Ica,-14.067768,-75.728611,Peru,PE,Ica,admin,279420.0,246844.0
13,Juliaca,-15.489720000000002,-70.130418,Peru,PE,Puno,,245675.0,223181.0
14,Ayacucho,-13.10546,-74.19676899999999,Peru,PE,Ayacucho,,166314.0,140033.0
15,Sullana,-4.900721,-80.68642,Peru,PE,Piura,,160789.0,68204.0
16,Huánuco,-9.930617,-76.242228,Peru,PE,Huánuco,admin,158145.0,147959.0
17,Chincha Alta,-13.412831,-76.129898,Peru,PE,Ica,,153076.0,124140.0
18,Cajamarca,-7.163672,-78.509958,Peru,PE,Cajamarca,admin,142665.0,135000.0
19,Cerro de Pasco,-10.667478,-76.256679,Peru,PE,Pasco,admin,137232.0,78910.0
20,Puno,-15.842201999999999,-70.019899,Peru,PE,Puno,admin,116552.0,106148.0
21,Tumbes,-3.56694,-80.45153,Peru,PE,Tumbes,admin,109223.0,102343.0
22,Talara,-4.577186,-81.269075,Peru,PE,Piura,,99074.0,50447.0
23,Chosica,-11.931596,-76.693444,Peru,PE,Lima,,88606.0,539.0
24,Huaraz,-9.527787,-77.527776,Peru,PE,Ancash,admin,86934.0,63039.0
25,Pisco,-13.707041,-76.200448,Peru,PE,Ica,,81207.0,61869.0
26,Huacho,-11.106667,-77.605,Peru,PE,Lima,,80474.0,54545.0
27,Chulucanas,-5.097238,-80.164861,Peru,PE,Piura,,68835.0,52035.0
28,Puerto Maldonado,-12.59331,-69.189128,Peru,PE,Madre de Dios,admin,67155.0,37543.0
29,Paita,-5.0884849999999995,-81.115501,Peru,PE,Piura,,56151.0,39632.0
30,Abancay,-13.633889000000002,-72.881389,Peru,PE,Apurímac,admin,55111.0,52851.0
31,Moquegua,-17.198321,-70.935668,Peru,PE,Moquegua,admin,54517.0,22703.0
32,Ilo,-17.64013,-71.339476,Peru,PE,Moquegua,,53476.0,52908.0
33,Tingo María,-9.299724000000001,-76.000385,Peru,PE,Huánuco,,53177.0,19100.0
34,Jaén,-5.709079,-78.80748,Peru,PE,Cajamarca,,52493.0,45849.0
35,Tarma,-11.417007,-75.686686,Peru,PE,Junín,,51350.0,462.0
36,Ferreñafe,-6.635261,-79.788127,Peru,PE,Lambayeque,,50184.0,34357.0
37,Mollendo,-17.019568,-72.013625,Peru,PE,Arequipa,,49033.0,28953.0
38,Moyobamba,-6.034159,-76.971678,Peru,PE,San Martín,admin,47734.0,44276.0
39,Huancavelica,-12.782612,-74.972661,Peru,PE,Huancavelica,admin,44388.0,41576.0
40,Hualmay,-11.095836,-77.61389100000001,Peru,PE,Lima,,40400.0,20723.0
41,Pacasmayo,-7.403017,-79.567645,Peru,PE,La Libertad,,39282.0,29165.0
42,Juanjuí,-7.176972999999999,-76.727736,Peru,PE,San Martín,,37715.0,16990.0
43,Sicuani,-14.271052,-71.22699,Peru,PE,Cusco,,33575.0,8274.0
44,Forbe Oroya,-11.520224,-75.899886,Peru,PE,Junín,,33345.0,33345.0
45,Pativilca,-10.694702000000001,-77.774716,Peru,PE,Lima,,31905.0,13583.0
46,Huamachuco,-7.813066,-78.047125,Peru,PE,La Libertad,,30835.0,21768.0
47,Casma,-9.473869,-78.298198,Peru,PE,Ancash,,30000.0,24842.0
48,Tocache Viejo,-8.190531,-76.553345,Peru,PE,San Martín,,29029.0,2616.0
49,Chancay,-11.560166,-77.267067,Peru,PE,Lima,,26958.0,10244.0
50,Chachapoyas,-6.230554,-77.870825,Peru,PE,Amazonas,,25978.0,20279.0
51,Nazca,-14.824470999999999,-74.935626,Peru,PE,Ica,,23556.0,23218.0
52,Sechura,-5.552961,-80.820815,Peru,PE,Piura,,23020.0,8602.0
53,Jauja,-11.777101,-75.497017,Peru,PE,Junín,,21057.0,21057.0
54,Camaná,-16.623752,-72.710551,Peru,PE,Arequipa,,20956.0,16434.0
55,Ayaviri,-14.879024,-70.589117,Peru,PE,Puno,,19310.0,5739.0
56,Contamana,-7.348661,-75.009765,Peru,PE,Loreto,minor,18921.0,13885.0
57,Huantachaca,-12.944421,-74.236793,Peru,PE,Ayacucho,,18627.0,12442.0
58,Requena,-5.05857,-73.85117199999999,Peru,PE,Loreto,,18000.0,16195.0
59,Huarmey,-10.066804,-78.150203,Peru,PE,Ancash,,16172.0,2196.0
60,Ilave,-16.085632999999998,-69.638811,Peru,PE,Puno,,16033.0,16033.0
61,Puerto Pimentel,-6.832355000000001,-79.933097,Peru,PE,Lambayeque,,15552.0,13293.0
62,Satipo,-11.253874,-74.638323,Peru,PE,Junín,,15532.0,15532.0
63,Junín,-11.158946,-75.993039,Peru,PE,Junín,,15320.0,7670.0
64,San Jacinto,-11.134487,-75.38273199999999,Peru,PE,Junín,,14708.0,6490.0
65,Chota,-6.5615619999999995,-78.649304,Peru,PE,Cajamarca,,14240.0,12664.0
66,Lamas,-6.42054,-76.516724,Peru,PE,San Martín,,13693.0,12503.0
67,Motupe,-6.1526819999999995,-79.715136,Peru,PE,Lambayeque,,13681.0,4415.0
68,Cajabamba,-7.622358999999999,-78.033491,Peru,PE,Cajamarca,,13486.0,10587.0
