,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Barilan,14.6333,121.0,Philippines,PH,Quezon,,11100000.0,3077575.0
1,Quezon City,14.6488,121.0509,Philippines,PH,Quezon,admin,2761720.0,2761720.0
2,Davao,7.073055999999999,125.612778,Philippines,PH,Davao,admin,1402000.0,1212504.0
3,Cagayan de Oro,8.481111,124.643056,Philippines,PH,Cagayan de Oro,admin,1121561.0,602088.0
4,General Santos,6.112778,125.171667,Philippines,PH,General Santos,admin,950530.0,538086.0
5,Bacolod,10.6677,122.9533,Philippines,PH,Bacolod,admin,949354.0,511820.0
6,Cebu City,10.311111,123.891667,Philippines,PH,Cebu,admin,815000.0,798634.0
7,Zamboanga City,6.910255,122.071715,Philippines,PH,Zamboanga,admin,773000.0,457623.0
8,Dinaga,13.65,123.16666699999999,Philippines,PH,Camarines Sur,,741635.0,174931.0
9,Iligan,8.230833,124.23611100000001,Philippines,PH,Iligan,admin,464599.0,464599.0
10,Baguio City,16.417154999999998,120.590998,Philippines,PH,Baguio,admin,447824.0,272714.0
11,Bulagang,13.81209,120.99538700000001,Philippines,PH,Batangas,,424508.0,237370.0
12,Pasay City,14.545589999999999,120.995818,Philippines,PH,Pasay,admin,403064.0,403064.0
13,Bulilao,10.7,122.566667,Philippines,PH,Iloilo,,387681.0,387681.0
14,Legazpi City,13.1387,123.7353,Philippines,PH,Albay,admin,320081.0,320081.0
15,Angeles City,15.146953,120.588858,Philippines,PH,Angeles,admin,314493.0,314493.0
16,Olongapo,14.838907999999998,120.285118,Philippines,PH,Olongapo,admin,304388.0,227270.0
17,Cadiz,10.9465,123.288,Philippines,PH,Negros Occidental,,283157.0,129053.0
18,Tacloban,11.243333,125.004722,Philippines,PH,Tacloban,admin,280006.0,189090.0
19,Cotabato,7.223611,124.246389,Philippines,PH,Cotabato,admin,279519.0,179433.0
20,San Ignacio,14.0464,121.3446,Philippines,PH,Laguna,,240830.0,207577.0
21,Cabanatuan City,15.485863,120.966476,Philippines,PH,Nueva Ecija,,220250.0,220250.0
22,Lagui,18.1993,120.6328,Philippines,PH,Ilocos Norte,,207048.0,102105.0
23,Butuan,8.949167,125.54361100000001,Philippines,PH,Butuan,admin,190557.0,190557.0
24,Tarlac City,15.480169,120.59794,Philippines,PH,Tarlac,admin,183930.0,183930.0
25,Dagupan City,16.0435,120.3397,Philippines,PH,Dagupan,admin,163676.0,163676.0
26,Pagadian,7.8257,123.43700000000001,Philippines,PH,Zamboanga del Sur,admin,159590.0,159590.0
27,Puerto Princesa,9.739167,118.73527800000001,Philippines,PH,Puerto Princesa,admin,157144.0,138620.0
28,Tuguegarao,17.615772,121.722849,Philippines,PH,Cagayan,admin,115105.0,115105.0
29,Roxas City,11.585278,122.75111100000001,Philippines,PH,Capiz,admin,102688.0,81073.0
30,Misamis,8.168333,123.8475,Philippines,PH,Misamis Occidental,,97806.0,93082.0
31,Surigao,9.789,125.495,Philippines,PH,Surigao del Norte,admin,87832.0,42134.0
32,Cagbanayacao,12.066667,124.58333300000001,Philippines,PH,Samar,,67921.0,42109.0
33,Vigan,17.571456,120.385975,Philippines,PH,Ilocos Sur,admin,48545.0,48545.0
