,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Katowice,50.258415,19.027545,Poland,PL,Śląskie,admin,2746000.0,308724.0
1,Warsaw,52.25,21.0,Poland,PL,Mazowieckie,primary,1707000.0,1702139.0
2,Łódź,51.75,19.466667,Poland,PL,Łódzkie,admin,758000.0,758000.0
3,Kraków,50.057531,19.980216,Poland,PL,Małopolskie,admin,756000.0,755050.0
4,Gdańsk,54.36085,18.658291000000002,Poland,PL,Pomorskie,admin,740000.0,455830.0
5,Bytom,50.348017,18.932822,Poland,PL,Śląskie,minor,662247.0,189186.0
6,Wrocław,51.1,17.033333,Poland,PL,Dolnośląskie,admin,634893.0,610049.0
7,Poznań,52.416667,16.966667,Poland,PL,Wielkopolskie,admin,623997.0,570352.0
8,Gliwice,50.297612,18.676582999999997,Poland,PL,Śląskie,minor,507670.0,198835.0
9,Szczecin,53.439531,14.593891000000001,Poland,PL,Zachodniopomorskie,admin,407811.0,372672.0
10,Bydgoszcz,53.127062,18.019987,Poland,PL,Kujawsko-Pomorskie,admin,366452.0,365992.0
11,Lublin,51.25,22.566667000000002,Poland,PL,Lubelskie,admin,360044.0,355958.0
12,Gdynia,54.5,18.55,Poland,PL,Pomorskie,minor,314664.0,253730.0
13,Białystok,53.13333299999999,23.15,Poland,PL,Podlaskie,admin,291855.0,285590.0
14,Rzeszów,50.037246,22.004949,Poland,PL,Podkarpackie,admin,245686.0,158382.0
15,Kielce,50.873686,20.630266,Poland,PL,Świętokrzyskie,admin,215733.0,208598.0
16,Olsztyn,53.779949,20.494162,Poland,PL,Warmińsko-Mazurskie,admin,186670.0,171803.0
17,Opole,50.672115000000005,17.925325,Poland,PL,Opolskie,admin,131412.0,127676.0
18,Elbląg,54.1522,19.408841,Poland,PL,Warmińsko-Mazurskie,minor,127558.0,121106.0
19,Zielona Góra,51.939345,15.505772,Poland,PL,Lubuskie,admin,118433.0,109298.0
20,Koszalin,54.193589,16.184916,Poland,PL,Zachodniopomorskie,minor,107450.0,107450.0
21,Twierdza Grudziadz,53.5,18.75,Poland,PL,Kujawsko-Pomorskie,,102443.0,99486.0
22,Inowrocław,52.798857999999996,18.263875,Poland,PL,Kujawsko-Pomorskie,minor,79007.0,77597.0
23,Ełk,53.826478,22.365416,Poland,PL,Warmińsko-Mazurskie,minor,55769.0,46856.0
24,Nakło nad Notecią,53.141874,17.602976,Poland,PL,Kujawsko-Pomorskie,minor,,
25,Ustrzyki Dolne,49.430858,22.584761,Poland,PL,Podkarpackie,minor,,
26,Sępólno Krajeńskie,53.452045999999996,17.539826,Poland,PL,Kujawsko-Pomorskie,minor,,
27,Gorlice,49.658084,21.159693,Poland,PL,Małopolskie,minor,,
28,Nowy Targ,49.477579,20.029204999999997,Poland,PL,Małopolskie,minor,,
29,Nowy Tomyśl,52.316477,16.133629,Poland,PL,Wielkopolskie,minor,,
30,Łask,51.588037,19.125084,Poland,PL,Łódzkie,minor,,
31,Bolesławiec,51.264183,15.569703,Poland,PL,Dolnośląskie,minor,,
32,Olecko,54.03643100000001,22.508387,Poland,PL,Warmińsko-Mazurskie,minor,,
33,Biała Podlaska,52.031290000000006,23.121418,Poland,PL,Lubelskie,minor,,
34,Polkowice,51.50618,16.072623,Poland,PL,Dolnośląskie,minor,,
35,Nisko,50.518509,22.144659,Poland,PL,Podkarpackie,minor,,
36,Brzozów,49.695431,22.020189000000002,Poland,PL,Podkarpackie,minor,,
37,Ruda Śląska,50.307941,18.855156,Poland,PL,Śląskie,minor,,
38,Bełchatów,51.366503,19.374485,Poland,PL,Łódzkie,minor,,
39,Brodnica,53.25,19.4,Poland,PL,Kujawsko-Pomorskie,minor,,
40,Tychy,50.137167,18.96641,Poland,PL,Śląskie,minor,,
41,Oborniki,52.64739399999999,16.814061,Poland,PL,Wielkopolskie,minor,,
42,Choszczno,53.169051,15.420537,Poland,PL,Zachodniopomorskie,minor,,
43,Lesko,49.47113,22.329801999999997,Poland,PL,Podkarpackie,minor,,
44,Będzin,50.319705,19.145249,Poland,PL,Śląskie,minor,,
45,Hrubieszów,50.805019,23.892508,Poland,PL,Lubelskie,minor,,
46,Sztum,53.92026800000001,19.031101,Poland,PL,Pomorskie,minor,,
47,Świętochłowice,50.292455,18.914684,Poland,PL,Śląskie,minor,,
48,Strzelin,50.783958,17.066399,Poland,PL,Dolnośląskie,minor,,
49,Zwoleń,51.355901,21.582678,Poland,PL,Mazowieckie,minor,,
50,Głogów,51.663026,16.075688,Poland,PL,Dolnośląskie,minor,,
51,Grodzisk Mazowiecki,52.106384000000006,20.623141,Poland,PL,Mazowieckie,minor,,
52,Pruszków,52.162608,20.812948000000002,Poland,PL,Mazowieckie,minor,,
53,Radomsko,51.066749,19.454424,Poland,PL,Łódzkie,minor,,
54,Police,53.542062,14.555212,Poland,PL,Zachodniopomorskie,minor,,
55,Rypin,53.067489,19.415666,Poland,PL,Kujawsko-Pomorskie,minor,,
56,Ożarów Mazowiecki,52.233333,20.85,Poland,PL,Mazowieckie,minor,,
57,Wodzisław Śląski,50.010983,18.455074,Poland,PL,Śląskie,minor,,
58,Zabrze,50.306354999999996,18.783333,Poland,PL,Śląskie,minor,,
59,Pajęczno,51.144490999999995,18.996116,Poland,PL,Łódzkie,minor,,
60,Sokółka,53.407154000000006,23.502278,Poland,PL,Podlaskie,minor,,
61,Ostrzeszów,51.425661,17.930084,Poland,PL,Wielkopolskie,minor,,
62,Pszczyna,49.976483,18.947323,Poland,PL,Śląskie,minor,,
63,Jarocin,51.97076,17.498773,Poland,PL,Wielkopolskie,minor,,
64,Lubań,51.120143,15.287678,Poland,PL,Dolnośląskie,minor,,
65,Lubaczów,50.159707,23.122425,Poland,PL,Podkarpackie,minor,,
66,Bielsko-Biała,49.822449,19.046863000000002,Poland,PL,Śląskie,minor,,
67,Kamień Pomorski,53.968945999999995,14.772834,Poland,PL,Zachodniopomorskie,minor,,
68,Szydłowiec,51.224862,20.858566,Poland,PL,Mazowieckie,minor,,
69,Żagań,51.615804,15.314769,Poland,PL,Lubuskie,minor,,
70,Cieszyn,49.746340000000004,18.636093,Poland,PL,Śląskie,minor,,
71,Jaworzno,50.206025,19.270062,Poland,PL,Śląskie,minor,,
72,Lidzbark Warmiński,54.128687,20.57807,Poland,PL,Warmińsko-Mazurskie,minor,,
73,Węgrów,52.401958,22.016667,Poland,PL,Mazowieckie,minor,,
74,Czarnków,52.90214399999999,16.564126,Poland,PL,Wielkopolskie,minor,,
75,Wieruszów,51.298167,18.157387,Poland,PL,Łódzkie,minor,,
76,Kętrzyn,54.07929300000001,21.370583,Poland,PL,Warmińsko-Mazurskie,minor,,
77,Stargard Szczeciński,53.341761,15.052135,Poland,PL,Zachodniopomorskie,minor,,
78,Wadowice,49.884085999999996,19.491489,Poland,PL,Małopolskie,minor,,
79,Gniezno,52.53944,17.611262,Poland,PL,Wielkopolskie,minor,,
80,Słupca,52.290352,17.873101000000002,Poland,PL,Wielkopolskie,minor,,
81,Opatów,50.800952,21.423434,Poland,PL,Świętokrzyskie,minor,,
82,Wejherowo,54.605211,18.235514000000002,Poland,PL,Pomorskie,minor,,
83,Łęczna,51.304588,22.883235,Poland,PL,Lubelskie,minor,,
84,Białobrzegi,51.646640999999995,20.950269,Poland,PL,Mazowieckie,minor,,
