,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Lisbon,38.716667,-9.133333,Portugal,PT,Lisboa,primary,2812000.0,517802.0
1,Picotos,41.192402,-8.619816,Portugal,PT,Porto,,1337000.0,249633.0
2,Braga,41.550323,-8.420052,Portugal,PT,Braga,admin,826833.0,181819.0
3,Funchal,32.633333,-16.9,Portugal,PT,Madeira,admin,204767.0,100847.0
4,Setúbal,38.533333,-8.9,Portugal,PT,Setúbal,admin,117974.0,117110.0
5,Copeira,40.176915,-8.424017999999998,Portugal,PT,Coimbra,,106582.0,89131.0
6,Ponta Delgada,37.733333,-25.666667,Portugal,PT,Azores,admin,61526.0,20056.0
7,Portimão,37.136635999999996,-8.539796,Portugal,PT,Faro,minor,61226.0,38487.0
8,Évora,38.566666999999995,-7.9,Portugal,PT,Évora,admin,55620.0,55620.0
9,Aveiro,40.644269,-8.645535,Portugal,PT,Aveiro,admin,54162.0,54162.0
10,Leiria,39.747724,-8.804995,Portugal,PT,Leiria,admin,45112.0,45112.0
11,Faro,37.019366999999995,-7.9322289999999995,Portugal,PT,Faro,admin,41355.0,21163.0
12,Beja,38.015064,-7.863227,Portugal,PT,Beja,admin,35854.0,21658.0
13,Bragança,41.805817,-6.757189,Portugal,PT,Bragança,admin,34375.0,34375.0
14,Castelo Branco,39.822191,-7.490869,Portugal,PT,Castelo Branco,admin,33479.0,33479.0
15,Guarda,40.537328,-7.2657490000000005,Portugal,PT,Guarda,admin,32111.0,32111.0
16,Santarém,39.233333,-8.683333,Portugal,PT,Santarém,admin,29385.0,29385.0
17,Viseu,40.661014,-7.909714,Portugal,PT,Viseu,admin,26364.0,26364.0
18,Covilhã,40.286011,-7.503961,Portugal,PT,Castelo Branco,minor,24828.0,17610.0
19,Vila Marim,41.304961,-7.779742999999999,Portugal,PT,Vila Real,,17001.0,17001.0
20,Portalegre,39.297178,-7.4301509999999995,Portugal,PT,Portalegre,admin,15581.0,15581.0
21,Viana do Castelo,41.693234000000004,-8.832869,Portugal,PT,Viana do Castelo,admin,15555.0,15555.0
22,Angra do Heroísmo,38.65,-27.216666999999998,Portugal,PT,Azores,,12045.0,10228.0
23,Portela,38.533333,-28.666666999999997,Portugal,PT,Azores,,6611.0,6572.0
24,Lagos,37.101782,-8.674242,Portugal,PT,Faro,minor,,
25,Paredes de Coura,41.910125,-8.560938,Portugal,PT,Viana do Castelo,minor,,
26,São João da Pesqueira,41.148051,-7.404888000000001,Portugal,PT,Viseu,minor,,
27,São João da Madeira,40.900956,-8.499744,Portugal,PT,Aveiro,minor,,
28,Fornos de Algodres,40.628071999999996,-7.540638,Portugal,PT,Guarda,minor,,
29,Castelo de Paiva,41.063007,-8.264696,Portugal,PT,Aveiro,minor,,
30,Portel,38.30697,-7.702435,Portugal,PT,Évora,minor,,
31,Porto,41.149606,-8.610992999999999,Portugal,PT,Porto,admin,,
32,Sertã,39.808461,-8.098828999999999,Portugal,PT,Castelo Branco,minor,,
33,Vila do Bispo,37.083172,-8.911438,Portugal,PT,Faro,minor,,
34,Fronteira,39.056290999999995,-7.648679,Portugal,PT,Portalegre,minor,,
35,Alfândega da Fé,41.343149,-6.961124000000001,Portugal,PT,Bragança,minor,,
36,Celorico da Beira,40.637232,-7.39037,Portugal,PT,Guarda,minor,,
37,Alcoutim,37.474317,-7.472282000000001,Portugal,PT,Faro,minor,,
38,Arronches,39.122417,-7.286192,Portugal,PT,Portalegre,minor,,
39,Amarante,41.272711,-8.082455,Portugal,PT,Porto,minor,,
40,Tabuaço,41.116147,-7.567933999999999,Portugal,PT,Viseu,minor,,
41,Gouveia,40.494455,-7.5921449999999995,Portugal,PT,Guarda,minor,,
42,Aguiar da Beira,40.817264,-7.544307000000001,Portugal,PT,Guarda,minor,,
43,Idanha-a-Nova,39.923157,-7.240819,Portugal,PT,Castelo Branco,minor,,
44,Ribeira de Pena,41.52147,-7.802372,Portugal,PT,Vila Real,minor,,
45,Seia,40.415099,-7.708586,Portugal,PT,Guarda,minor,,
46,Rio Maior,39.337325,-8.939063,Portugal,PT,Santarém,minor,,
47,Condeixa-a-Nova,40.115733,-8.498336,Portugal,PT,Coimbra,minor,,
48,Mação,39.555734,-7.994215,Portugal,PT,Santarém,minor,,
49,Lousada,41.278223,-8.279926,Portugal,PT,Porto,minor,,
50,Trancoso,40.783291,-7.350157,Portugal,PT,Guarda,minor,,
51,Estarreja,40.756482,-8.572074,Portugal,PT,Aveiro,minor,,
52,Moita,38.650779,-8.990383,Portugal,PT,Setúbal,minor,,
53,Ponte de Lima,41.767188,-8.583926,Portugal,PT,Viana do Castelo,minor,,
54,Guimarães,41.444435,-8.296189,Portugal,PT,Braga,minor,,
55,Sobral de Monte Agraço,39.019579,-9.150808999999999,Portugal,PT,Lisboa,minor,,
56,Seixal,38.64008,-9.101412,Portugal,PT,Setúbal,minor,,
57,Almeirim,39.209028,-8.616425999999999,Portugal,PT,Santarém,minor,,
58,Cantanhede,40.346708,-8.594195,Portugal,PT,Coimbra,minor,,
59,Elvas,38.881502000000005,-7.1628169999999995,Portugal,PT,Portalegre,minor,,
60,Ponte da Barca,41.804509,-8.415541000000001,Portugal,PT,Viana do Castelo,minor,,
61,Golegã,39.404740000000004,-8.48625,Portugal,PT,Santarém,minor,,
62,Anadia,40.438409,-8.43352,Portugal,PT,Aveiro,minor,,
63,Moura,38.140095,-7.4485600000000005,Portugal,PT,Beja,minor,,
