,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Asunción,-25.29389,-57.611111,Paraguay,PY,Asunción,primary,1870000.0,11693.0
1,San Lorenzo,-25.333333,-57.533333,Paraguay,PY,Central,,500000.0,271064.0
2,Encarnación,-27.330556,-55.86666700000001,Paraguay,PY,Itapúa,admin,357119.0,146508.0
3,Ciudad del Este,-25.509722,-54.611111,Paraguay,PY,Alto Paraná,admin,320872.0,320872.0
4,Pedro Juan Caballero,-22.547222,-55.733332999999995,Paraguay,PY,Amambay,admin,102787.0,29271.0
5,Coronel Oviedo,-25.444444,-56.440278,Paraguay,PY,Caaguazú,admin,88101.0,51286.0
6,Concepción,-23.405556,-57.440278,Paraguay,PY,Concepción,admin,59118.0,48123.0
7,Villarrica,-25.780556,-56.448611,Paraguay,PY,Guairá,admin,41157.0,41157.0
8,Itá,-25.483333,-57.35,Paraguay,PY,Central,,41090.0,18459.0
9,Ypacarai,-25.383333,-57.266667000000005,Paraguay,PY,Central,,30150.0,17461.0
10,Pilar,-26.863889,-58.3,Paraguay,PY,Ñeembucú,admin,28435.0,28435.0
11,Caacupé,-25.386111,-57.140278,Paraguay,PY,Cordillera,admin,21696.0,21696.0
12,Paraguarí,-25.620832999999998,-57.147222,Paraguay,PY,Paraguarí,admin,18881.0,10079.0
13,Bella Vista,-22.133333,-56.516667000000005,Paraguay,PY,Amambay,,16852.0,5653.0
14,Horqueta,-23.342778,-57.059722,Paraguay,PY,Concepción,,16171.0,10531.0
15,Villa Hayes,-25.093056,-57.523610999999995,Paraguay,PY,Presidente Hayes,admin,15643.0,15643.0
16,Coronel Bogado,-27.183333,-56.3,Paraguay,PY,Itapúa,,14297.0,14297.0
17,Belén,-23.466110999999998,-57.26194399999999,Paraguay,PY,Concepción,,11359.0,1621.0
18,Filadelfia,-22.35,-60.033333,Paraguay,PY,Boquerón,admin,10470.0,8048.0
19,San Juan Bautista,-26.669444,-57.145832999999996,Paraguay,PY,Misiones,admin,7882.0,7882.0
20,Caazapá,-26.195833,-56.368056,Paraguay,PY,Caazapá,admin,5504.0,5504.0
21,Hohenau,-27.083333000000003,-55.75,Paraguay,PY,Itapúa,,5306.0,5306.0
22,Puerto Rosario,-24.45,-57.083332999999996,Paraguay,PY,San Pedro,,5123.0,2155.0
23,Puerto La Victoria,-22.333333,-57.916667000000004,Paraguay,PY,Alto Paraguay,,5000.0,5000.0
24,Arroyos y Esteros,-25.066667000000002,-57.1,Paraguay,PY,Cordillera,,3055.0,2455.0
25,Abaí,-26.033333,-55.933333,Paraguay,PY,Caazapá,,3024.0,2553.0
26,Ygatimí,-24.083333,-55.5,Paraguay,PY,Canindeyú,,2809.0,2809.0
27,Mariscal Estigarribia,-22.033333,-60.63333299999999,Paraguay,PY,Boquerón,,2500.0,2000.0
28,Fuerte Olimpo,-21.040278,-57.873611,Paraguay,PY,Alto Paraguay,admin,2475.0,2475.0
29,Pozo Colorado,-23.466667,-58.966667,Paraguay,PY,Presidente Hayes,,2135.0,2135.0
30,Ñacunday,-26.016667,-54.766667000000005,Paraguay,PY,Alto Paraná,,1250.0,1120.0
31,Capitán Pablo Lagerenza,-19.916667,-60.783333,Paraguay,PY,Alto Paraguay,,1200.0,1200.0
32,Ypé Jhú,-23.9,-55.333332999999996,Paraguay,PY,Canindeyú,,600.0,596.0
33,Puerto Pinasco,-22.716667,-57.833332999999996,Paraguay,PY,Presidente Hayes,,500.0,447.0
34,Salto del Guairá,-24.0625,-54.306943999999994,Paraguay,PY,Canindeyú,admin,,
35,San Pedro de Ycuamandiyú,-24.091667,-57.076389,Paraguay,PY,San Pedro,admin,,
36,Areguá,-25.3125,-57.384722,Paraguay,PY,Central,admin,,
