,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Bucharest,44.433333000000005,26.1,Romania,RO,Bucureşti,primary,1942000.0,1742194.0
1,Iaşi,47.166667,27.6,Romania,RO,Iaşi,admin,325914.0,325914.0
2,Cluj-Napoca,46.766667,23.6,Romania,RO,Cluj,admin,316748.0,282141.0
3,Timişoara,45.749444,21.227222,Romania,RO,Timiş,admin,315053.0,304097.0
4,Galaţi,45.45,28.05,Romania,RO,Galaţi,admin,311156.0,294087.0
5,Braşov,45.633333,25.583333,Romania,RO,Braşov,admin,311044.0,276088.0
6,Craiova,44.316666999999995,23.8,Romania,RO,Dolj,admin,304142.0,298145.0
7,Constanţa,44.183333000000005,28.65,Romania,RO,Constanţa,admin,303399.0,266826.0
8,Ploieşti,44.95,26.016667,Romania,RO,Prahova,admin,232542.0,228851.0
9,Oradea,47.066666999999995,21.933332999999998,Romania,RO,Bihor,admin,213830.0,206614.0
10,Brăila,45.266667,27.983333000000002,Romania,RO,Brăila,admin,213569.0,213569.0
11,Bacău,46.566666999999995,26.9,Romania,RO,Bacău,admin,199668.0,171396.0
12,Piteşti,44.85,24.866667,Romania,RO,Argeş,admin,171021.0,167669.0
13,Arad,46.183333000000005,21.316667000000002,Romania,RO,Arad,admin,169065.0,149611.0
14,Sibiu,45.8,24.15,Romania,RO,Sibiu,admin,155565.0,151894.0
15,Târgu-Mureş,46.55,24.566667000000002,Romania,RO,Mureş,admin,149433.0,146863.0
16,Baia Mare,47.666667,23.583333,Romania,RO,Maramureş,admin,136553.0,132707.0
17,Buzău,45.15,26.833333000000003,Romania,RO,Buzău,admin,130954.0,130698.0
18,Botoşani,47.75,26.666666999999997,Romania,RO,Botoşani,admin,114783.0,111935.0
19,Satu Mare,47.8,22.883333,Romania,RO,Satu Mare,admin,112490.0,112490.0
20,Râmnicu Vâlcea,45.1,24.366667,Romania,RO,Vâlcea,admin,107558.0,107558.0
21,Drobeta-Turnu Severin,44.631944,22.656111,Romania,RO,Mehedinţi,admin,106578.0,102346.0
22,Scheia,47.65,26.233333000000002,Romania,RO,Suceava,,105796.0,87935.0
23,Focşani,45.7,27.183333,Romania,RO,Vrancea,admin,105112.0,80161.0
24,Piatra Neamţ,46.916667,26.333333000000003,Romania,RO,Neamţ,admin,102688.0,102688.0
25,Târgu Jiu,45.05,23.283333,Romania,RO,Gorj,admin,97179.0,97179.0
26,Tulcea,45.166667,28.8,Romania,RO,Tulcea,admin,92475.0,86288.0
27,Târgovişte,44.933333000000005,25.45,Romania,RO,Dâmboviţa,admin,88435.0,88435.0
28,Reşiţa,45.300833000000004,21.889167,Romania,RO,Caraş-Severin,admin,83324.0,81228.0
29,Bistriţa,47.133333,24.483333,Romania,RO,Bistriţa-Năsăud,admin,81318.0,81318.0
30,Salcia,44.433333000000005,24.316667000000002,Romania,RO,Olt,,78988.0,78988.0
31,Călăraşi,44.2,27.333333000000003,Romania,RO,Călăraşi,admin,73224.0,69167.0
32,Vaslui,46.633333,27.733333000000002,Romania,RO,Vaslui,admin,69225.0,69225.0
33,Giurgiu,43.883333,25.966667,Romania,RO,Giurgiu,admin,69067.0,69067.0
34,Deva,45.883333,22.9,Romania,RO,Hunedoara,,67802.0,67802.0
35,Alba Iulia,46.066666999999995,23.583333,Romania,RO,Alba,admin,66085.0,66085.0
36,Zalău,47.2,23.05,Romania,RO,Sălaj,admin,63232.0,63232.0
37,Sfântu-Gheorghe,45.866667,25.783333,Romania,RO,Covasna,admin,60677.0,60677.0
38,Slobozia,44.566666999999995,27.366667,Romania,RO,Ialomiţa,admin,52693.0,52693.0
39,Alexandria,43.983333,25.333333,Romania,RO,Teleorman,admin,49346.0,49346.0
40,Hunedoara,45.75,22.9,Romania,RO,Hunedoara,admin,,
41,Miercurea-Ciuc,46.35,25.8,Romania,RO,Harghita,admin,,
42,Slatina,44.433333000000005,24.366667,Romania,RO,Olt,admin,,
43,Suceava,47.633333,26.25,Romania,RO,Suceava,admin,,
