,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Belgrade,44.818611,20.468056,Serbia,RS,,primary,1099000.0,1099000.0
1,Niš,43.323356,21.901779,Serbia,RS,Niš,admin,250000.0,210888.0
2,Novi Sad,45.259271999999996,19.829056,Serbia,RS,Novi Sad,admin,225457.0,215400.0
3,Kragujevac,44.010876,20.909029,Serbia,RS,Kragujevac,admin,171197.0,147473.0
4,Subotica,46.100972,19.668232999999997,Serbia,RS,Subotica,admin,100000.0,93408.0
5,Zrenjanin,45.381820000000005,20.395395999999998,Serbia,RS,Zrenjanin,admin,64053.0,64053.0
6,Ćuprija,43.928388,21.374491,Serbia,RS,Ćuprija,admin,,
7,Krupanj,44.367619,19.36327,Serbia,RS,Krupanj,admin,,
8,Arilje,43.754987,20.097004000000002,Serbia,RS,Arilje,admin,,
9,Pančevo,44.87131,20.644304,Serbia,RS,Pančevo,admin,,
10,Čoka,45.941516,20.146023,Serbia,RS,Čoka,admin,,
11,Bogatić,44.8376,19.480698999999998,Serbia,RS,Bogatić,admin,,
12,Sombor,45.774239,19.115068,Serbia,RS,Sombor,admin,,
13,Šabac,44.753840999999994,19.687569,Serbia,RS,Šabac,admin,,
14,Koceljeva,44.468716,19.82139,Serbia,RS,Koceljeva,admin,,
15,Požega,43.845852,20.036773999999998,Serbia,RS,Požega,admin,,
16,Kovačica,45.110931,20.623601,Serbia,RS,Kovačica,admin,,
17,Lebane,42.917128999999996,21.729449,Serbia,RS,Lebane,admin,,
18,Ljig,44.226611,20.239352,Serbia,RS,Ljig,admin,,
19,Surčin,44.794368,20.278136,Serbia,RS,Beograd,minor,,
20,Babušnica,43.067962,22.411507999999998,Serbia,RS,Babušnica,admin,,
21,Aleksinac,43.541667,21.707778,Serbia,RS,Aleksinac,admin,,
22,Bojnik,43.014188,21.717967,Serbia,RS,Bojnik,admin,,
23,Aranđelovac,44.307663,20.561163,Serbia,RS,Aranđelovac,admin,,
24,Bela Crkva,44.901485,21.423394000000002,Serbia,RS,Bela Crkva,admin,,
25,Doljevac,43.196833000000005,21.833398000000003,Serbia,RS,Doljevac,admin,,
26,Stara Pazova,44.986131,20.159731,Serbia,RS,Stara Pazova,admin,,
27,Užice,43.858185,19.844087,Serbia,RS,Užice,admin,,
28,Lazarevac,44.379721999999994,20.263889000000002,Serbia,RS,Beograd,minor,,
29,Petrovac na Mlavi,44.377283,21.41976,Serbia,RS,Petrovac na Mlavi,admin,,
30,Srbobran,45.548097999999996,19.795377,Serbia,RS,Srbobran,admin,,
31,Despotovac,44.093202000000005,21.443975,Serbia,RS,Despotovac,admin,,
32,Topola,44.25442,20.682437,Serbia,RS,Topola,admin,,
33,Nova Crnja,45.668517,20.604206,Serbia,RS,Nova Crnja,admin,,
34,Brus,43.384599,21.028883,Serbia,RS,Brus,admin,,
35,Gadžin Han,43.222289,22.033286999999998,Serbia,RS,Gadžin Han,admin,,
36,Prokuplje,43.238315,21.593192000000002,Serbia,RS,Prokuplje,admin,,
37,Dimitrovgrad,43.015454999999996,22.77759,Serbia,RS,Dimitrovgrad,admin,,
38,Boljevac,43.832131,21.960898999999998,Serbia,RS,Boljevac,admin,,
39,Temerin,45.409464,19.89112,Serbia,RS,Temerin,admin,,
40,Malo Crniće,44.560257,21.290565,Serbia,RS,Malo Crniće,admin,,
41,Tutin,42.989993,20.333372,Serbia,RS,Tutin,admin,,
42,Plandište,45.229228000000006,21.123827,Serbia,RS,Plandište,admin,,
43,Blace,43.296964,21.272727,Serbia,RS,Blace,admin,,
44,Zemun,44.840696,20.397853,Serbia,RS,Beograd,minor,,
45,Aleksandrovac,43.460895,21.053911,Serbia,RS,Aleksandrovac,admin,,
46,Ljubovija,44.189574,19.378486,Serbia,RS,Ljubovija,admin,,
47,Kraljevo,43.725908000000004,20.689577,Serbia,RS,Kraljevo,admin,,
48,Zaječar,43.901871,22.275510999999998,Serbia,RS,Zaječar,admin,,
49,Čačak,43.888017,20.344023,Serbia,RS,Čačak,admin,,
50,Sečanj,45.367638,20.773204999999997,Serbia,RS,Sečanj,admin,,
51,Priboj,43.583611,19.525833,Serbia,RS,Priboj,admin,,
52,Beočin,45.191649,19.724961999999998,Serbia,RS,Beočin ,admin,,
53,Irig,45.100148,19.860301,Serbia,RS,Irig,admin,,
54,Veliko Gradište,44.763811,21.516251,Serbia,RS,Veliko Gradište,admin,,
55,Jagodina,43.97913,21.258311,Serbia,RS,Jagodina,admin,,
56,Novi Kneževac,46.041039000000005,20.09584,Serbia,RS,Novi Kneževac,admin,,
