,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Riyadh,24.653837,46.715683,Saudi Arabia,SA,Ar Riyāḑ,primary,4465000.0,4205961.0
1,Jeddah,21.542381,39.197969,Saudi Arabia,SA,Makkah al Mukarramah,,3012000.0,2867446.0
2,Ad Dammām,26.434417,50.103263,Saudi Arabia,SA,Ash Sharqīyah,admin,2054710.0,768602.0
3,Medina,24.468611,39.614167,Saudi Arabia,SA,Al Madīnah al Munawwarah,admin,1010000.0,1010000.0
4,Aţ Ţā’if,21.270278,40.415833,Saudi Arabia,SA,Makkah al Mukarramah,,657282.0,530848.0
5,Al Hufūf,25.364568,49.565323,Saudi Arabia,SA,Ash Sharqīyah,,637389.0,400000.0
6,Al Ḩillah,23.489454000000002,46.853024,Saudi Arabia,SA,Ar Riyāḑ,,594605.0,594605.0
7,Tabūk,28.399804,36.571505,Saudi Arabia,SA,Tabūk,admin,547957.0,455450.0
8,Buraydah,26.325986,43.974965999999995,Saudi Arabia,SA,Al Qaşīm,admin,398581.0,391336.0
9,Ḩā’il,27.521876000000002,41.690732000000004,Saudi Arabia,SA,Ḩā’il,admin,385257.0,385257.0
10,Najrān,17.493259,44.127659,Saudi Arabia,SA,Najrān,admin,369609.0,258573.0
11,Al Qaţīf,26.520799,50.024518,Saudi Arabia,SA,Ash Sharqīyah,,368892.0,98259.0
12,Al Mubarraz,25.41,49.580833,Saudi Arabia,SA,Ash Sharqīyah,,298562.0,290802.0
13,Al Kharj,24.155406,47.334567,Saudi Arabia,SA,Ar Riyāḑ,,298428.0,298428.0
14,Yanbu‘ al Baḩr,24.089119,38.063742,Saudi Arabia,SA,Al Madīnah al Munawwarah,,267590.0,200161.0
15,Ḩafar al Bāţin,28.432790999999998,45.970766,Saudi Arabia,SA,Ash Sharqīyah,,249194.0,249194.0
16,Al Jubayl,27.011221999999997,49.658255,Saudi Arabia,SA,Ash Sharqīyah,,237274.0,233200.0
17,‘Ar‘ar,30.975309999999997,41.038078999999996,Saudi Arabia,SA,Al Ḩudūd ash Shamālīyah,admin,222016.0,148540.0
18,Abhā,18.216389000000003,42.505278000000004,Saudi Arabia,SA,‘Asīr,admin,210886.0,204719.0
19,Jāzān,16.889167,42.551111,Saudi Arabia,SA,Jāzān,admin,105198.0,95596.0
20,Dhahran,26.303239,50.135284000000006,Saudi Arabia,SA,Ash Sharqīyah,,97446.0,11300.0
21,Qal‘at Bīshah,20.000538,42.605203,Saudi Arabia,SA,,,88291.0,81828.0
22,Rafḩā,29.634248,43.519408,Saudi Arabia,SA,Al Ḩudūd ash Shamālīyah,,64755.0,64755.0
23,Al Wajh,26.245513,36.452484999999996,Saudi Arabia,SA,Tabūk,,43237.0,26636.0
24,As Sulayyil,20.460669,45.577915999999995,Saudi Arabia,SA,Ar Riyāḑ,,24097.0,17620.0
25,Dawmat al Jandal,29.808148,39.869616,Saudi Arabia,SA,Al Jawf,,22583.0,22583.0
26,Al Quway‘īyah,24.052908,45.261472,Saudi Arabia,SA,Ar Riyāḑ,,8712.0,8712.0
27,Al Qunfudhah,19.126389,41.078889000000004,Saudi Arabia,SA,,,157.0,157.0
28,Sakākā,29.969742,40.206414,Saudi Arabia,SA,Al Jawf,admin,,
29,Mecca,21.42664,39.825632,Saudi Arabia,SA,Makkah al Mukarramah,admin,,
30,Al Bāḩah,20.012883,41.467671,Saudi Arabia,SA,Al Bāḩah,admin,,
